training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,transfer_trials.thisRepN,transfer_trials.thisTrialN,transfer_trials.thisN,transfer_trials.thisIndex,estimation_trials.thisRepN,estimation_trials.thisTrialN,estimation_trials.thisN,estimation_trials.thisIndex,thisRow.t,notes,text_0.started,text0.started,text0_key_resp.started,text_0.stopped,text0_key_resp.keys,text0_key_resp.rt,text0_key_resp.duration,fixation_training.started,fixation0.started,fixation_training.stopped,main_training.started,left_image_0.started,right_image_0.started,key_resp_0.started,polygon_0.started,left_learning_reward_0.started,right_learning_reward_0.started,key_resp_0.stopped,polygon_0.stopped,left_learning_reward_0.stopped,right_learning_reward_0.stopped,left_image_0.stopped,right_image_0.stopped,main_training.stopped,key_resp_0.keys,key_resp_0.rt,key_resp_0.duration,text_1.started,text1.started,text1_key_resp.started,text_1.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation_learning.stopped,main_learning.started,left_image.started,right_image.started,key_resp.started,reward_C,reward_A2,gain_reward,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,main_learning.stopped,key_resp.keys,key_resp.rt,key_resp.duration,text_no_resp.started,text_no_resp.stopped,text_2.started,text2.started,text2_key_resp.started,text_2.stopped,text2_key_resp.keys,text2_key_resp.rt,text2_key_resp.duration,fixation_transfer.started,fixation2.started,fixation2.stopped,fixation_transfer.stopped,main_transfer.started,left_image_2.started,right_image_2.started,key_resp_2.started,polygon_2.started,left_image_2.stopped,right_image_2.stopped,key_resp_2.stopped,polygon_2.stopped,main_transfer.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,slider_transfer.started,slider_trns.started,mouse_trns.started,slider_transfer.stopped,slider_trns.response,slider_trns.rt,mouse_trns.x,mouse_trns.y,mouse_trns.leftButton,mouse_trns.midButton,mouse_trns.rightButton,mouse_trns.time,text_3.started,text3.started,text3_key_resp.started,text_3.stopped,text3_key_resp.keys,text3_key_resp.rt,text3_key_resp.duration,fixation_estimation.started,fixation3.started,fixation3.stopped,fixation_estimation.stopped,main_estimation.started,image_3.started,slider_estm.started,mouse_estm.started,main_estimation.stopped,slider_estm.response,slider_estm.rt,mouse_estm.x,mouse_estm.y,mouse_estm.leftButton,mouse_estm.midButton,mouse_estm.rightButton,mouse_estm.time,show_reward.started,text4.started,totalRewardText.started,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.06761569995433092,0.09497450001072139,0.09497450001072139,20.584769399953075,space,20.481131299980916,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005061,001,1,2024-05-28_13h36.14.526,article1,2024.1.4,None,2024-05-28 13h36.23.098482 +0330,
0,0,0,0,,,,,,,,,,,,,20.606849299976602,,,,,,,,,20.585713000036776,20.606849299976602,21.59830760001205,21.598337600007653,21.73060540005099,21.73060540005099,21.73060540005099,25.607351599959657,25.607351599959657,25.607351599959657,25.75817869999446,26.608481000061147,26.608481000061147,26.608481000061147,26.742669100058265,26.742669100058265,27.5992464000592,right,0.8338201999431476,0.06951950001530349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005061,001,1,2024-05-28_13h36.14.526,article1,2024.1.4,None,2024-05-28 13h36.23.098482 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.59989620000124,27.6081343999831,27.6081343999831,28.562212500022724,space,0.9455075999721885,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005061,001,1,2024-05-28_13h36.14.526,article1,2024.1.4,None,2024-05-28 13h36.23.098482 +0330,
,,,,0,0,0,0,,,,,,,,,28.57482630002778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.56308380002156,28.57482630002778,29.56318719999399,29.563212399953045,29.661674699978903,29.661674699978903,29.661674699978903,44,64,64,33.59150830004364,33.59150830004364,33.59150830004364,33.67518470005598,34.60947400005534,34.60947400005534,34.60947400005534,34.67521769995801,34.67521769995801,35.562348400009796,right,0.3095364000182599,0.13299349998123944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005061,001,1,2024-05-28_13h36.14.526,article1,2024.1.4,None,2024-05-28 13h36.23.098482 +0330,
,,,,1,0,1,0,,,,,,,,,35.92509539995808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.913013600045815,35.92509539995808,36.91441019997001,36.914443199988455,37.02749260002747,37.02749260002747,37.02749260002747,35,61,,40.92480889998842,40.92480889998842,40.92480889998842,41.04150439996738,41.92489430005662,41.92489430005662,41.92489430005662,42.041484100045636,42.041484100045636,43.9172569999937,None,,,42.92310010001529,43.93970710004214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005061,001,1,2024-05-28_13h36.14.526,article1,2024.1.4,None,2024-05-28 13h36.23.098482 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.28094389999751,44.29250810004305,44.29250810004305,45.031798299984075,space,0.7258628000272438,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005061,001,1,2024-05-28_13h36.14.526,article1,2024.1.4,None,2024-05-28 13h36.23.098482 +0330,
,,,,,,,,0,0,0,0,,,,,45.04151979996823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.03271399997175,45.04151979996823,46.16258760006167,46.031270800041966,46.031360500026494,46.16258760006167,46.16258760006167,46.16258760006167,50.10673640004825,51.123103699996136,51.123103699996136,51.123103699996136,52.190692399977706,52.12789070000872,right,2.9315408000256866,None,52.12886349996552,52.190692399977706,0.011571499984711409,54.717284000013024,65.0,2.5249712999211624,[0.16333333333333333],[0.023333333333333334],[1],[0],[0],[2.43167750001885],,,,,,,,,,,,,,,,,,,,,,,,,,,,005061,001,1,2024-05-28_13h36.14.526,article1,2024.1.4,None,2024-05-28 13h36.23.098482 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.71836179995444,54.73983530001715,54.73983530001715,55.913802600000054,space,1.1601943999994546,None,,,,,,,,,,,,,,,,,,,,,005061,001,1,2024-05-28_13h36.14.526,article1,2024.1.4,None,2024-05-28 13h36.23.098482 +0330,
,,,,,,,,,,,,0,0,0,0,55.92459459998645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.91465839999728,55.92459459998645,57.00604939996265,56.914094600011595,56.91412269999273,57.00604939996265,57.00604939996265,0.051169399986974895,58.13030900002923,35.0,1.131660700077191,[-0.165],[-0.185],[1],[0],[0],[1.0403759999899194],,,,005061,001,1,2024-05-28_13h36.14.526,article1,2024.1.4,None,2024-05-28 13h36.23.098482 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.131188399973325,58.17499249998946,58.17499249998946,,,,,,,,,
