training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,transfer_trials.thisRepN,transfer_trials.thisTrialN,transfer_trials.thisN,transfer_trials.thisIndex,estimation_trials.thisRepN,estimation_trials.thisTrialN,estimation_trials.thisN,estimation_trials.thisIndex,thisRow.t,notes,text_0.started,text0.started,text0_key_resp.started,text_0.stopped,text0_key_resp.keys,text0_key_resp.rt,text0_key_resp.duration,fixation_training.started,fixation0.started,fixation_training.stopped,main_training.started,left_image_0.started,right_image_0.started,key_resp_0.started,polygon_0.started,left_learning_reward_0.started,right_learning_reward_0.started,key_resp_0.stopped,polygon_0.stopped,left_learning_reward_0.stopped,right_learning_reward_0.stopped,left_image_0.stopped,right_image_0.stopped,main_training.stopped,key_resp_0.keys,key_resp_0.rt,key_resp_0.duration,text_1.started,text1.started,text1_key_resp.started,text_1.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,main_learning.started,left_image.started,right_image.started,key_resp.started,reward_A2,reward_C,gain_reward,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,main_learning.stopped,key_resp.keys,key_resp.rt,key_resp.duration,text_no_resp.started,text_no_resp.stopped,text_2.started,text2.started,text2_key_resp.started,text_2.stopped,text2_key_resp.keys,text2_key_resp.rt,text2_key_resp.duration,fixation_transfer.started,fixation2.started,fixation2.stopped,fixation_transfer.stopped,main_transfer.started,left_image_2.started,right_image_2.started,key_resp_2.started,polygon_2.started,left_image_2.stopped,right_image_2.stopped,key_resp_2.stopped,polygon_2.stopped,main_transfer.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,slider_transfer.started,slider_trns.started,mouse_trns.started,slider_transfer.stopped,slider_trns.response,slider_trns.rt,mouse_trns.x,mouse_trns.y,mouse_trns.leftButton,mouse_trns.midButton,mouse_trns.rightButton,mouse_trns.time,text_3.started,text3.started,text3_key_resp.started,text_3.stopped,text3_key_resp.keys,text3_key_resp.rt,text3_key_resp.duration,fixation_estimation.started,fixation3.started,fixation3.stopped,fixation_estimation.stopped,main_estimation.started,image_3.started,slider_estm.started,mouse_estm.started,main_estimation.stopped,slider_estm.response,slider_estm.rt,mouse_estm.x,mouse_estm.y,mouse_estm.leftButton,mouse_estm.midButton,mouse_estm.rightButton,mouse_estm.time,show_reward.started,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.05022169998846948,0.07383130001835525,0.07383130001835525,1.8863503000466153,space,1.7984929999802262,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009269,001,1,2024-05-28_12h59.12.584,article1,2024.1.4,None,2024-05-28 12h59.23.124741 +0330,
0,0,0,0,,,,,,,,,,,,,1.9095404000254348,,,,,,,,,1.888228000025265,1.9095404000254348,2.897164599969983,2.897183099994436,3.148006599978544,3.148006599978544,3.148006599978544,6.894348700065166,6.894348700065166,6.894348700065166,7.161101300036535,7.8944544000551105,7.8944544000551105,7.8944544000551105,8.16098589997273,8.16098589997273,8.882106399978511,right,2.0576491999672726,0.08986319997347891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009269,001,1,2024-05-28_12h59.12.584,article1,2024.1.4,None,2024-05-28 12h59.23.124741 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.908326699980535,8.925702700042166,8.925702700042166,9.914153999998234,space,0.9792688000015914,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009269,001,1,2024-05-28_12h59.12.584,article1,2024.1.4,None,2024-05-28 12h59.23.124741 +0330,
,,,,0,0,0,0,,,,,,,,,9.927165900007822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.914814900024794,9.927165900007822,11.065634800004773,10.9143140000524,10.914337299996987,11.065634800004773,11.065634800004773,11.065634800004773,87,64,64,14.927556800073944,14.927556800073944,14.927556800073944,15.077886400045827,15.927413500030525,15.927413500030525,15.927413500030525,16.077395600033924,16.077395600033924,16.931760600069538,right,0.6774923000484705,0.06286439998075366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009269,001,1,2024-05-28_12h59.12.584,article1,2024.1.4,None,2024-05-28 12h59.23.124741 +0330,
,,,,1,0,1,0,,,,,,,,,17.29375010007061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.28165430005174,17.29375010007061,18.36276759998873,18.28065069997683,18.280670100008138,18.36276759998873,18.36276759998873,18.36276759998873,73,69,,22.294179400079884,22.294179400079884,22.294179400079884,22.377560700057074,23.294317200081423,23.294317200081423,23.294317200081423,23.377210800070316,23.377210800070316,25.301072500064038,None,,,24.29363089997787,25.325489100068808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009269,001,1,2024-05-28_12h59.12.584,article1,2024.1.4,None,2024-05-28 12h59.23.124741 +0330,
,,,,2,0,2,0,,,,,,,,,25.67697470006533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.66346660000272,25.67697470006533,,26.664184299996123,26.66420790005941,26.746359199984,26.746359199984,26.746359199984,71,52,71,30.69331790006254,30.69331790006254,30.69331790006254,30.79301270004362,31.694091000012122,31.694091000012122,31.694091000012122,31.76025930000469,31.76025930000469,32.647830400033854,right,0.29095469997264445,0.1316394000314176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009269,001,1,2024-05-28_12h59.12.584,article1,2024.1.4,None,2024-05-28 12h59.23.124741 +0330,
,,,,3,0,3,0,,,,,,,,,33.01137419999577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.001968599972315,33.01137419999577,,34.013265300076455,34.01328349998221,34.11301620001905,34.11301620001905,34.11301620001905,59,34,59,38.01071509998292,38.01071509998292,38.01071509998292,38.12724689999595,39.026933400076814,39.026933400076814,39.026933400076814,39.12673919997178,39.12673919997178,39.9991638000356,left,1.8601588999154046,0.0735478000715375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009269,001,1,2024-05-28_12h59.12.584,article1,2024.1.4,None,2024-05-28 12h59.23.124741 +0330,
,,,,4,0,4,0,,,,,,,,,40.359878799994476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.34725089999847,40.359878799994476,41.4290737999836,41.346946400008164,41.346968900063075,41.4290737999836,41.4290737999836,41.4290737999836,78,42,,45.360257799969986,45.360257799969986,45.360257799969986,45.44383680005558,46.360599000006914,46.360599000006914,46.360599000006914,46.44258020003326,46.44258020003326,48.35238409996964,None,,,47.35994740005117,48.37506310001481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009269,001,1,2024-05-28_12h59.12.584,article1,2024.1.4,None,2024-05-28 12h59.23.124741 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.76308379997499,48.77674730005674,48.77674730005674,49.43080099998042,space,0.6430043000727892,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009269,001,1,2024-05-28_12h59.12.584,article1,2024.1.4,None,2024-05-28 12h59.23.124741 +0330,
,,,,,,,,0,0,0,0,,,,,49.443644399987534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.431572600035,49.443644399987534,50.556618500035256,50.43048430001363,50.43050600006245,50.556618500035256,50.556618500035256,50.556618500035256,53.29238020000048,54.308685500058345,54.308685500058345,54.308685500058345,55.391248899977654,55.31332860002294,right,1.7186304999049753,None,55.31388979998883,55.391248899977654,0.00775480002630502,57.980178000056185,70.0,2.628008499974385,[0.20333333333333334],[-0.028333333333333332],[1],[0],[0],[2.552272400003858],,,,,,,,,,,,,,,,,,,,,,,,,,009269,001,1,2024-05-28_12h59.12.584,article1,2024.1.4,None,2024-05-28 12h59.23.124741 +0330,
