training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,transfer_trials.thisRepN,transfer_trials.thisTrialN,transfer_trials.thisN,transfer_trials.thisIndex,estimation_trials.thisRepN,estimation_trials.thisTrialN,estimation_trials.thisN,estimation_trials.thisIndex,thisRow.t,notes,text_0.started,text0.started,text0_key_resp.started,text_0.stopped,text0_key_resp.keys,text0_key_resp.rt,text0_key_resp.duration,fixation_training.started,fixation0.started,fixation0.stopped,fixation_training.stopped,main_training.started,left_image_0.started,right_image_0.started,key_resp_0.started,polygon_0.started,left_learning_reward_0.started,right_learning_reward_0.started,key_resp_0.stopped,polygon_0.stopped,left_learning_reward_0.stopped,right_learning_reward_0.stopped,left_image_0.stopped,right_image_0.stopped,main_training.stopped,key_resp_0.keys,key_resp_0.rt,key_resp_0.duration,text_1.started,text1.started,text1_key_resp.started,text_1.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,main_learning.started,left_image.started,right_image.started,key_resp.started,reward_A2,reward_C,gain_reward,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,main_learning.stopped,key_resp.keys,key_resp.rt,key_resp.duration,reward_A1,reward_B,text_2.started,text2.started,text2_key_resp.started,text_2.stopped,text2_key_resp.keys,text2_key_resp.rt,text2_key_resp.duration,fixation_transfer.started,fixation2.started,fixation2.stopped,fixation_transfer.stopped,main_transfer.started,left_image_2.started,right_image_2.started,key_resp_2.started,polygon_2.started,left_image_2.stopped,right_image_2.stopped,key_resp_2.stopped,polygon_2.stopped,main_transfer.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,slider_transfer.started,slider_trns.started,mouse_trns.started,slider_transfer.stopped,slider_trns.response,slider_trns.rt,mouse_trns.x,mouse_trns.y,mouse_trns.leftButton,mouse_trns.midButton,mouse_trns.rightButton,mouse_trns.time,text_3.started,text3.started,text3_key_resp.started,text_3.stopped,text3_key_resp.keys,text3_key_resp.rt,text3_key_resp.duration,fixation_estimation.started,fixation3.started,fixation3.stopped,fixation_estimation.stopped,main_estimation.started,image_3.started,slider_estm.started,mouse_estm.started,main_estimation.stopped,slider_estm.response,slider_estm.rt,mouse_estm.x,mouse_estm.y,mouse_estm.leftButton,mouse_estm.midButton,mouse_estm.rightButton,mouse_estm.time,show_reward.started,text4.started,totalRewardText.started,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.006160699995234609,0.012549799983389676,0.012549799983389676,0.4821214999537915,space,0.4527241999749094,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,067909,001,1,2024-05-28_14h09.52.246,article1,2024.1.4,None,2024-05-28 14h09.58.248534 +0330,
0,0,0,0,,,,,,,,,,,,,0.49463520001154393,,,,,,,,,0.48269460001029074,0.49463520001154393,1.5684592999750748,1.478485899977386,1.478504900005646,1.5684592999750748,1.5684592999750748,1.5684592999750748,5.49523570004385,5.49523570004385,5.49523570004385,5.578444899991155,6.4978231999557465,6.4978231999557465,6.4978231999557465,6.581307500018738,6.581307500018738,7.485493900021538,left,1.1838373000500724,0.05179129994940013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,067909,001,1,2024-05-28_14h09.52.246,article1,2024.1.4,None,2024-05-28 14h09.58.248534 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.486338000046089,7.49875280004926,7.49875280004926,11.844825000036508,space,4.341137500014156,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,067909,001,1,2024-05-28_14h09.52.246,article1,2024.1.4,None,2024-05-28 14h09.58.248534 +0330,
,,,,0,0,0,0,,,,,,,,,11.860709000029601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.845930499956012,11.860709000029601,12.921993999974802,12.845126500003971,12.845140199991874,12.921993999974802,12.921993999974802,12.921993999974802,52,50,50,16.845175000024028,16.845175000024028,16.845175000024028,16.928413299960084,17.845114100025967,17.845114100025967,17.845114100025967,17.92752050003037,17.92752050003037,18.865455799968913,right,1.3441579999634996,0.08810019993688911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,067909,001,1,2024-05-28_14h09.52.246,article1,2024.1.4,None,2024-05-28 14h09.58.248534 +0330,
,,,,1,0,1,0,,,,,,,,,19.22750320006162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.21290579997003,19.22750320006162,20.2661695999559,20.21206589997746,20.212108499952592,20.2661695999559,20.2661695999559,20.2661695999559,,,49,24.211945199989714,24.211945199989714,24.211945199989714,24.278870700043626,25.212083199992776,25.212083199992776,25.212083199992776,25.277764900005423,25.277764900005423,26.21455509995576,left,0.25428840005770326,0.06553679995704442,49,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,067909,001,1,2024-05-28_14h09.52.246,article1,2024.1.4,None,2024-05-28 14h09.58.248534 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.563097900012508,26.577787599992007,26.577787599992007,27.728817800059915,space,1.1356120000127703,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,067909,001,1,2024-05-28_14h09.52.246,article1,2024.1.4,None,2024-05-28 14h09.58.248534 +0330,
,,,,,,,,0,0,0,0,,,,,27.744240200030617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.72941869997885,27.744240200030617,28.78928879997693,28.729199000052176,28.729242600034922,28.78928879997693,28.78928879997693,28.78928879997693,30.186972600058652,31.19270570005756,31.19270570005756,31.19270570005756,32.224294399959035,32.196610899991356,right,0.37814970000181347,None,32.19819919997826,32.224294399959035,0.007779299980029464,34.29583600000478,55.0,2.075485600042157,[0.03611111111111111],[-0.01574074074074074],[1],[0],[0],[1.9574454000685364],,,,,,,,,,,,,,,,,,,,,,,,,,,,067909,001,1,2024-05-28_14h09.52.246,article1,2024.1.4,None,2024-05-28 14h09.58.248534 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.2962683000369,34.31064459995832,34.31064459995832,35.22944899997674,space,0.9113317000446841,None,,,,,,,,,,,,,,,,,,,,,067909,001,1,2024-05-28_14h09.52.246,article1,2024.1.4,None,2024-05-28 14h09.58.248534 +0330,
,,,,,,,,,,,,0,0,0,0,35.244119100039825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.230541400029324,35.244119100039825,36.27585019997787,36.22859620000236,36.22865649999585,36.27585019997787,36.27585019997787,0.028834999888204038,37.162809400004335,45.0,0.888306500040926,[-0.04351851851851852],[-0.1787037037037037],[1],[0],[0],[0.7520621999865398],,,,067909,001,1,2024-05-28_14h09.52.246,article1,2024.1.4,None,2024-05-28 14h09.58.248534 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.163198800059035,37.1770185000496,37.1770185000496,,,,,,,,,
