training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,transfer_trials.thisRepN,transfer_trials.thisTrialN,transfer_trials.thisN,transfer_trials.thisIndex,estimation_trials.thisRepN,estimation_trials.thisTrialN,estimation_trials.thisN,estimation_trials.thisIndex,thisRow.t,notes,text_0.started,text0.started,text0_key_resp.started,text_0.stopped,text0_key_resp.keys,text0_key_resp.rt,text0_key_resp.duration,fixation_training.started,fixation0.started,fixation0.stopped,fixation_training.stopped,main_training.started,left_image_0.started,right_image_0.started,key_resp_0.started,polygon_0.started,left_learning_reward_0.started,right_learning_reward_0.started,key_resp_0.stopped,polygon_0.stopped,left_learning_reward_0.stopped,right_learning_reward_0.stopped,left_image_0.stopped,right_image_0.stopped,main_training.stopped,key_resp_0.keys,key_resp_0.rt,key_resp_0.duration,text_1.started,text1.started,text1_key_resp.started,text_1.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,main_learning.started,left_image.started,right_image.started,key_resp.started,reward_A2,reward_C,gain_reward,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,main_learning.stopped,key_resp.keys,key_resp.rt,key_resp.duration,reward_A1,reward_B,text_no_resp.started,text_no_resp.stopped,text_2.started,text2.started,text2_key_resp.started,text_2.stopped,text2_key_resp.keys,text2_key_resp.rt,text2_key_resp.duration,fixation_transfer.started,fixation2.started,fixation2.stopped,fixation_transfer.stopped,main_transfer.started,left_image_2.started,right_image_2.started,key_resp_2.started,polygon_2.started,left_image_2.stopped,right_image_2.stopped,key_resp_2.stopped,polygon_2.stopped,main_transfer.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,slider_transfer.started,slider_trns.started,mouse_trns.started,slider_transfer.stopped,slider_trns.response,slider_trns.rt,mouse_trns.x,mouse_trns.y,mouse_trns.leftButton,mouse_trns.midButton,mouse_trns.rightButton,mouse_trns.time,text_3.started,text3.started,text3_key_resp.started,text_3.stopped,text3_key_resp.keys,text3_key_resp.rt,text3_key_resp.duration,fixation_estimation.started,fixation3.started,fixation3.stopped,fixation_estimation.stopped,main_estimation.started,image_3.started,slider_estm.started,mouse_estm.started,main_estimation.stopped,slider_estm.response,slider_estm.rt,mouse_estm.x,mouse_estm.y,mouse_estm.leftButton,mouse_estm.midButton,mouse_estm.rightButton,mouse_estm.time,show_reward.started,text4.started,totalRewardText.started,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.00975349999498576,0.017898199963383377,0.017898199963383377,1.77092200005427,space,1.7418624999700114,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,080064,001,2,2024-05-28_14h47.08.032,article1,2024.1.4,None,2024-05-28 14h47.15.540048 +0330,
0,0,0,0,,,,,,,,,,,,,1.785035099950619,,,,,,,,,1.7714581999462098,1.785035099950619,2.8423378999577835,2.7695782999508083,2.769599899998866,2.8423378999577835,2.8423378999577835,2.8423378999577835,6.785827300045639,6.785827300045639,6.785827300045639,6.852385099977255,7.285684400005266,7.285684400005266,7.285684400005266,7.855854199966416,7.855854199966416,8.777526400052011,right,0.9882143000140786,0.0579065999481827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,080064,001,2,2024-05-28_14h47.08.032,article1,2024.1.4,None,2024-05-28 14h47.15.540048 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.778496199985966,8.788535799947567,8.788535799947567,11.751760400016792,space,2.9481301000341773,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,080064,001,2,2024-05-28_14h47.08.032,article1,2024.1.4,None,2024-05-28 14h47.15.540048 +0330,
,,,,0,0,0,0,,,,,,,,,11.767888300004415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.752164499950595,11.767888300004415,12.809780000010505,12.752176900045015,12.752193100051954,12.809780000010505,12.809780000010505,12.809780000010505,65,48,48,16.752328200032935,16.752328200032935,16.752328200032935,16.819193299976178,17.252322499989532,17.252322499989532,17.252322499989532,17.818148900056258,17.818148900056258,18.771724999998696,right,2.5657935000490397,0.04539089999161661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,080064,001,2,2024-05-28_14h47.08.032,article1,2024.1.4,None,2024-05-28 14h47.15.540048 +0330,
,,,,1,0,1,0,,,,,,,,,19.134927800041623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.120680900057778,19.134927800041623,20.201935300021432,20.120177499949932,20.12028559995815,20.201935300021432,20.201935300021432,20.201935300021432,,,,24.135349299991503,24.135349299991503,24.135349299991503,24.202079999959096,24.635435199947096,24.635435199947096,24.635435199947096,25.20166230003815,25.20166230003815,27.139287299942225,None,,,67,59,26.151464800001122,27.15129359997809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,080064,001,2,2024-05-28_14h47.08.032,article1,2024.1.4,None,2024-05-28 14h47.15.540048 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.486086099990644,27.50159989995882,27.50159989995882,28.66974789998494,space,1.1562483999878168,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,080064,001,2,2024-05-28_14h47.08.032,article1,2024.1.4,None,2024-05-28 14h47.15.540048 +0330,
,,,,,,,,0,0,0,0,,,,,28.68488229997456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.67048990004696,28.68488229997456,29.733604399953038,29.668944100034423,29.6689884000225,29.733604399953038,29.733604399953038,29.733604399953038,34.910319500020705,35.91558959998656,35.91558959998656,35.91558959998656,36.94557700003497,36.91846800001804,right,4.165124399936758,None,36.919155700015835,36.94557700003497,0.006892499979585409,37.820266900002025,55.0,0.8772612999891862,[0.0712962962962963],[-0.022222222222222223],[1],[0],[0],[0.7757976999273524],,,,,,,,,,,,,,,,,,,,,,,,,,,,080064,001,2,2024-05-28_14h47.08.032,article1,2024.1.4,None,2024-05-28 14h47.15.540048 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.82074969995301,37.83464659994934,37.83464659994934,38.95414579997305,space,1.1023267999989912,None,,,,,,,,,,,,,,,,,,,,,080064,001,2,2024-05-28_14h47.08.032,article1,2024.1.4,None,2024-05-28 14h47.15.540048 +0330,
,,,,,,,,,,,,0,0,0,0,38.967984799994156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.955429999972694,38.967984799994156,40.005882899975404,39.951942799962126,39.951958299963735,40.005882899975404,40.005882899975404,0.02860550000332296,40.57474449998699,60.0,0.5747589999809861,[0.12222222222222222],[-0.18425925925925926],[1],[0],[0],[0.46686329995281994],,,,080064,001,2,2024-05-28_14h47.08.032,article1,2024.1.4,None,2024-05-28 14h47.15.540048 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.575162400025874,40.59014790004585,40.59014790004585,,,,,,,,,
