learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,reward_A1,reward_B,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,learning_complete.stopped,key_resp.keys,reward_A2,reward_C,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.030453799990937114,0.06525139999575913,0.06525139999575913,3.9440213999478146,space,3.8627134000416845,None,,,,,,,,,,,,,,,,,,,,,,,,090942,001,2024-05-27_11h59.22.415,article1,2024.1.4,None,2024-05-27 11h59.27.548245 +0330,
0,0,0,0,3.952737499959767,,,,,,,,,3.9448904999298975,3.952737499959767,5.0427577999653295,4.94026699999813,4.940294099971652,5.0427577999653295,5.0427577999653295,5.0427577999653295,59,65,8.952443199930713,8.952443199930713,8.952443199930713,9.05282670003362,9.953434300026856,9.953434300026856,9.953434300026856,9.956378099974245,None,,,,,090942,001,2024-05-27_11h59.22.415,article1,2024.1.4,None,2024-05-27 11h59.27.548245 +0330,
1,0,1,0,10.318839599960484,,,,,,,,,10.30564489995595,10.318839599960484,,10.955597699969076,10.955617600004189,11.022631100029685,11.022631100029685,11.022631100029685,,,14.952250699978322,14.952250699978322,14.952250699978322,15.036629699985497,15.952526099979877,15.952526099979877,15.952526099979877,15.95494059997145,None,56,44,,,090942,001,2024-05-27_11h59.22.415,article1,2024.1.4,None,2024-05-27 11h59.27.548245 +0330,
2,0,2,0,16.319035399938002,,,,,,,,,16.303833200014196,16.319035399938002,,16.953845200012438,16.953859700006433,17.022546399966814,17.022546399966814,17.022546399966814,46,50,20.952069299994037,20.952069299994037,20.952069299994037,21.035603799973615,21.952172399964184,21.952172399964184,21.952172399964184,21.954518600017764,None,,,,,090942,001,2024-05-27_11h59.22.415,article1,2024.1.4,None,2024-05-27 11h59.27.548245 +0330,
3,0,3,0,22.318918099976145,,,,,,,,,22.305061999941245,22.318918099976145,,22.95597759995144,22.955995099968277,23.022194399964064,23.022194399964064,23.022194399964064,,,26.9523707999615,26.9523707999615,26.9523707999615,27.035292199929245,27.952584599959664,27.952584599959664,27.952584599959664,27.955209899926558,None,73,47,,,090942,001,2024-05-27_11h59.22.415,article1,2024.1.4,None,2024-05-27 11h59.27.548245 +0330,
4,0,4,0,28.319227800006047,,,,,,,,,28.304411299992353,28.319227800006047,,28.953680599923246,28.953695999924093,29.004178200033493,29.004178200033493,29.004178200033493,,,32.95186869997997,32.95186869997997,32.95186869997997,33.01892850000877,33.95210430002771,33.95210430002771,33.95210430002771,33.95452829997521,None,43,33,,,090942,001,2024-05-27_11h59.22.415,article1,2024.1.4,None,2024-05-27 11h59.27.548245 +0330,
5,0,5,0,34.31822729995474,,,,,,,,,34.30419299995992,34.31822729995474,,34.956575999967754,34.95659489999525,35.0208478999557,35.0208478999557,35.0208478999557,67,63,38.95197970001027,38.95197970001027,38.95197970001027,39.03511449997313,39.952627199934795,39.952627199934795,39.952627199934795,39.95674169994891,None,,,,,090942,001,2024-05-27_11h59.22.415,article1,2024.1.4,None,2024-05-27 11h59.27.548245 +0330,
6,0,6,0,40.31966010003816,,,,,,,,,40.30547060002573,40.31966010003816,,40.9565521000186,40.95657289994415,41.02229580003768,41.02229580003768,41.02229580003768,45,58,44.95147299999371,44.95147299999371,44.95147299999371,45.03559260000475,45.95190709992312,45.95190709992312,45.95190709992312,45.95421959995292,None,,,,,090942,001,2024-05-27_11h59.22.415,article1,2024.1.4,None,2024-05-27 11h59.27.548245 +0330,
7,0,7,0,46.3188353999285,,,,,,,,,46.305298699997365,46.3188353999285,,46.95560999994632,46.9556278999662,47.003949699923396,47.003949699923396,47.003949699923396,63,56,50.95174629997928,50.95174629997928,50.95174629997928,51.01843459997326,51.95250260003377,51.95250260003377,51.95250260003377,51.95566819992382,None,,,,,090942,001,2024-05-27_11h59.22.415,article1,2024.1.4,None,2024-05-27 11h59.27.548245 +0330,
8,0,8,0,52.31918430002406,,,,,,,,,52.303688299958594,52.31918430002406,,52.9561274999287,52.95614989998285,53.02052869996987,53.02052869996987,53.02052869996987,,,56.95130960003007,56.95130960003007,56.95130960003007,57.03495070000645,57.95190480002202,57.95190480002202,57.95190480002202,57.95432200003415,None,70,66,,,090942,001,2024-05-27_11h59.22.415,article1,2024.1.4,None,2024-05-27 11h59.27.548245 +0330,
