learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,transfer_trials.thisRepN,transfer_trials.thisTrialN,transfer_trials.thisN,transfer_trials.thisIndex,estimation_trials.thisRepN,estimation_trials.thisTrialN,estimation_trials.thisN,estimation_trials.thisIndex,thisRow.t,notes,text_1.started,text1.started,text1_key_resp.started,text_1.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,main_learning.started,left_image.started,right_image.started,key_resp.started,reward_A1,reward_B,gain_reward,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,main_learning.stopped,key_resp.keys,key_resp.rt,key_resp.duration,text_2.started,text2.started,text2_key_resp.started,text_2.stopped,text2_key_resp.keys,text2_key_resp.rt,text2_key_resp.duration,fixation_transfer.started,fixation2.started,fixation_transfer.stopped,main_transfer.started,left_image_2.started,right_image_2.started,key_resp_2.started,polygon_2.started,left_image_2.stopped,right_image_2.stopped,key_resp_2.stopped,polygon_2.stopped,main_transfer.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,slider_transfer.started,slider_trns.started,mouse_trns.started,slider_transfer.stopped,slider_trns.response,slider_trns.rt,mouse_trns.x,mouse_trns.y,mouse_trns.leftButton,mouse_trns.midButton,mouse_trns.rightButton,mouse_trns.time,text_3.started,text3.started,text3_key_resp.started,text_3.stopped,text3_key_resp.keys,text3_key_resp.rt,text3_key_resp.duration,fixation_estimation.started,fixation3.started,fixation3.stopped,fixation_estimation.stopped,main_estimation.started,image_3.started,slider_estm.started,mouse_estm.started,main_estimation.stopped,slider_estm.response,slider_estm.rt,mouse_estm.x,mouse_estm.y,mouse_estm.leftButton,mouse_estm.midButton,mouse_estm.rightButton,mouse_estm.time,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,0.014662600005976856,0.02970770001411438,0.02970770001411438,0.8345187000231817,space,0.7724388999631628,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173387,001,1,2024-05-28_11h18.34.517,article1,2024.1.4,None,2024-05-28 11h18.42.511484 +0330,
0,0,0,0,,,,,,,,,0.8454353000270203,,,,,,,,,0.8354246000526473,0.8454353000270203,1.9703416000120342,1.8345475000096485,1.8345711000729352,1.9703416000120342,1.9703416000120342,1.9703416000120342,85,51,51,5.862869400065392,5.862869400065392,5.862869400065392,5.995691000018269,6.863667200086638,6.863667200086638,6.863667200086638,6.97965460002888,6.97965460002888,7.851831000065431,right,0.31633309996686876,0.15862360002938658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173387,001,1,2024-05-28_11h18.34.517,article1,2024.1.4,None,2024-05-28 11h18.42.511484 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.218634400051087,8.230116000049748,8.230116000049748,9.020991600002162,space,0.7893941999645904,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173387,001,1,2024-05-28_11h18.34.517,article1,2024.1.4,None,2024-05-28 11h18.42.511484 +0330,
,,,,0,0,0,0,,,,,9.046000400092453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.021799700101838,9.046000400092453,10.03364770009648,10.033668700023554,10.167788500082679,10.167788500082679,10.167788500082679,11.7287045000121,12.746711700106971,12.746711700106971,12.746711700106971,13.844100800110027,13.757901700097136,right,0.5393795999698341,None,13.759589100023732,13.844100800110027,0.009211599943228066,15.634424700052477,10.0,1.8341932001058012,[-0.395],[-0.013333333333333334],[1],[0],[0],[1.725456399959512],,,,,,,,,,,,,,,,,,,,,,,,,173387,001,1,2024-05-28_11h18.34.517,article1,2024.1.4,None,2024-05-28 11h18.42.511484 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.635335400002077,15.645916100009345,15.645916100009345,16.80243570008315,space,1.1439683000789955,None,,,,,,,,,,,,,,,,,,173387,001,1,2024-05-28_11h18.34.517,article1,2024.1.4,None,2024-05-28 11h18.42.511484 +0330,
,,,,,,,,0,0,0,0,16.812213300028816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.803398200077936,16.812213300028816,17.96109290001914,17.8007929000305,17.800825100042857,17.96109290001914,17.96109290001914,0.08794869994744658,19.522435800055973,70.0,1.5849515999434516,[0.19333333333333333],[-0.205],[1],[0],[0],[1.4529652999481186],173387,001,1,2024-05-28_11h18.34.517,article1,2024.1.4,None,2024-05-28 11h18.42.511484 +0330,
,,,,,,,,1,0,1,0,19.54515350004658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.52395840000827,19.54515350004658,,20.534020200022496,20.534041200065985,20.60995890002232,20.60995890002232,0.04979260009713471,21.667486699996516,20.0,1.0607582000084221,[-0.29],[-0.18666666666666668],[1],[0],[0],[0.9395957000087947],173387,001,1,2024-05-28_11h18.34.517,article1,2024.1.4,None,2024-05-28 11h18.42.511484 +0330,
,,,,,,,,2,0,2,0,21.678444700082764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.668091600062326,21.678444700082764,22.76089530007448,22.667311300057918,22.667340900050476,22.76089530007448,22.76089530007448,0.04850909998640418,23.770461400039494,80.0,1.0032243999885395,[0.29833333333333334],[-0.19],[1],[0],[0],[0.8757575999479741],173387,001,1,2024-05-28_11h18.34.517,article1,2024.1.4,None,2024-05-28 11h18.42.511484 +0330,
,,,,,,,,3,0,3,0,23.778474500053562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.771218400099315,23.778474500053562,24.861303100013174,24.76841180003248,24.768435300095007,24.861303100013174,24.861303100013174,0.04578259994741529,25.967453900026157,30.0,1.1168758999556303,[-0.2],[-0.17166666666666666],[1],[0],[0],[0.9938189000822604],173387,001,1,2024-05-28_11h18.34.517,article1,2024.1.4,None,2024-05-28 11h18.42.511484 +0330,
,,,,,,,,4,0,4,0,25.97899720002897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.96812640002463,25.97899720002897,27.043833800009452,26.968423300073482,26.968447000021115,27.043833800009452,27.043833800009452,0.04824789997655898,28.21697690000292,60.0,1.1673025999916717,[0.10666666666666667],[-0.19333333333333333],[1],[0],[0],[1.0281590999802575],173387,001,1,2024-05-28_11h18.34.517,article1,2024.1.4,None,2024-05-28 11h18.42.511484 +0330,
