training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,transfer_trials.thisRepN,transfer_trials.thisTrialN,transfer_trials.thisN,transfer_trials.thisIndex,estimation_trials.thisRepN,estimation_trials.thisTrialN,estimation_trials.thisN,estimation_trials.thisIndex,thisRow.t,notes,text_0.started,text0.started,text0_key_resp.started,text_0.stopped,text0_key_resp.keys,text0_key_resp.rt,text0_key_resp.duration,fixation_training.started,fixation0.started,fixation0.stopped,fixation_training.stopped,main_training.started,left_image_0.started,right_image_0.started,key_resp_0.started,polygon_0.started,left_learning_reward_0.started,right_learning_reward_0.started,key_resp_0.stopped,polygon_0.stopped,left_learning_reward_0.stopped,right_learning_reward_0.stopped,left_image_0.stopped,right_image_0.stopped,text_no_resp_0.started,text_no_resp_0.stopped,main_training.stopped,key_resp_0.keys,key_resp_0.rt,key_resp_0.duration,text_1.started,text1.started,text1_key_resp.started,text_1.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,main_learning.started,left_image.started,right_image.started,key_resp.started,reward_C,reward_A2,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,text_no_resp.started,text_no_resp.stopped,main_learning.stopped,key_resp.keys,text_2.started,text2.started,text2_key_resp.started,text_2.stopped,text2_key_resp.keys,text2_key_resp.rt,text2_key_resp.duration,fixation_transfer.started,fixation2.started,fixation2.stopped,fixation_transfer.stopped,main_transfer.started,left_image_2.started,right_image_2.started,key_resp_2.started,polygon_2.started,left_image_2.stopped,right_image_2.stopped,key_resp_2.stopped,polygon_2.stopped,main_transfer.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,slider_transfer.started,slider_trns.started,mouse_trns.started,slider_transfer.stopped,slider_trns.response,slider_trns.rt,mouse_trns.x,mouse_trns.y,mouse_trns.leftButton,mouse_trns.midButton,mouse_trns.rightButton,mouse_trns.time,text_3.started,text3.started,text3_key_resp.started,text_3.stopped,text3_key_resp.keys,text3_key_resp.rt,text3_key_resp.duration,fixation_estimation.started,fixation3.started,fixation3.stopped,fixation_estimation.stopped,main_estimation.started,image_3.started,slider_estm.started,mouse_estm.started,main_estimation.stopped,slider_estm.response,slider_estm.rt,mouse_estm.x,mouse_estm.y,mouse_estm.leftButton,mouse_estm.midButton,mouse_estm.rightButton,mouse_estm.time,show_reward.started,text4.started,textbox4.started,textbox4.stopped,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.033143999986350536,0.08006860001478344,0.08006860001478344,3.1619808999821544,space,3.075734299956821,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200174,001,2,2024-05-28_12h28.44.665,article1,2024.1.4,None,2024-05-28 12h28.54.363544 +0330,
0,0,0,0,,,,,,,,,,,,,3.171172900008969,,,,,,,,,3.162962400005199,3.171172900008969,4.304939300054684,4.1576551999896765,4.157677000039257,4.304939300054684,4.304939300054684,4.304939300054684,8.187884000013582,8.187884000013582,8.187884000013582,8.321620700065978,8.68939150008373,8.68939150008373,8.68939150008373,9.30537020007614,9.30537020007614,10.186676700017415,11.203613899997436,11.182057099998929,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200174,001,2,2024-05-28_12h28.44.665,article1,2024.1.4,None,2024-05-28 12h28.54.363544 +0330,
1,0,1,0,,,,,,,,,,,,,11.203613899997436,,,,,,,,,11.182666899985634,11.203613899997436,,12.193979199975729,12.194001800031401,12.306689099990763,12.306689099990763,12.306689099990763,16.204847800079733,16.204847800079733,16.204847800079733,16.321705700014718,16.721240399987437,16.721240399987437,16.721240399987437,17.32140870008152,17.32140870008152,,,18.19530050002504,right,0.23938589997123927,0.06313899997621775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200174,001,2,2024-05-28_12h28.44.665,article1,2024.1.4,None,2024-05-28 12h28.54.363544 +0330,
2,0,2,0,,,,,,,,,,,,,18.20522650005296,,,,,,,,,18.196092099999078,18.20522650005296,19.290010199998505,19.193714800057933,19.19374090002384,19.290010199998505,19.290010199998505,19.290010199998505,23.221267000073567,23.221267000073567,23.221267000073567,23.30440839997027,23.738560099969618,23.738560099969618,23.738560099969618,24.305189899983816,24.305189899983816,,,25.212800699984655,left,0.485616400022991,0.08664990006946027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200174,001,2,2024-05-28_12h28.44.665,article1,2024.1.4,None,2024-05-28 12h28.54.363544 +0330,
3,0,3,0,,,,,,,,,,,,,25.224830600083806,,,,,,,,,25.21349310001824,25.224830600083806,,26.226198700023815,26.226221000077203,26.322965900064446,26.322965900064446,26.322965900064446,30.23737450002227,30.23737450002227,30.23737450002227,30.337978700059466,30.75518740003463,30.75518740003463,30.75518740003463,31.337909499998204,31.337909499998204,,,32.21113760001026,right,1.78323379997164,0.07178100000601262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200174,001,2,2024-05-28_12h28.44.665,article1,2024.1.4,None,2024-05-28 12h28.54.363544 +0330,
4,0,4,0,,,,,,,,,,,,,32.22143849998247,,,,,,,,,32.2118930000579,32.22143849998247,33.30675160000101,33.209294000058435,33.20934750000015,33.30675160000101,33.30675160000101,33.30675160000101,37.2365130999824,37.2365130999824,37.2365130999824,37.32060289999936,37.737159200012684,37.737159200012684,37.737159200012684,38.32075930002611,38.32075930002611,,,39.22626610007137,left,0.9205280999885872,0.04988279996905476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200174,001,2,2024-05-28_12h28.44.665,article1,2024.1.4,None,2024-05-28 12h28.54.363544 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.226912099984474,39.23722960008308,39.23722960008308,40.4596223999979,space,1.2166275000199676,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200174,001,2,2024-05-28_12h28.44.665,article1,2024.1.4,None,2024-05-28 12h28.54.363544 +0330,
,,,,0,0,0,0,,,,,,,,,40.47052630002145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.460386399994604,40.47052630002145,41.59156910004094,41.458358000032604,41.458385700010695,41.59156910004094,41.59156910004094,41.59156910004094,30,59,45.48712780000642,45.48712780000642,45.48712780000642,45.61908860004041,45.9881752000656,45.9881752000656,45.9881752000656,46.60459680005442,46.60459680005442,47.486951900064014,48.50251949997619,48.48080600006506,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200174,001,2,2024-05-28_12h28.44.665,article1,2024.1.4,None,2024-05-28 12h28.54.363544 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.843777199974284,48.853877200046554,48.853877200046554,69.14332620007917,space,20.271088399924338,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200174,001,2,2024-05-28_12h28.44.665,article1,2024.1.4,None,2024-05-28 12h28.54.363544 +0330,
,,,,,,,,0,0,0,0,,,,,69.15350979997311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.14430520008318,69.15350979997311,70.2578516000649,70.14210589998402,70.14213729999028,70.2578516000649,70.2578516000649,70.2578516000649,73.03524050000124,74.0523838000372,74.0523838000372,74.0523838000372,75.11841160000768,75.05845470004715,right,1.7541143998969346,None,75.05916309996974,75.11841160000768,0.008616700069978833,78.5927904000273,70.0,3.490887499996461,[0.19833333333333333],[-0.006666666666666667],[1],[0],[0],[3.367005599895492],,,,,,,,,,,,,,,,,,,,,,,,,,,,,200174,001,2,2024-05-28_12h28.44.665,article1,2024.1.4,None,2024-05-28 12h28.54.363544 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.59365699999034,78.60320630006026,78.60320630006026,79.97612780006602,space,1.3685081000439823,None,,,,,,,,,,,,,,,,,,,,,,200174,001,2,2024-05-28_12h28.44.665,article1,2024.1.4,None,2024-05-28 12h28.54.363544 +0330,
,,,,,,,,,,,,0,0,0,0,79.98654269997496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.97695070004556,79.98654269997496,81.08424029999878,80.97466910001822,80.97469190007541,81.08424029999878,81.08424029999878,0.05622999998740852,82.54047350003384,70.0,1.4752885999623686,[0.20166666666666666],[-0.22833333333333333],[1],[0],[0],[1.3670793999917805],,,,,200174,001,2,2024-05-28_12h28.44.665,article1,2024.1.4,None,2024-05-28 12h28.54.363544 +0330,
,,,,,,,,,,,,1,0,1,0,82.55312539997976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.54137089999858,82.55312539997976,83.63447220006492,83.54022139997687,83.54024520004168,83.63447220006492,83.63447220006492,0.05059130000881851,85.37386130006053,70.0,1.7495860999915749,[0.205],[-0.21666666666666667],[1],[0],[0],[1.643707099952735],,,,,200174,001,2,2024-05-28_12h28.44.665,article1,2024.1.4,None,2024-05-28 12h28.54.363544 +0330,
,,,,,,,,,,,,2,0,2,0,85.38613880006596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.37452100007795,85.38613880006596,,86.37497550004628,86.3750031000236,86.45090020005591,86.45090020005591,0.04766080004628748,87.62813139997888,80.0,1.1543928999453783,[0.33166666666666667],[-0.20833333333333334],[1],[0],[0],[1.048062999965623],,,,,200174,001,2,2024-05-28_12h28.44.665,article1,2024.1.4,None,2024-05-28 12h28.54.363544 +0330,
,,,,,,,,,,,,3,0,3,0,87.63631159998477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.62894409999717,87.63631159998477,88.71791130001657,88.62433790008072,88.62436420004815,88.71791130001657,88.71791130001657,0.04626880004070699,89.47385940002277,80.0,0.7664288999512792,[0.3016666666666667],[-0.21166666666666667],[1],[0],[0],[0.6747618999797851],,,,,200174,001,2,2024-05-28_12h28.44.665,article1,2024.1.4,None,2024-05-28 12h28.54.363544 +0330,
,,,,,,,,,,,,4,0,4,0,89.48648000007961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.47453910007607,89.48648000007961,90.57091160002165,90.47499080002308,90.47501729999203,90.57091160002165,90.57091160002165,0.047243300010450184,91.29370929999277,80.0,0.7377457999391481,[0.3016666666666667],[-0.21166666666666667],[1],[0],[0],[0.6648345000576228],,,,,200174,001,2,2024-05-28_12h28.44.665,article1,2024.1.4,None,2024-05-28 12h28.54.363544 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.29438300000038,91.31831530004274,91.31831530004274,92.31909920007456,,,,,,,,,
