training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,transfer_trials.thisRepN,transfer_trials.thisTrialN,transfer_trials.thisN,transfer_trials.thisIndex,estimation_trials.thisRepN,estimation_trials.thisTrialN,estimation_trials.thisN,estimation_trials.thisIndex,thisRow.t,notes,text_0.started,text0.started,text0_key_resp.started,text_0.stopped,text0_key_resp.keys,text0_key_resp.rt,text0_key_resp.duration,fixation_training.started,fixation0.started,fixation0.stopped,fixation_training.stopped,main_training.started,left_image_0.started,right_image_0.started,key_resp_0.started,polygon_0.started,left_learning_reward_0.started,right_learning_reward_0.started,key_resp_0.stopped,polygon_0.stopped,left_learning_reward_0.stopped,right_learning_reward_0.stopped,left_image_0.stopped,right_image_0.stopped,main_training.stopped,key_resp_0.keys,key_resp_0.rt,key_resp_0.duration,text_no_resp_0.started,text_no_resp_0.stopped,text_1.started,text1.started,text1_key_resp.started,text_1.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,main_learning.started,left_image.started,right_image.started,key_resp.started,reward_A1,reward_B,gain_reward,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,main_learning.stopped,key_resp.keys,key_resp.rt,key_resp.duration,reward_C,reward_A2,text_no_resp.started,text_no_resp.stopped,text_2.started,text2.started,text2_key_resp.started,text_2.stopped,text2_key_resp.keys,text2_key_resp.rt,text2_key_resp.duration,fixation_transfer.started,fixation2.started,fixation2.stopped,fixation_transfer.stopped,main_transfer.started,left_image_2.started,right_image_2.started,key_resp_2.started,polygon_2.started,left_image_2.stopped,right_image_2.stopped,key_resp_2.stopped,polygon_2.stopped,main_transfer.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,slider_transfer.started,slider_trns.started,mouse_trns.started,slider_transfer.stopped,slider_trns.response,slider_trns.rt,mouse_trns.x,mouse_trns.y,mouse_trns.leftButton,mouse_trns.midButton,mouse_trns.rightButton,mouse_trns.time,text_3.started,text3.started,text3_key_resp.started,text_3.stopped,text3_key_resp.keys,text3_key_resp.rt,text3_key_resp.duration,fixation_estimation.started,fixation3.started,fixation3.stopped,fixation_estimation.stopped,main_estimation.started,image_3.started,slider_estm.started,mouse_estm.started,main_estimation.stopped,slider_estm.response,slider_estm.rt,mouse_estm.x,mouse_estm.y,mouse_estm.leftButton,mouse_estm.midButton,mouse_estm.rightButton,mouse_estm.time,show_reward.started,text4.started,totalRewardText.started,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.0030757999047636986,0.006942500011064112,0.006942500011064112,0.32828549994155765,space,0.3121125999605283,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203234,001,1,2024-05-28_15h34.39.207,article1,2024.1.4,None,2024-05-28 15h34.49.447423 +0330,
0,0,0,0,,,,,,,,,,,,,0.3366208999650553,,,,,,,,,0.3298259999137372,0.3366208999650553,1.4682669999310747,1.3203720999881625,1.3203973999479786,1.4682669999310747,1.4682669999310747,1.4682669999310747,5.337793799932115,5.337793799932115,5.337793799932115,5.471332299988717,6.337738499976695,6.337738499976695,6.337738499976695,6.470060599967837,6.470060599967837,7.325557200005278,right,0.47603229992091656,0.14168030000291765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203234,001,1,2024-05-28_15h34.39.207,article1,2024.1.4,None,2024-05-28 15h34.49.447423 +0330,
1,0,1,0,,,,,,,,,,,,,7.336703000008129,,,,,,,,,7.326627300004475,7.336703000008129,8.41379889997188,8.321577699971385,8.321634199935943,8.41379889997188,8.41379889997188,8.41379889997188,12.336940899956971,12.336940899956971,12.336940899956971,12.420697599998675,13.337211999925785,13.337211999925785,13.337211999925785,13.419764499994926,13.419764499994926,15.327938099973835,None,,,14.336314199957997,15.33627400000114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203234,001,1,2024-05-28_15h34.39.207,article1,2024.1.4,None,2024-05-28 15h34.49.447423 +0330,
2,0,2,0,,,,,,,,,,,,,15.33627400000114,,,,,,,,,15.328301599947736,15.33627400000114,16.446553999907337,16.32026959990617,16.32029269996565,16.446553999907337,16.446553999907337,16.446553999907337,20.33773129992187,20.33773129992187,20.33773129992187,20.45391399995424,21.337404199992307,21.337404199992307,21.337404199992307,21.45328919996973,21.45328919996973,22.324714499991387,left,0.38984840002376586,0.16400470002554357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203234,001,1,2024-05-28_15h34.39.207,article1,2024.1.4,None,2024-05-28 15h34.49.447423 +0330,
3,0,3,0,,,,,,,,,,,,,22.33619269996416,,,,,,,,,22.325569799984805,22.33619269996416,23.402173399925232,23.321603099931963,23.321652599959634,23.402173399925232,23.402173399925232,23.402173399925232,27.336984499939717,27.336984499939717,27.336984499939717,27.403872199938633,28.337035899981856,28.337035899981856,28.337035899981856,28.402494399924763,28.402494399924763,30.3449620999163,None,,,29.352599099976942,30.352832500007935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203234,001,1,2024-05-28_15h34.39.207,article1,2024.1.4,None,2024-05-28 15h34.49.447423 +0330,
4,0,4,0,,,,,,,,,,,,,30.352832500007935,,,,,,,,,30.345496199908666,30.352832500007935,31.42880539991893,31.337631699978374,31.337667000014335,31.42880539991893,31.42880539991893,31.42880539991893,35.35361969994847,35.35361969994847,35.35361969994847,35.43683209992014,36.353551500011235,36.353551500011235,36.353551500011235,36.4361483999528,36.4361483999528,37.34222290001344,right,0.21498910000082105,0.0738427999895066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203234,001,1,2024-05-28_15h34.39.207,article1,2024.1.4,None,2024-05-28 15h34.49.447423 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.34277069999371,37.352636699914,37.352636699914,38.28688249993138,space,0.9185215000761673,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203234,001,1,2024-05-28_15h34.39.207,article1,2024.1.4,None,2024-05-28 15h34.49.447423 +0330,
,,,,0,0,0,0,,,,,,,,,38.30270319990814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.287946500000544,38.30270319990814,39.43094589991961,39.2878866000101,39.2879408999579,39.43094589991961,39.43094589991961,39.43094589991961,85,53,53,43.28703309991397,43.28703309991397,43.28703309991397,43.43701919994783,44.287086999975145,44.287086999975145,44.287086999975145,44.436064899899065,44.436064899899065,45.30682399997022,right,1.2802816999610513,0.07867990003433079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203234,001,1,2024-05-28_15h34.39.207,article1,2024.1.4,None,2024-05-28 15h34.49.447423 +0330,
,,,,1,0,1,0,,,,,,,,,45.66902739997022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.653900099918246,45.66902739997022,46.824401999940164,46.654224399942905,46.65426139999181,46.824401999940164,46.824401999940164,46.824401999940164,,,,50.65290320001077,50.65290320001077,50.65290320001077,50.83634499995969,51.65296559990384,51.65296559990384,51.65296559990384,51.83604809991084,51.83604809991084,53.6790033999132,None,,,56,39,52.68563500000164,53.688382099964656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203234,001,1,2024-05-28_15h34.39.207,article1,2024.1.4,None,2024-05-28 15h34.49.447423 +0330,
,,,,2,0,2,0,,,,,,,,,54.03573729994241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.019780099974014,54.03573729994241,55.16075839998666,55.02062530000694,55.020670900004916,55.16075839998666,55.16075839998666,55.16075839998666,62,48,62,59.020165399997495,59.020165399997495,59.020165399997495,59.16997389995959,60.01969739992637,60.01969739992637,60.01969739992637,60.168978499947116,60.168978499947116,61.02388369990513,left,0.19455380004364997,0.061086999950930476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203234,001,1,2024-05-28_15h34.39.207,article1,2024.1.4,None,2024-05-28 15h34.49.447423 +0330,
