learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,transfer_trials.thisRepN,transfer_trials.thisTrialN,transfer_trials.thisN,transfer_trials.thisIndex,estimation_trials.thisRepN,estimation_trials.thisTrialN,estimation_trials.thisN,estimation_trials.thisIndex,thisRow.t,notes,text_1.started,text1.started,text1_key_resp.started,text_1.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation_learning.stopped,main_learning.started,left_image.started,right_image.started,key_resp.started,reward_A2,reward_C,gain_reward,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,main_learning.stopped,key_resp.keys,key_resp.rt,key_resp.duration,text_2.started,text2.started,text2_key_resp.started,text_2.stopped,text2_key_resp.keys,text2_key_resp.rt,text2_key_resp.duration,fixation_transfer.started,fixation2.started,fixation2.stopped,fixation_transfer.stopped,main_transfer.started,left_image_2.started,right_image_2.started,key_resp_2.started,polygon_2.started,left_image_2.stopped,right_image_2.stopped,key_resp_2.stopped,polygon_2.stopped,main_transfer.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,slider_transfer.started,slider_trns.started,mouse_trns.started,slider_transfer.stopped,slider_trns.response,slider_trns.rt,mouse_trns.x,mouse_trns.y,mouse_trns.leftButton,mouse_trns.midButton,mouse_trns.rightButton,mouse_trns.time,text_3.started,text3.started,text3_key_resp.started,text_3.stopped,text3_key_resp.keys,text3_key_resp.rt,text3_key_resp.duration,fixation_estimation.started,fixation3.started,fixation_estimation.stopped,main_estimation.started,image_3.started,slider_estm.started,mouse_estm.started,main_estimation.stopped,slider_estm.response,slider_estm.rt,mouse_estm.x,mouse_estm.y,mouse_estm.leftButton,mouse_estm.midButton,mouse_estm.rightButton,mouse_estm.time,fixation3.stopped,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,0.012054999941028655,0.024209899944253266,0.024209899944253266,0.6352145000128075,space,0.6049822000786662,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248306,001,1,2024-05-28_11h17.22.566,article1,2024.1.4,None,2024-05-28 11h17.31.961296 +0330,
0,0,0,0,,,,,,,,,0.6561992999631912,,,,,,,,,0.6364018999738619,0.6561992999631912,1.6449468999635428,1.6449703000253066,1.8800087999552488,1.8800087999552488,1.8800087999552488,67,41,41,5.676874600001611,5.676874600001611,5.676874600001611,5.907584699918516,6.695643599960022,6.695643599960022,6.695643599960022,6.891909199999645,6.891909199999645,7.6491790999425575,right,0.4986690999940038,0.13987830001860857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248306,001,1,2024-05-28_11h17.22.566,article1,2024.1.4,None,2024-05-28 11h17.31.961296 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.163670899928547,8.174250099924393,8.174250099924393,9.113863499951549,space,0.9364729999797419,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248306,001,1,2024-05-28_11h17.22.566,article1,2024.1.4,None,2024-05-28 11h17.31.961296 +0330,
,,,,0,0,0,0,,,,,9.123987199971452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.114597699954174,9.123987199971452,10.246105299913324,10.11166900000535,10.111688599921763,10.246105299913324,10.246105299913324,10.246105299913324,11.707846699981019,12.723719600006007,12.723719600006007,12.723719600006007,13.790347200003453,13.730672699981369,left,0.4358170999912545,None,13.731425200006925,13.790347200003453,0.009475900093093514,16.38068950001616,0.0,2.606880599982105,[-0.4866666666666667],[-0.018333333333333333],[1],[0],[0],[2.4809006999712437],,,,,,,,,,,,,,,,,,,,,,,,,248306,001,1,2024-05-28_11h17.22.566,article1,2024.1.4,None,2024-05-28 11h17.31.961296 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.381555899977684,16.390655900002457,16.390655900002457,18.265959199983627,space,1.858919500024058,None,,,,,,,,,,,,,,,,,,248306,001,1,2024-05-28_11h17.22.566,article1,2024.1.4,None,2024-05-28 11h17.31.961296 +0330,
,,,,,,,,0,0,0,0,18.290033799945377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.266871999949217,18.290033799945377,19.279509800020605,19.27953499997966,19.37232409999706,19.37232409999706,0.0608302999753505,26.715196099947207,70.0,7.343134499969892,[0.195],[-0.21],[1],[0],[0],[7.233888600021601],,248306,001,1,2024-05-28_11h17.22.566,article1,2024.1.4,None,2024-05-28 11h17.31.961296 +0330,
,,,,,,,,1,0,1,0,26.72423739999067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.716197700006887,26.72423739999067,27.713940999936312,27.713973699952476,27.80745889991522,27.80745889991522,0.043150900048203766,29.148942500003614,70.0,1.3391724000684917,[0.195],[-0.21],[1],[0],[0],[1.2330739999888465],27.80745889991522,248306,001,1,2024-05-28_11h17.22.566,article1,2024.1.4,None,2024-05-28 11h17.31.961296 +0330,
,,,,,,,,2,0,2,0,29.157623799983412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.149757199920714,29.157623799983412,30.145159099949524,30.14517929998692,30.239706399966963,30.239706399966963,0.04196309996768832,31.232866599923,70.0,0.9921073999721557,[0.195],[-0.21],[1],[0],[0],[0.7964756999863312],30.239706399966963,248306,001,1,2024-05-28_11h17.22.566,article1,2024.1.4,None,2024-05-28 11h17.31.961296 +0330,
,,,,,,,,3,0,3,0,31.240740999928676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.23358240001835,31.240740999928676,32.2284300000174,32.22845759999473,32.30506239994429,32.30506239994429,0.04187600000295788,33.33174449997023,80.0,1.0070473999949172,[0.2966666666666667],[-0.20333333333333334],[1],[0],[0],[0.9027941999956965],32.30506239994429,248306,001,1,2024-05-28_11h17.22.566,article1,2024.1.4,None,2024-05-28 11h17.31.961296 +0330,
,,,,,,,,4,0,4,0,33.34024299995508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33259819995146,33.34024299995508,34.32791140000336,34.327931899926625,34.42225790000521,34.42225790000521,0.04299280000850558,36.281233399990015,80.0,1.8705022999783978,[0.3],[-0.17833333333333334],[1],[0],[0],[1.7968230999540538],34.42225790000521,248306,001,1,2024-05-28_11h17.22.566,article1,2024.1.4,None,2024-05-28 11h17.31.961296 +0330,
