learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,learning_complete.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.010016400017775595,0.013999199960380793,0.013999199960380793,2.73665209999308,space,2.703672100091353,None,,,,,,,,,,,,,,,,,,,,249009,001,2024-05-27_01h01.47.370,article1,2024.1.4,None,2024-05-27 01h01.58.335312 +0330,
0,0,0,0,2.746160399983637,,,,,,,,,2.7378013000125065,2.746160399983637,3.8031832999549806,3.7298048000084236,3.7298170999856666,3.8031832999549806,3.8031832999549806,3.8031832999549806,7.746648799977265,7.746648799977265,7.746648799977265,7.8132516000187024,8.752299099927768,8.752299099927768,8.752299099927768,8.752548499964178,right,1.2961637999396771,0.10589420003816485,249009,001,2024-05-27_01h01.47.370,article1,2024.1.4,None,2024-05-27 01h01.58.335312 +0330,
1,0,1,0,9.11798069998622,,,,,,,,,9.105966500006616,9.11798069998622,,9.752233100007288,9.752251600031741,9.82029079995118,9.82029079995118,9.82029079995118,13.735497299931012,13.735497299931012,13.735497299931012,13.834345199982636,,14.735208499943838,14.735208499943838,14.75184000004083,None,,,249009,001,2024-05-27_01h01.47.370,article1,2024.1.4,None,2024-05-27 01h01.58.335312 +0330,
2,0,2,0,15.118906899937429,,,,,,,,,15.10280590003822,15.118906899937429,,15.751706099952571,15.751723999972455,15.828084500040859,15.828084500040859,15.828084500040859,19.735384200001135,19.735384200001135,19.735384200001135,19.834174099960364,,20.73434470000211,20.73434470000211,20.752183599979617,None,,,249009,001,2024-05-27_01h01.47.370,article1,2024.1.4,None,2024-05-27 01h01.58.335312 +0330,
3,0,3,0,21.118737200042233,,,,,,,,,21.10530870000366,21.118737200042233,,21.753087399993092,21.753122800029814,21.829242500010878,21.829242500010878,21.829242500010878,25.73780739994254,25.73780739994254,25.73780739994254,25.835890299989842,,26.750903700012714,26.750903700012714,26.75105960003566,None,,,249009,001,2024-05-27_01h01.47.370,article1,2024.1.4,None,2024-05-27 01h01.58.335312 +0330,
4,0,4,0,27.11926810001023,,,,,,,,,27.10330509999767,27.11926810001023,,27.751044900040142,27.751068799989298,27.81934339995496,27.81934339995496,27.81934339995496,31.751552799949422,31.751552799949422,31.751552799949422,31.833011199953035,,32.75015530001838,32.75015530001838,32.7504674999509,None,,,249009,001,2024-05-27_01h01.47.370,article1,2024.1.4,None,2024-05-27 01h01.58.335312 +0330,
5,0,5,0,33.118804099969566,,,,,,,,,33.10274250002112,33.118804099969566,,33.75098579993937,33.75100549997296,33.85654780000914,33.85654780000914,33.85654780000914,37.75255289999768,37.75255289999768,37.75255289999768,37.8674249999458,,,,38.75086349993944,None,,,249009,001,2024-05-27_01h01.47.370,article1,2024.1.4,None,2024-05-27 01h01.58.335312 +0330,
6,0,6,0,39.118370799929835,,,,,,,,,39.10174369998276,39.118370799929835,,39.75154600001406,39.75157159997616,39.8519409999717,39.8519409999717,39.8519409999717,43.73527089995332,43.73527089995332,43.73527089995332,43.86687979998533,,44.73581710003782,44.73581710003782,44.751852500019595,None,,,249009,001,2024-05-27_01h01.47.370,article1,2024.1.4,None,2024-05-27 01h01.58.335312 +0330,
7,0,7,0,45.119397999951616,,,,,,,,,45.10146309994161,45.119397999951616,,45.73686359997373,45.736891499953344,45.8420987999998,45.8420987999998,45.8420987999998,49.75088499998674,49.75088499998674,49.75088499998674,49.85060759994667,,50.75110490003135,50.75110490003135,50.751250399975106,None,,,249009,001,2024-05-27_01h01.47.370,article1,2024.1.4,None,2024-05-27 01h01.58.335312 +0330,
8,0,8,0,51.118998499936424,,,,,,,,,51.10198030003812,51.118998499936424,,51.75097769999411,51.75099490000866,51.836874500033446,51.836874500033446,51.836874500033446,55.74987029994372,55.74987029994372,55.74987029994372,55.86117409996223,,,,56.74533259996679,None,,,249009,001,2024-05-27_01h01.47.370,article1,2024.1.4,None,2024-05-27 01h01.58.335312 +0330,
,,,,57.11173420003615,,,,,,,,,57.097273899940774,57.11173420003615,,,,,,,,,,,,,,,,,,,,,,,,,
