training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,transfer_trials.thisRepN,transfer_trials.thisTrialN,transfer_trials.thisN,transfer_trials.thisIndex,estimation_trials.thisRepN,estimation_trials.thisTrialN,estimation_trials.thisN,estimation_trials.thisIndex,thisRow.t,notes,text_0.started,text0.started,text0_key_resp.started,text_0.stopped,text0_key_resp.keys,text0_key_resp.rt,text0_key_resp.duration,fixation_training.started,fixation0.started,fixation0.stopped,fixation_training.stopped,main_training.started,left_image_0.started,right_image_0.started,key_resp_0.started,polygon_0.started,left_learning_reward_0.started,right_learning_reward_0.started,key_resp_0.stopped,polygon_0.stopped,left_learning_reward_0.stopped,right_learning_reward_0.stopped,left_image_0.stopped,right_image_0.stopped,main_training.stopped,key_resp_0.keys,key_resp_0.rt,key_resp_0.duration,text_1.started,text1.started,text1_key_resp.started,text_1.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,main_learning.started,left_image.started,right_image.started,key_resp.started,reward_A2,reward_C,gain_reward,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,main_learning.stopped,key_resp.keys,key_resp.rt,key_resp.duration,reward_B,reward_A1,text_2.started,text2.started,text2_key_resp.started,text_2.stopped,text2_key_resp.keys,text2_key_resp.rt,text2_key_resp.duration,fixation_transfer.started,fixation2.started,fixation2.stopped,fixation_transfer.stopped,main_transfer.started,left_image_2.started,right_image_2.started,key_resp_2.started,polygon_2.started,left_image_2.stopped,right_image_2.stopped,key_resp_2.stopped,polygon_2.stopped,main_transfer.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,slider_transfer.started,slider_trns.started,mouse_trns.started,slider_transfer.stopped,slider_trns.response,slider_trns.rt,mouse_trns.x,mouse_trns.y,mouse_trns.leftButton,mouse_trns.midButton,mouse_trns.rightButton,mouse_trns.time,text_3.started,text3.started,text3_key_resp.started,text_3.stopped,text3_key_resp.keys,text3_key_resp.rt,text3_key_resp.duration,fixation_estimation.started,fixation3.started,fixation3.stopped,fixation_estimation.stopped,main_estimation.started,image_3.started,slider_estm.started,mouse_estm.started,main_estimation.stopped,slider_estm.response,slider_estm.rt,mouse_estm.x,mouse_estm.y,mouse_estm.leftButton,mouse_estm.midButton,mouse_estm.rightButton,mouse_estm.time,show_reward.started,text4.started,totalRewardText.started,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.10583810007665306,0.10908780002500862,0.10908780002500862,1.4372062999755144,space,1.316259799990803,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259553,001,1,2024-05-28_14h01.47.363,article1,2024.1.4,None,2024-05-28 14h01.58.501941 +0330,
0,0,0,0,,,,,,,,,,,,,1.4500639999751002,,,,,,,,,1.43779400002677,1.4500639999751002,2.5075802999781445,2.4348862000042573,2.4349224000470713,2.5075802999781445,2.5075802999781445,2.5075802999781445,6.451020000036806,6.451020000036806,6.451020000036806,6.517545600072481,7.450778600061312,7.450778600061312,7.450778600061312,7.516394900041632,7.516394900041632,8.453797699999996,left,1.2482226999709383,0.055538599961437285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259553,001,1,2024-05-28_14h01.47.363,article1,2024.1.4,None,2024-05-28 14h01.58.501941 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.454985000076704,8.466746199992485,8.466746199992485,9.61769300000742,space,1.1399523000000045,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259553,001,1,2024-05-28_14h01.47.363,article1,2024.1.4,None,2024-05-28 14h01.58.501941 +0330,
,,,,0,0,0,0,,,,,,,,,9.633043900015764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.618342600064352,9.633043900015764,10.68338419997599,10.61810169997625,10.618151300004683,10.68338419997599,10.68338419997599,10.68338419997599,74,41,41,14.61732469999697,14.61732469999697,14.61732469999697,14.684107500012033,15.617110599996522,15.617110599996522,15.617110599996522,15.682970400084741,15.682970400084741,16.62020190001931,right,0.285679200082086,0.09159539989195764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259553,001,1,2024-05-28_14h01.47.363,article1,2024.1.4,None,2024-05-28 14h01.58.501941 +0330,
,,,,1,0,1,0,,,,,,,,,16.98283230001107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.968440899974667,16.98283230001107,18.019460599985905,17.967477699974552,17.967516100034118,18.019460599985905,18.019460599985905,18.019460599985905,,,53,21.98385740001686,21.98385740001686,21.98385740001686,22.033987700007856,22.98364059999585,22.98364059999585,22.98364059999585,23.032903300016187,23.032903300016187,23.986157300067134,right,1.1088505000807345,0.06520690000616014,64,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259553,001,1,2024-05-28_14h01.47.363,article1,2024.1.4,None,2024-05-28 14h01.58.501941 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.33332189999055,24.34901030000765,24.34901030000765,25.400572100072168,space,1.040663499967195,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259553,001,1,2024-05-28_14h01.47.363,article1,2024.1.4,None,2024-05-28 14h01.58.501941 +0330,
,,,,,,,,0,0,0,0,,,,,25.416206300025806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.4013756000204,25.416206300025806,26.483245700015686,26.40085650002584,26.400896699982695,26.483245700015686,26.483245700015686,26.483245700015686,28.57975809997879,29.586951000033878,29.586951000033878,29.586951000033878,30.620795199996792,30.588726700050756,right,1.0809095000149682,None,30.59058780001942,30.620795199996792,0.011133600026369095,32.385078500024974,65.0,1.7701638999860734,[0.16018518518518518],[-0.001851851851851852],[1],[0],[0],[1.6510921999579296],,,,,,,,,,,,,,,,,,,,,,,,,,,,259553,001,1,2024-05-28_14h01.47.363,article1,2024.1.4,None,2024-05-28 14h01.58.501941 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.3854937000433,32.3990525000263,32.3990525000263,34.71823050000239,space,2.3124508999753743,None,,,,,,,,,,,,,,,,,,,,,259553,001,1,2024-05-28_14h01.47.363,article1,2024.1.4,None,2024-05-28 14h01.58.501941 +0330,
,,,,,,,,,,,,0,0,0,0,34.73257039999589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.71924880007282,34.73257039999589,35.76503260002937,35.717429500073195,35.71748029999435,35.76503260002937,35.76503260002937,0.02896080003120005,36.501349200028926,70.0,0.7380056000547484,[0.21666666666666667],[-0.21574074074074073],[1],[0],[0],[0.6671143000712618],,,,259553,001,1,2024-05-28_14h01.47.363,article1,2024.1.4,None,2024-05-28 14h01.58.501941 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.501809300039895,36.515796400024556,36.515796400024556,,,,,,,,,
