training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text_0.started,text0.started,text0_key_resp.started,text_0.stopped,text0_key_resp.keys,text0_key_resp.rt,text0_key_resp.duration,fixation_training.started,fixation0.started,fixation0.stopped,fixation_training.stopped,main_training.started,left_image_0.started,right_image_0.started,key_resp_0.started,polygon_0.started,left_learning_reward_0.started,right_learning_reward_0.started,key_resp_0.stopped,polygon_0.stopped,left_learning_reward_0.stopped,right_learning_reward_0.stopped,left_image_0.stopped,right_image_0.stopped,text_no_resp_0.started,text_no_resp_0.stopped,main_training.stopped,key_resp_0.keys,text_1.started,text1.started,text1_key_resp.started,text_1.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,main_learning.started,left_image.started,right_image.started,key_resp.started,reward_C,reward_A2,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,text_no_resp.started,text_no_resp.stopped,main_learning.stopped,key_resp.keys,gain_reward,key_resp.rt,key_resp.duration,reward_A1,reward_B,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.003252500086091459,0.008084100089035928,0.008084100089035928,0.8020727999974042,space,0.7826894000172615,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265939,001,1,2024-05-28_15h07.42.137,article1,2024.1.4,None,2024-05-28 15h07.58.384835 +0330,
0,0,0,0,,,,,0.8112154999980703,,,,,,,,,0.8031680000713095,0.8112154999980703,1.9974384000524879,1.7962461999850348,1.796299200039357,1.9974384000524879,1.9974384000524879,1.9974384000524879,5.812082100077532,5.812082100077532,5.812082100077532,6.011870600050315,6.812170100049116,6.812170100049116,6.812170100049116,7.011637800023891,7.011637800023891,7.827862000092864,8.827870700042695,8.816888300003484,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265939,001,1,2024-05-28_15h07.42.137,article1,2024.1.4,None,2024-05-28 15h07.58.384835 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.817152400035411,8.827870700042695,8.827870700042695,9.729552300064825,space,0.8998321000253782,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265939,001,1,2024-05-28_15h07.42.137,article1,2024.1.4,None,2024-05-28 15h07.58.384835 +0330,
,,,,0,0,0,0,9.74433300003875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.73081610002555,9.74433300003875,10.865382399992086,10.729506300063804,10.72956000000704,10.865382399992086,10.865382399992086,10.865382399992086,42,73,14.728600200032815,14.728600200032815,14.728600200032815,14.878874000045471,15.728754400042817,15.728754400042817,15.728754400042817,15.87802470009774,15.87802470009774,16.76101760007441,17.76103390008211,17.753228900022805,None,,,,,,265939,001,1,2024-05-28_15h07.42.137,article1,2024.1.4,None,2024-05-28 15h07.58.384835 +0330,
,,,,1,0,1,0,18.11115010001231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.09720830002334,18.11115010001231,19.202371300081722,19.096067700069398,19.096117600100115,19.202371300081722,19.202371300081722,19.202371300081722,29,68,23.11217109998688,23.11217109998688,23.11217109998688,23.212461000075564,24.111672500032,24.111672500032,24.111672500032,24.210953600006178,24.210953600006178,,,25.116063000052236,right,29,0.2921274999389425,0.08527659997344017,,,265939,001,1,2024-05-28_15h07.42.137,article1,2024.1.4,None,2024-05-28 15h07.58.384835 +0330,
,,,,2,0,2,0,25.477880500024185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.46191790001467,25.477880500024185,26.550210000015795,26.462524800095707,26.46257269999478,26.550210000015795,26.550210000015795,26.550210000015795,35,56,30.461805800092407,30.461805800092407,30.461805800092407,30.561829900019802,31.46131210005842,31.46131210005842,31.46131210005842,31.56091500003822,31.56091500003822,,,32.48242450004909,left,56,2.2004417999414727,0.04777760000433773,,,265939,001,1,2024-05-28_15h07.42.137,article1,2024.1.4,None,2024-05-28 15h07.58.384835 +0330,
,,,,3,0,3,0,32.84448369999882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.82960659998935,32.84448369999882,33.93038040003739,33.829391100094654,33.829437200096436,33.93038040003739,33.93038040003739,33.93038040003739,44,55,37.82850669999607,37.82850669999607,37.82850669999607,37.94529609999154,38.8281509000808,38.8281509000808,38.8281509000808,38.94431759999134,38.94431759999134,,,39.849316100007854,right,55,0.8448833000147715,0.08100590005051345,,,265939,001,1,2024-05-28_15h07.42.137,article1,2024.1.4,None,2024-05-28 15h07.58.384835 +0330,
,,,,4,0,4,0,40.2106066000415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.195112899993546,40.2106066000415,41.2890193000203,41.195516300038435,41.19555549998768,41.2890193000203,41.2890193000203,41.2890193000203,,,45.19532030005939,45.19532030005939,45.19532030005939,45.29474350006785,46.19461320003029,46.19461320003029,46.19461320003029,46.29398770001717,46.29398770001717,,,47.21574240003247,right,46,1.7668617001036182,0.13313579990062863,58,46,265939,001,1,2024-05-28_15h07.42.137,article1,2024.1.4,None,2024-05-28 15h07.58.384835 +0330,
,,,,5,0,5,0,47.57756780006457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.56304020003881,47.57756780006457,48.67666150000878,48.56198860006407,48.56203390005976,48.67666150000878,48.67666150000878,48.67666150000878,43,93,52.578273500083014,52.578273500083014,52.578273500083014,52.67801660008263,53.577866800013,53.577866800013,53.577866800013,53.677544000092894,53.677544000092894,,,54.56612520001363,left,43,0.9590984999667853,0.06542580004315823,,,265939,001,1,2024-05-28_15h07.42.137,article1,2024.1.4,None,2024-05-28 15h07.58.384835 +0330,
,,,,6,0,6,0,54.9271119000623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.91272140003275,54.9271119000623,55.99956590007059,55.912039400078356,55.91208290006034,55.99956590007059,55.99956590007059,55.99956590007059,,,59.927705500042066,59.927705500042066,59.927705500042066,60.011030800058506,60.927789699984714,60.927789699984714,60.927789699984714,61.01044850004837,61.01044850004837,61.94340780004859,62.94701810006518,62.938062000088394,None,,,,74,50,265939,001,1,2024-05-28_15h07.42.137,article1,2024.1.4,None,2024-05-28 15h07.58.384835 +0330,
