training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,transfer_trials.thisRepN,transfer_trials.thisTrialN,transfer_trials.thisN,transfer_trials.thisIndex,estimation_trials.thisRepN,estimation_trials.thisTrialN,estimation_trials.thisN,estimation_trials.thisIndex,thisRow.t,notes,text_0.started,text0.started,text0_key_resp.started,text_0.stopped,text0_key_resp.keys,text0_key_resp.rt,text0_key_resp.duration,fixation_training.started,fixation0.started,fixation0.stopped,fixation_training.stopped,main_training.started,left_image_0.started,right_image_0.started,key_resp_0.started,polygon_0.started,left_learning_reward_0.started,right_learning_reward_0.started,key_resp_0.stopped,polygon_0.stopped,left_learning_reward_0.stopped,right_learning_reward_0.stopped,left_image_0.stopped,right_image_0.stopped,text_no_resp_0.started,text_no_resp_0.stopped,main_training.stopped,key_resp_0.keys,key_resp_0.rt,key_resp_0.duration,text_1.started,text1.started,text1_key_resp.started,text_1.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,main_learning.started,left_image.started,right_image.started,key_resp.started,reward_A1,reward_B,gain_reward,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,main_learning.stopped,key_resp.keys,key_resp.rt,key_resp.duration,reward_C,reward_A2,text_no_resp.started,text_no_resp.stopped,text_2.started,text2.started,text2_key_resp.started,text_2.stopped,text2_key_resp.keys,text2_key_resp.rt,text2_key_resp.duration,fixation_transfer.started,fixation2.started,fixation2.stopped,fixation_transfer.stopped,main_transfer.started,left_image_2.started,right_image_2.started,key_resp_2.started,polygon_2.started,left_image_2.stopped,right_image_2.stopped,key_resp_2.stopped,polygon_2.stopped,main_transfer.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,slider_transfer.started,slider_trns.started,mouse_trns.started,slider_transfer.stopped,slider_trns.response,slider_trns.rt,mouse_trns.x,mouse_trns.y,mouse_trns.leftButton,mouse_trns.midButton,mouse_trns.rightButton,mouse_trns.time,text_3.started,text3.started,text3_key_resp.started,text_3.stopped,text3_key_resp.keys,text3_key_resp.rt,text3_key_resp.duration,fixation_estimation.started,fixation3.started,fixation3.stopped,fixation_estimation.stopped,main_estimation.started,image_3.started,slider_estm.started,mouse_estm.started,main_estimation.stopped,slider_estm.response,slider_estm.rt,mouse_estm.x,mouse_estm.y,mouse_estm.leftButton,mouse_estm.midButton,mouse_estm.rightButton,mouse_estm.time,show_reward.started,text4.started,totalRewardText.started,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.003083700081333518,0.007138199987821281,0.007138199987821281,1.1089645000174642,space,1.0939432999584824,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347871,001,2,2024-05-28_15h37.03.703,article1,2024.1.4,None,2024-05-28 15h37.15.044775 +0330,
0,0,0,0,,,,,,,,,,,,,1.11961870000232,,,,,,,,,1.110322599997744,1.11961870000232,2.2731865000678226,2.103596600005403,2.1036199000664055,2.2731865000678226,2.2731865000678226,2.2731865000678226,6.1219985000789165,6.1219985000789165,6.1219985000789165,6.287334900000133,6.6373116000322625,6.6373116000322625,6.6373116000322625,7.286493399995379,7.286493399995379,8.136226000031456,9.13619099999778,9.13141600007657,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347871,001,2,2024-05-28_15h37.03.703,article1,2024.1.4,None,2024-05-28 15h37.15.044775 +0330,
1,0,1,0,,,,,,,,,,,,,9.13619099999778,,,,,,,,,9.13197049999144,9.13619099999778,10.235696200048551,10.12057150003966,10.120595499989577,10.235696200048551,10.235696200048551,10.235696200048551,14.137325900024734,14.137325900024734,14.137325900024734,14.237269600038417,14.637273000087589,14.637273000087589,14.637273000087589,15.236390999983996,15.236390999983996,,,16.14036690001376,right,0.36953949998132885,0.14254340005572885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347871,001,2,2024-05-28_15h37.03.703,article1,2024.1.4,None,2024-05-28 15h37.15.044775 +0330,
2,0,2,0,,,,,,,,,,,,,16.1528946000617,,,,,,,,,16.141325499978848,16.1528946000617,17.23189260007348,17.13860880001448,17.138650899985805,17.23189260007348,17.23189260007348,17.23189260007348,21.153763100039214,21.153763100039214,21.153763100039214,21.237225800054148,21.653240600018762,21.653240600018762,21.653240600018762,22.236499899998307,22.236499899998307,,,23.155053000082262,left,0.653063099947758,0.05913049995433539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347871,001,2,2024-05-28_15h37.03.703,article1,2024.1.4,None,2024-05-28 15h37.15.044775 +0330,
3,0,3,0,,,,,,,,,,,,,23.169255200074986,,,,,,,,,23.15565760002937,23.169255200074986,24.236767500056885,24.153601000085473,24.153638900024816,24.236767500056885,24.236767500056885,24.236767500056885,28.170156600070186,28.170156600070186,28.170156600070186,28.23731510003563,28.670009699999355,28.670009699999355,28.670009699999355,29.235884300083853,29.235884300083853,,,30.171472300076857,right,0.2774582999991253,0.12300730007700622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347871,001,2,2024-05-28_15h37.03.703,article1,2024.1.4,None,2024-05-28 15h37.15.044775 +0330,
4,0,4,0,,,,,,,,,,,,,30.186204300029203,,,,,,,,,30.172110000043176,30.186204300029203,31.25187839998398,31.170294500072487,31.170325500075705,31.25187839998398,31.25187839998398,31.25187839998398,35.18669490003958,35.18669490003958,35.18669490003958,35.25350760004949,35.686512600048445,35.686512600048445,35.686512600048445,36.25284069997724,36.25284069997724,37.20239720004611,38.20228530000895,38.19524869997986,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347871,001,2,2024-05-28_15h37.03.703,article1,2024.1.4,None,2024-05-28 15h37.15.044775 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.19547270005569,38.20228530000895,38.20228530000895,39.571108900010586,space,1.3602967000333592,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347871,001,2,2024-05-28_15h37.03.703,article1,2024.1.4,None,2024-05-28 15h37.15.044775 +0330,
,,,,0,0,0,0,,,,,,,,,39.58629310003016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.57210660004057,39.58629310003016,40.68255480006337,40.57087350008078,40.57091460004449,40.68255480006337,40.68255480006337,40.68255480006337,70,42,42,44.5701124999905,44.5701124999905,44.5701124999905,44.687032300047576,45.06966779998038,45.06966779998038,45.06966779998038,45.68607240007259,45.68607240007259,46.58870860002935,right,2.2195283999899402,0.052801999961957335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347871,001,2,2024-05-28_15h37.03.703,article1,2024.1.4,None,2024-05-28 15h37.15.044775 +0330,
,,,,1,0,1,0,,,,,,,,,46.95284090004861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.9383405999979,46.95284090004861,48.04538120003417,47.93737509998027,47.9374255000148,48.04538120003417,48.04538120003417,48.04538120003417,,,52,51.95380490005482,51.95380490005482,51.95380490005482,52.053280399995856,52.45323820004705,52.45323820004705,52.45323820004705,53.05272360006347,53.05272360006347,53.95646260003559,left,0.9764945000642911,0.030084399972110987,52,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347871,001,2,2024-05-28_15h37.03.703,article1,2024.1.4,None,2024-05-28 15h37.15.044775 +0330,
,,,,2,0,2,0,,,,,,,,,54.31922750000376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.30354380002245,54.31922750000376,55.42422980000265,55.30318930000067,55.30321650009137,55.42422980000265,55.42422980000265,55.42422980000265,90,67,,59.30275520007126,59.30275520007126,59.30275520007126,59.43666450004093,59.80333770008292,59.80333770008292,59.80333770008292,60.435112399980426,60.435112399980426,62.320864900015295,None,,,,,61.31841780000832,62.329366700025275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347871,001,2,2024-05-28_15h37.03.703,article1,2024.1.4,None,2024-05-28 15h37.15.044775 +0330,
