learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,transfer_trials.thisRepN,transfer_trials.thisTrialN,transfer_trials.thisN,transfer_trials.thisIndex,thisRow.t,notes,text_1.started,text1.started,text1_key_resp.started,text_1.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation_learning.stopped,main_learning.started,left_image.started,right_image.started,key_resp.started,reward_B,reward_A1,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,text_no_resp.started,text_no_resp.stopped,main_learning.stopped,key_resp.keys,text_2.started,text2.started,text2_key_resp.started,text_2.stopped,text2_key_resp.keys,text2_key_resp.rt,text2_key_resp.duration,fixation_transfer.started,fixation2.started,fixation_transfer.stopped,main_transfer.started,left_image_2.started,right_image_2.started,key_resp_2.started,polygon_2.started,main_transfer.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,fixation2.stopped,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.06507140002213418,0.08644270000513643,0.08644270000513643,3.848453300073743,space,3.7445436000125483,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353807,001,1,2024-05-27_23h23.23.197,article1,2024.1.4,None,2024-05-27 23h23.30.221698 +0330,
0,0,0,0,,,,,3.8708197000669315,,,,,,,,,3.849494600086473,3.8708197000669315,4.859583600074984,4.859605500008911,5.00041840004269,5.00041840004269,5.00041840004269,56,70,8.856750300037675,8.856750300037675,8.856750300037675,9.00628199998755,9.873277400038205,9.873277400038205,9.873277400038205,10.006329600000754,10.006329600000754,10.87109110003803,11.888321800041012,11.864507600083016,None,,,,,,,,,,,,,,,,,,,,,353807,001,1,2024-05-27_23h23.23.197,article1,2024.1.4,None,2024-05-27 23h23.30.221698 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.227709700004198,12.239530900027603,12.239530900027603,23.94814710004721,space,11.706898000091314,None,,,,,,,,,,,,,,353807,001,1,2024-05-27_23h23.23.197,article1,2024.1.4,None,2024-05-27 23h23.30.221698 +0330,
,,,,0,0,0,0,23.970857699983753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.949366600019857,23.970857699983753,24.958985200035386,24.95900790009182,25.2432985000778,25.2432985000778,25.2432985000778,28.72185139998328,28.712956000003032,right,3.458295000018552,None,,353807,001,1,2024-05-27_23h23.23.197,article1,2024.1.4,None,2024-05-27 23h23.30.221698 +0330,
,,,,1,0,1,0,28.72185139998328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.714054899988696,28.72185139998328,29.712671700050123,29.712698100018315,29.8080362000037,29.8080362000037,29.8080362000037,30.988969500060193,30.978721300023608,left,1.1543000000528991,None,29.8080362000037,353807,001,1,2024-05-27_23h23.23.197,article1,2024.1.4,None,2024-05-27 23h23.30.221698 +0330,
,,,,2,0,2,0,30.988969500060193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.979290900053456,30.988969500060193,31.975679100025445,31.975715700071305,32.058197000063956,32.058197000063956,32.058197000063956,33.105660400004126,33.09568260004744,right,1.0279736999655142,None,32.058197000063956,353807,001,1,2024-05-27_23h23.23.197,article1,2024.1.4,None,2024-05-27 23h23.30.221698 +0330,
,,,,3,0,3,0,33.105660400004126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.09634280006867,33.105660400004126,34.092207700014114,34.09223439998459,34.1918813000666,34.1918813000666,34.1918813000666,35.17252750007901,35.162858100025915,left,0.9670468999538571,None,34.1918813000666,353807,001,1,2024-05-27_23h23.23.197,article1,2024.1.4,None,2024-05-27 23h23.30.221698 +0330,
,,,,4,0,4,0,35.17252750007901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.163534500054084,35.17252750007901,36.160589699982665,36.16061930009164,36.258931100019254,36.258931100019254,36.258931100019254,37.35576690000016,37.346015400020406,right,1.0728479000972584,None,36.258931100019254,353807,001,1,2024-05-27_23h23.23.197,article1,2024.1.4,None,2024-05-27 23h23.30.221698 +0330,
,,,,5,0,5,0,37.35576690000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.34666400006972,37.35576690000016,38.342196400044486,38.34222009999212,38.42441109998617,38.42441109998617,38.42441109998617,41.6557754999958,41.64490630000364,left,3.215244899969548,None,38.42441109998617,353807,001,1,2024-05-27_23h23.23.197,article1,2024.1.4,None,2024-05-27 23h23.30.221698 +0330,
,,,,6,0,6,0,41.6557754999958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.645533000002615,41.6557754999958,42.6444226000458,42.644451200030744,42.742256900062785,42.742256900062785,42.742256900062785,46.472233499982394,46.4626376000233,right,3.7069784000050277,None,42.742256900062785,353807,001,1,2024-05-27_23h23.23.197,article1,2024.1.4,None,2024-05-27 23h23.30.221698 +0330,
