training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,transfer_trials.thisRepN,transfer_trials.thisTrialN,transfer_trials.thisN,transfer_trials.thisIndex,thisRow.t,notes,text_0.started,text0.started,text0_key_resp.started,text_0.stopped,text0_key_resp.keys,text0_key_resp.rt,text0_key_resp.duration,fixation_training.started,fixation0.started,fixation_training.stopped,main_training.started,left_image_0.started,right_image_0.started,key_resp_0.started,polygon_0.started,left_learning_reward_0.started,right_learning_reward_0.started,key_resp_0.stopped,polygon_0.stopped,left_learning_reward_0.stopped,right_learning_reward_0.stopped,left_image_0.stopped,right_image_0.stopped,main_training.stopped,key_resp_0.keys,key_resp_0.rt,key_resp_0.duration,fixation0.stopped,text_no_resp_0.started,text_no_resp_0.stopped,text_1.started,text1.started,text1_key_resp.started,text_1.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,main_learning.started,left_image.started,right_image.started,key_resp.started,reward_A1,reward_B,gain_reward,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,main_learning.stopped,key_resp.keys,key_resp.rt,key_resp.duration,text_2.started,text2.started,text2_key_resp.started,text_2.stopped,text2_key_resp.keys,text2_key_resp.rt,text2_key_resp.duration,fixation_transfer.started,fixation2.started,fixation_transfer.stopped,main_transfer.started,left_image_2.started,right_image_2.started,key_resp_2.started,polygon_2.started,left_image_2.stopped,right_image_2.stopped,key_resp_2.stopped,polygon_2.stopped,main_transfer.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,slider_transfer.started,slider_trns.started,mouse_trns.started,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,0.020829700049944222,0.034392000059597194,0.034392000059597194,1.1628914000466466,space,1.1067174000199884,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419920,001,1,2024-05-28_12h26.46.207,article1,2024.1.4,None,2024-05-28 12h26.56.505319 +0330,
0,0,0,0,,,,,,,,,1.184410999994725,,,,,,,,,1.164256100077182,1.184410999994725,2.1740410000784323,2.174066500039771,2.363403300056234,2.363403300056234,2.363403300056234,6.18348580005113,6.18348580005113,6.18348580005113,6.368230300024152,7.184800100047141,7.184800100047141,7.184800100047141,7.367399500100873,7.367399500100873,8.159551799995825,right,0.72562000004109,0.16141429997514933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419920,001,1,2024-05-28_12h26.46.207,article1,2024.1.4,None,2024-05-28 12h26.56.505319 +0330,
1,0,1,0,,,,,,,,,8.168304900056683,,,,,,,,,8.160347800003365,8.168304900056683,9.157765500014648,9.157786500058137,9.255101000075229,9.255101000075229,9.255101000075229,13.185291400062852,13.185291400062852,13.185291400062852,13.283544500009157,14.185751400073059,14.185751400073059,14.185751400073059,14.267372700036503,14.267372700036503,15.173720400081947,right,0.543056600028649,0.16218859993387014,9.255101000075229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419920,001,1,2024-05-28_12h26.46.207,article1,2024.1.4,None,2024-05-28 12h26.56.505319 +0330,
2,0,2,0,,,,,,,,,15.18485459999647,,,,,,,,,15.174304200103506,15.18485459999647,16.172983400058,16.173021800001152,16.30393710010685,16.30393710010685,16.30393710010685,20.201693600043654,20.201693600043654,20.201693600043654,20.333675800007768,21.20213000010699,21.20213000010699,21.20213000010699,21.317344700102694,21.317344700102694,22.19130520010367,left,0.2472822000272572,0.10467349993996322,16.30393710010685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419920,001,1,2024-05-28_12h26.46.207,article1,2024.1.4,None,2024-05-28 12h26.56.505319 +0330,
3,0,3,0,,,,,,,,,22.20148190006148,,,,,,,,,22.191879000049084,22.20148190006148,23.190737100085244,23.1907693000976,23.286356099997647,23.286356099997647,23.286356099997647,27.217561100027524,27.217561100027524,27.217561100027524,27.301483300048858,28.218688000109978,28.218688000109978,28.218688000109978,28.28524910006672,28.28524910006672,30.22850920003839,None,,,23.286356099997647,29.2341305000009,30.251136800041422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419920,001,1,2024-05-28_12h26.46.207,article1,2024.1.4,None,2024-05-28 12h26.56.505319 +0330,
4,0,4,0,,,,,,,,,30.251136800041422,,,,,,,,,30.22904520004522,30.251136800041422,31.23865030007437,31.238669800106436,31.337376300012693,31.337376300012693,31.337376300012693,35.25009870005306,35.25009870005306,35.25009870005306,35.35074370005168,36.250815300038084,36.250815300038084,36.250815300038084,36.35115040000528,36.35115040000528,37.223803500062786,right,1.2900085999863222,0.05360270000528544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419920,001,1,2024-05-28_12h26.46.207,article1,2024.1.4,None,2024-05-28 12h26.56.505319 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.22423020005226,37.234595800051466,37.234595800051466,39.00652340007946,space,1.768519900040701,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419920,001,1,2024-05-28_12h26.46.207,article1,2024.1.4,None,2024-05-28 12h26.56.505319 +0330,
,,,,0,0,0,0,,,,,39.01713110005949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.00730769999791,39.01713110005949,40.15481490001548,40.00649650010746,40.00652680010535,40.15481490001548,40.15481490001548,40.15481490001548,51,29,51,44.033620000001974,44.033620000001974,44.033620000001974,44.184155200026,45.03462839999702,45.03462839999702,45.03462839999702,45.168123400071636,45.168123400071636,46.009225200046785,left,1.5487155999289826,0.06018190004397184,,,,,,,,,,,,,,,,,,,,,,,,,,,419920,001,1,2024-05-28_12h26.46.207,article1,2024.1.4,None,2024-05-28 12h26.56.505319 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.37140410009306,46.38418080005795,46.38418080005795,47.205735900090076,space,0.8141546999104321,None,,,,,,,,,,,,,,,,,,,,419920,001,1,2024-05-28_12h26.46.207,article1,2024.1.4,None,2024-05-28 12h26.56.505319 +0330,
,,,,,,,,,,,,47.21700370009057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.20650440000463,47.21700370009057,48.20769070007373,48.20771380001679,48.3378513000207,48.3378513000207,48.3378513000207,49.95076490007341,50.96483180008363,50.96483180008363,50.96483180008363,52.03317720000632,51.971374300075695,right,0.5735561000183225,None,51.97201330005191,52.03317720000632,0.010650099953636527,,,,,,,,,
