training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,transfer_trials.thisRepN,transfer_trials.thisTrialN,transfer_trials.thisN,transfer_trials.thisIndex,estimation_trials.thisRepN,estimation_trials.thisTrialN,estimation_trials.thisN,estimation_trials.thisIndex,thisRow.t,notes,text_0.started,text0.started,text0_key_resp.started,text_0.stopped,text0_key_resp.keys,text0_key_resp.rt,text0_key_resp.duration,fixation_training.started,fixation0.started,fixation0.stopped,fixation_training.stopped,main_training.started,left_image_0.started,right_image_0.started,key_resp_0.started,polygon_0.started,left_learning_reward_0.started,right_learning_reward_0.started,key_resp_0.stopped,polygon_0.stopped,left_learning_reward_0.stopped,right_learning_reward_0.stopped,left_image_0.stopped,right_image_0.stopped,main_training.stopped,key_resp_0.keys,key_resp_0.rt,key_resp_0.duration,text_1.started,text1.started,text1_key_resp.started,text_1.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,main_learning.started,left_image.started,right_image.started,key_resp.started,reward_B,reward_A1,gain_reward,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,main_learning.stopped,key_resp.keys,key_resp.rt,key_resp.duration,reward_A2,reward_C,text_2.started,text2.started,text2_key_resp.started,text_2.stopped,text2_key_resp.keys,text2_key_resp.rt,text2_key_resp.duration,fixation_transfer.started,fixation2.started,fixation2.stopped,fixation_transfer.stopped,main_transfer.started,left_image_2.started,right_image_2.started,key_resp_2.started,polygon_2.started,left_image_2.stopped,right_image_2.stopped,key_resp_2.stopped,polygon_2.stopped,main_transfer.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,slider_transfer.started,slider_trns.started,mouse_trns.started,slider_transfer.stopped,slider_trns.response,slider_trns.rt,mouse_trns.x,mouse_trns.y,mouse_trns.leftButton,mouse_trns.midButton,mouse_trns.rightButton,mouse_trns.time,text_3.started,text3.started,text3_key_resp.started,text_3.stopped,text3_key_resp.keys,text3_key_resp.rt,text3_key_resp.duration,fixation_estimation.started,fixation3.started,fixation3.stopped,fixation_estimation.stopped,main_estimation.started,image_3.started,slider_estm.started,mouse_estm.started,main_estimation.stopped,slider_estm.response,slider_estm.rt,mouse_estm.x,mouse_estm.y,mouse_estm.leftButton,mouse_estm.midButton,mouse_estm.rightButton,mouse_estm.time,show_reward.started,text4.started,totalRewardText.started,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.006015800056047738,0.011643200065009296,0.011643200065009296,0.4632014000089839,space,0.44099199993070215,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427406,001,1,2024-05-28_14h13.04.009,article1,2024.1.4,None,2024-05-28 14h13.08.996358 +0330,
0,0,0,0,,,,,,,,,,,,,0.47748380003031343,,,,,,,,,0.46378690004348755,0.47748380003031343,1.5434973000083119,1.4616954000666738,1.4617224000394344,1.5434973000083119,1.5434973000083119,1.5434973000083119,5.4781725000357255,5.4781725000357255,5.4781725000357255,5.5448142000241205,6.48272840003483,6.48272840003483,6.48272840003483,6.547804899979383,6.547804899979383,7.467727900017053,right,1.411730399937369,0.0700708000222221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427406,001,1,2024-05-28_14h13.04.009,article1,2024.1.4,None,2024-05-28 14h13.08.996358 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.46856100007426,7.482121800072491,7.482121800072491,9.61644430004526,space,2.1228110999800265,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427406,001,1,2024-05-28_14h13.04.009,article1,2024.1.4,None,2024-05-28 14h13.08.996358 +0330,
,,,,0,0,0,0,,,,,,,,,9.624406200018711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.618224499979988,9.624406200018711,10.669911300064996,10.610792399966158,10.610810699989088,10.669911300064996,10.669911300064996,10.669911300064996,48,73,48,14.629332900047302,14.629332900047302,14.629332900047302,14.678061500075273,15.628012800007127,15.628012800007127,15.628012800007127,15.67715020000469,15.67715020000469,16.61418010003399,left,2.8972225000616163,0.0939099999377504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427406,001,1,2024-05-28_14h13.04.009,article1,2024.1.4,None,2024-05-28 14h13.08.996358 +0330,
,,,,1,0,1,0,,,,,,,,,16.97695699997712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.963194400072098,16.97695699997712,18.026875599985942,17.96182199998293,17.9618635000661,18.026875599985942,18.026875599985942,18.026875599985942,,,50,21.977998099988326,21.977998099988326,21.977998099988326,22.02812290005386,22.97770110005513,22.97770110005513,22.97770110005513,23.027371000032872,23.027371000032872,23.98048699996434,left,0.3174647999694571,0.1385578999761492,50,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427406,001,1,2024-05-28_14h13.04.009,article1,2024.1.4,None,2024-05-28 14h13.08.996358 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.328435100032948,24.343830300029367,24.343830300029367,25.19504720007535,space,0.8348623999627307,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427406,001,1,2024-05-28_14h13.04.009,article1,2024.1.4,None,2024-05-28 14h13.08.996358 +0330,
,,,,,,,,0,0,0,0,,,,,25.21056779997889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.195628299959935,25.21056779997889,26.289215500000864,26.196196499979123,26.196255299961194,26.289215500000864,26.289215500000864,26.289215500000864,29.485036400030367,30.493341900059022,30.493341900059022,30.493341900059022,31.525228000013158,31.495248000021093,right,2.1775406000670046,None,31.49591609998606,31.525228000013158,0.006533500039950013,32.695932700065896,35.0,1.177512799971737,"[-0.14166666666666666, -0.14166666666666666]","[-0.058333333333333334, -0.037037037037037035]","[1, 1]","[0, 0]","[0, 0]","[0.7136305999010801, 1.0555224999552593]",,,,,,,,,,,,,,,,,,,,,,,,,,,,427406,001,1,2024-05-28_14h13.04.009,article1,2024.1.4,None,2024-05-28 14h13.08.996358 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.69635790004395,32.711100499960594,32.711100499960594,34.196611599996686,space,1.4702899999683723,None,,,,,,,,,,,,,,,,,,,,,427406,001,1,2024-05-28_14h13.04.009,article1,2024.1.4,None,2024-05-28 14h13.08.996358 +0330,
,,,,,,,,,,,,0,0,0,0,34.21055850002449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.19782340002712,34.21055850002449,35.25629040005151,35.194429000024684,35.19446769997012,35.25629040005151,35.25629040005151,0.025671200011856854,36.045282599981874,40.0,0.8089552000164986,[-0.0962962962962963],[-0.2064814814814815],[1],[0],[0],[0.6699189000064507],,,,427406,001,1,2024-05-28_14h13.04.009,article1,2024.1.4,None,2024-05-28 14h13.08.996358 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.04569180007093,36.05992140003946,36.05992140003946,,,,,,,,,
