training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,transfer_trials.thisRepN,transfer_trials.thisTrialN,transfer_trials.thisN,transfer_trials.thisIndex,estimation_trials.thisRepN,estimation_trials.thisTrialN,estimation_trials.thisN,estimation_trials.thisIndex,thisRow.t,notes,text_0.started,text0.started,text0_key_resp.started,text_0.stopped,text0_key_resp.keys,text0_key_resp.rt,text0_key_resp.duration,fixation_training.started,fixation0.started,fixation_training.stopped,main_training.started,left_image_0.started,right_image_0.started,key_resp_0.started,polygon_0.started,left_learning_reward_0.started,right_learning_reward_0.started,key_resp_0.stopped,polygon_0.stopped,left_learning_reward_0.stopped,right_learning_reward_0.stopped,left_image_0.stopped,right_image_0.stopped,main_training.stopped,key_resp_0.keys,key_resp_0.rt,key_resp_0.duration,text_1.started,text1.started,text1_key_resp.started,text_1.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,main_learning.started,left_image.started,right_image.started,key_resp.started,reward_A2,reward_C,gain_reward,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,main_learning.stopped,key_resp.keys,key_resp.rt,key_resp.duration,text_no_resp.started,text_no_resp.stopped,reward_B,reward_A1,text_2.started,text2.started,text2_key_resp.started,text_2.stopped,text2_key_resp.keys,text2_key_resp.rt,text2_key_resp.duration,fixation_transfer.started,fixation2.started,fixation2.stopped,fixation_transfer.stopped,main_transfer.started,left_image_2.started,right_image_2.started,key_resp_2.started,polygon_2.started,left_image_2.stopped,right_image_2.stopped,key_resp_2.stopped,polygon_2.stopped,main_transfer.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,slider_transfer.started,slider_trns.started,mouse_trns.started,slider_transfer.stopped,slider_trns.response,slider_trns.rt,mouse_trns.x,mouse_trns.y,mouse_trns.leftButton,mouse_trns.midButton,mouse_trns.rightButton,mouse_trns.time,text_3.started,text3.started,text3_key_resp.started,text_3.stopped,text3_key_resp.keys,text3_key_resp.rt,text3_key_resp.duration,fixation_estimation.started,fixation3.started,fixation3.stopped,fixation_estimation.stopped,main_estimation.started,image_3.started,slider_estm.started,mouse_estm.started,main_estimation.stopped,slider_estm.response,slider_estm.rt,mouse_estm.x,mouse_estm.y,mouse_estm.leftButton,mouse_estm.midButton,mouse_estm.rightButton,mouse_estm.time,show_reward.started,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.009336000075563788,0.024376400047913194,0.024376400047913194,1.538385899970308,space,1.4388309000059962,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496788,001,1,2024-05-28_12h50.38.990,article1,2024.1.4,None,2024-05-28 12h51.09.826219 +0330,
0,0,0,0,,,,,,,,,,,,,1.555859100073576,,,,,,,,,1.5404341999674216,1.555859100073576,2.546144900028594,2.546173300012015,2.733427400002256,2.733427400002256,2.733427400002256,6.557035400066525,6.557035400066525,6.557035400066525,6.757023300044239,7.559186700033024,7.559186700033024,7.559186700033024,7.742508800001815,7.742508800001815,8.531006300006993,right,2.4294582000002265,0.0714733999921009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496788,001,1,2024-05-28_12h50.38.990,article1,2024.1.4,None,2024-05-28 12h51.09.826219 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.557914800010622,8.572314899996854,8.572314899996854,11.94815650000237,space,3.369905299972743,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496788,001,1,2024-05-28_12h50.38.990,article1,2024.1.4,None,2024-05-28 12h51.09.826219 +0330,
,,,,0,0,0,0,,,,,,,,,11.957718800054863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.949104500003159,11.957718800054863,13.128457400016487,12.946997900027782,12.94701890007127,13.128457400016487,13.128457400016487,13.128457400016487,55,48,48,16.97278599999845,16.97278599999845,16.97278599999845,17.141816699993797,17.974401500076056,17.974401500076056,17.974401500076056,18.14093520003371,18.14093520003371,18.964323100051843,right,0.45639950002077967,0.17313599993940443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496788,001,1,2024-05-28_12h50.38.990,article1,2024.1.4,None,2024-05-28 12h51.09.826219 +0330,
,,,,1,0,1,0,,,,,,,,,19.3411066000117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.330357300001197,19.3411066000117,,20.331100800074637,20.331125400029123,20.42599949997384,20.42599949997384,20.42599949997384,82,34,,24.356173200067133,24.356173200067133,24.356173200067133,24.440856200060807,25.35822100006044,25.35822100006044,25.35822100006044,25.439773999969475,25.439773999969475,27.340515700052492,None,,,26.340391500038095,27.356350200017914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496788,001,1,2024-05-28_12h50.38.990,article1,2024.1.4,None,2024-05-28 12h51.09.826219 +0330,
,,,,2,0,2,0,,,,,,,,,27.707127399975434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.695293099968694,27.707127399975434,,28.696307400008664,28.696327200043015,28.84363979997579,28.84363979997579,28.84363979997579,,,34,32.723555400036275,32.723555400036275,32.723555400036275,32.85728310002014,33.724831599975005,33.724831599975005,33.724831599975005,33.85800750006456,33.85800750006456,34.69615670002531,left,0.351855400018394,None,,,34,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496788,001,1,2024-05-28_12h50.38.990,article1,2024.1.4,None,2024-05-28 12h51.09.826219 +0330,
,,,,3,0,3,0,,,,,,,,,35.07447500003036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.06238989997655,35.07447500003036,36.16021870006807,36.062328699976206,36.062348400009796,36.16021870006807,36.16021870006807,36.16021870006807,69,32,69,40.08988139999565,40.08988139999565,40.08988139999565,40.189763200003654,41.10791440005414,41.10791440005414,41.10791440005414,41.17428859998472,41.17428859998472,42.06366430001799,left,0.7338361999718472,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496788,001,1,2024-05-28_12h50.38.990,article1,2024.1.4,None,2024-05-28 12h51.09.826219 +0330,
,,,,4,0,4,0,,,,,,,,,42.425157899968326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.412477100035176,42.425157899968326,,43.41355200007092,43.413572899997234,43.50939730007667,43.50939730007667,43.50939730007667,,,,47.424122299999,47.424122299999,47.424122299999,47.52393360005226,48.44041759998072,48.44041759998072,48.44041759998072,48.52508240006864,48.52508240006864,50.43637240002863,None,,,49.43810490006581,50.45526890002657,44,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496788,001,1,2024-05-28_12h50.38.990,article1,2024.1.4,None,2024-05-28 12h51.09.826219 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.99457570002414,51.008144200081006,51.008144200081006,51.963171100011095,space,0.9447305999929085,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496788,001,1,2024-05-28_12h50.38.990,article1,2024.1.4,None,2024-05-28 12h51.09.826219 +0330,
,,,,,,,,0,0,0,0,,,,,51.97327289998066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.96396580000874,51.97327289998066,53.077545000007376,52.962406200007536,52.96242840006016,53.077545000007376,53.077545000007376,53.077545000007376,55.00714270002209,56.03917730005924,56.03917730005924,56.03917730005924,57.13956180005334,57.04629470000509,right,0.8939419999951497,None,57.047351000015624,57.13956180005334,0.009917399962432683,59.6795742000686,70.0,2.5895994000602514,[0.19833333333333333],[0.0016666666666666668],[1],[0],[0],[2.448365999967791],,,,,,,,,,,,,,,,,,,,,,,,,,496788,001,1,2024-05-28_12h50.38.990,article1,2024.1.4,None,2024-05-28 12h51.09.826219 +0330,
