training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,transfer_trials.thisRepN,transfer_trials.thisTrialN,transfer_trials.thisN,transfer_trials.thisIndex,estimation_trials.thisRepN,estimation_trials.thisTrialN,estimation_trials.thisN,estimation_trials.thisIndex,thisRow.t,notes,text_0.started,text0.started,text0_key_resp.started,text_0.stopped,text0_key_resp.keys,text0_key_resp.rt,text0_key_resp.duration,fixation_training.started,fixation0.started,fixation_training.stopped,main_training.started,left_image_0.started,right_image_0.started,key_resp_0.started,polygon_0.started,left_learning_reward_0.started,right_learning_reward_0.started,key_resp_0.stopped,polygon_0.stopped,left_learning_reward_0.stopped,right_learning_reward_0.stopped,left_image_0.stopped,right_image_0.stopped,main_training.stopped,key_resp_0.keys,key_resp_0.rt,key_resp_0.duration,text_1.started,text1.started,text1_key_resp.started,text_1.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,main_learning.started,left_image.started,right_image.started,key_resp.started,reward_A1,reward_B,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,text_no_resp.started,text_no_resp.stopped,main_learning.stopped,key_resp.keys,reward_C,reward_A2,gain_reward,key_resp.rt,key_resp.duration,text_2.started,text2.started,text2_key_resp.started,text_2.stopped,text2_key_resp.keys,text2_key_resp.rt,text2_key_resp.duration,fixation_transfer.started,fixation2.started,fixation2.stopped,fixation_transfer.stopped,main_transfer.started,left_image_2.started,right_image_2.started,key_resp_2.started,polygon_2.started,left_image_2.stopped,right_image_2.stopped,key_resp_2.stopped,polygon_2.stopped,main_transfer.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,slider_transfer.started,slider_trns.started,mouse_trns.started,slider_transfer.stopped,slider_trns.response,slider_trns.rt,mouse_trns.x,mouse_trns.y,mouse_trns.leftButton,mouse_trns.midButton,mouse_trns.rightButton,mouse_trns.time,text_3.started,text3.started,text3_key_resp.started,text_3.stopped,text3_key_resp.keys,text3_key_resp.rt,text3_key_resp.duration,fixation_estimation.started,fixation3.started,fixation3.stopped,fixation_estimation.stopped,main_estimation.started,image_3.started,slider_estm.started,mouse_estm.started,main_estimation.stopped,slider_estm.response,slider_estm.rt,mouse_estm.x,mouse_estm.y,mouse_estm.leftButton,mouse_estm.midButton,mouse_estm.rightButton,mouse_estm.time,show_reward.started,text4.started,totalRewardText.started,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.005887200008146465,0.02114099997561425,0.02114099997561425,1.1819117999402806,space,1.139216700103134,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547368,001,1,2024-05-28_13h54.47.026,article1,2024.1.4,None,2024-05-28 13h54.55.704134 +0330,
0,0,0,0,,,,,,,,,,,,,1.1885069999843836,,,,,,,,,1.1840718999737874,1.1885069999843836,2.1875595999881625,2.1875866999616846,2.3358253999613225,2.3358253999613225,2.3358253999613225,6.188240899937227,6.188240899937227,6.188240899937227,6.338321999995969,7.188519799965434,7.188519799965434,7.188519799965434,7.337218199972995,7.337218199972995,8.189465599949472,right,0.7732943000737578,0.07374419993720949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547368,001,1,2024-05-28_13h54.47.026,article1,2024.1.4,None,2024-05-28 13h54.55.704134 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.216073999996297,8.220115999924019,8.220115999924019,9.539901799988002,space,1.3149175000144169,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547368,001,1,2024-05-28_13h54.47.026,article1,2024.1.4,None,2024-05-28 13h54.55.704134 +0330,
,,,,0,0,0,0,,,,,,,,,9.554455599980429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.541143400012515,9.554455599980429,10.700494299991988,10.537907899939455,10.537934300024062,10.700494299991988,10.700494299991988,10.700494299991988,62,53,14.546634000027552,14.546634000027552,14.546634000027552,14.726594500010833,15.554772999952547,15.554772999952547,15.554772999952547,15.703903899993747,15.703903899993747,16.554055799962953,17.555692599969916,17.54584019992035,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547368,001,1,2024-05-28_13h54.47.026,article1,2024.1.4,None,2024-05-28 13h54.55.704134 +0330,
,,,,1,0,1,0,,,,,,,,,17.904455699957907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.88979709998239,17.904455699957907,19.024861500016414,18.889056699932553,18.88910309993662,19.024861500016414,19.024861500016414,19.024861500016414,,,22.90711759997066,22.90711759997066,22.90711759997066,23.03803199995309,23.921521799988113,23.921521799988113,23.921521799988113,24.037263799924403,24.037263799924403,,,24.906820499920286,right,21,66,66,0.9270562999881804,0.08255970000755042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547368,001,1,2024-05-28_13h54.47.026,article1,2024.1.4,None,2024-05-28 13h54.55.704134 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.25517999997828,25.270421899971552,25.270421899971552,25.90542939992156,space,0.6239745999919251,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547368,001,1,2024-05-28_13h54.47.026,article1,2024.1.4,None,2024-05-28 13h54.55.704134 +0330,
,,,,,,,,0,0,0,0,,,,,25.920374399982393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.90682769997511,25.920374399982393,27.020970099954866,26.905078599927947,26.90512409992516,27.020970099954866,27.020970099954866,27.020970099954866,29.997111700009555,31.006009900011122,31.006009900011122,31.006009900011122,32.10392589995172,32.009180199936964,left,1.9537264000391588,None,32.01020899997093,32.10392589995172,0.010059899999760091,32.96921040001325,65.0,0.9158170999726281,[0.16018518518518518],[-0.02962962962962963],[1],[0],[0],[0.848140399903059],,,,,,,,,,,,,,,,,,,,,,,,,,,,547368,001,1,2024-05-28_13h54.47.026,article1,2024.1.4,None,2024-05-28 13h54.55.704134 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.97027359995991,32.97441699996125,32.97441699996125,34.27345959993545,space,1.2901458999840543,None,,,,,,,,,,,,,,,,,,,,,547368,001,1,2024-05-28_13h54.47.026,article1,2024.1.4,None,2024-05-28 13h54.55.704134 +0330,
,,,,,,,,,,,,0,0,0,0,34.28692059998866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.27486699994188,34.28692059998866,35.37838809995446,35.27222990000155,35.272294600028545,35.37838809995446,35.37838809995446,0.04384500009473413,36.43230300000869,65.0,1.0942255000118166,[0.16018518518518518],[-0.22685185185185186],[1],[0],[0],[0.9993715999880806],,,,547368,001,1,2024-05-28_13h54.47.026,article1,2024.1.4,None,2024-05-28 13h54.55.704134 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.43299989996012,36.45350679999683,36.45350679999683,,,,,,,,,
