training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,transfer_trials.thisRepN,transfer_trials.thisTrialN,transfer_trials.thisN,transfer_trials.thisIndex,estimation_trials.thisRepN,estimation_trials.thisTrialN,estimation_trials.thisN,estimation_trials.thisIndex,thisRow.t,notes,text_0.started,text0.started,text0_key_resp.started,text_0.stopped,text0_key_resp.keys,text0_key_resp.rt,text0_key_resp.duration,fixation_training.started,fixation0.started,fixation_training.stopped,main_training.started,left_image_0.started,right_image_0.started,key_resp_0.started,polygon_0.started,left_learning_reward_0.started,right_learning_reward_0.started,key_resp_0.stopped,polygon_0.stopped,left_learning_reward_0.stopped,right_learning_reward_0.stopped,left_image_0.stopped,right_image_0.stopped,main_training.stopped,key_resp_0.keys,key_resp_0.rt,key_resp_0.duration,text_1.started,text1.started,text1_key_resp.started,text_1.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,main_learning.started,left_image.started,right_image.started,key_resp.started,reward_A2,reward_C,gain_reward,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,main_learning.stopped,key_resp.keys,key_resp.rt,key_resp.duration,text_2.started,text2.started,text2_key_resp.started,text_2.stopped,text2_key_resp.keys,text2_key_resp.rt,text2_key_resp.duration,fixation_transfer.started,fixation2.started,fixation_transfer.stopped,main_transfer.started,left_image_2.started,right_image_2.started,key_resp_2.started,polygon_2.started,left_image_2.stopped,right_image_2.stopped,key_resp_2.stopped,polygon_2.stopped,main_transfer.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,slider_transfer.started,slider_trns.started,mouse_trns.started,slider_transfer.stopped,slider_trns.response,slider_trns.rt,mouse_trns.x,mouse_trns.y,mouse_trns.leftButton,mouse_trns.midButton,mouse_trns.rightButton,mouse_trns.time,text_3.started,text3.started,text3_key_resp.started,text_3.stopped,text3_key_resp.keys,text3_key_resp.rt,text3_key_resp.duration,fixation_estimation.started,fixation3.started,fixation3.stopped,fixation_estimation.stopped,main_estimation.started,image_3.started,slider_estm.started,mouse_estm.started,main_estimation.stopped,slider_estm.response,slider_estm.rt,mouse_estm.x,mouse_estm.y,mouse_estm.leftButton,mouse_estm.midButton,mouse_estm.rightButton,mouse_estm.time,show_reward.started,text4.started,textbox4.started,textbox4.stopped,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.025995100033469498,0.039158100029453635,0.039158100029453635,1.329638299997896,space,1.2862240000395104,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554193,001,1,2024-05-28_12h31.11.777,article1,2024.1.4,None,2024-05-28 12h31.28.704675 +0330,
0,0,0,0,,,,,,,,,,,,,1.3541859000688419,,,,,,,,,1.3315892000682652,1.3541859000688419,2.3453752000350505,2.3453990999842063,2.551394500071183,2.551394500071183,2.551394500071183,6.354416700080037,6.354416700080037,6.354416700080037,6.570985600003041,7.373828100040555,7.373828100040555,7.373828100040555,7.55655660002958,7.55655660002958,8.329466600087471,right,0.42280160007067025,0.10614629997871816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554193,001,1,2024-05-28_12h31.11.777,article1,2024.1.4,None,2024-05-28 12h31.28.704675 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.330580600071698,8.338943600072525,8.338943600072525,8.961477800039575,space,0.6130819000536576,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554193,001,1,2024-05-28_12h31.11.777,article1,2024.1.4,None,2024-05-28 12h31.28.704675 +0330,
,,,,0,0,0,0,,,,,,,,,8.971768300049007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.962257100036368,8.971768300049007,10.093689300003462,9.959858900052495,9.959880499984138,10.093689300003462,10.093689300003462,10.093689300003462,64,26,64,13.988033000030555,13.988033000030555,13.988033000030555,14.122259600088,15.006904900074005,15.006904900074005,15.006904900074005,15.105652600061148,15.105652600061148,15.96214180008974,left,0.9947537999833003,0.06431759998667985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554193,001,1,2024-05-28_12h31.11.777,article1,2024.1.4,None,2024-05-28 12h31.28.704675 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.327969600097276,16.338884200085886,16.338884200085886,17.863274000003003,space,1.519962500082329,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554193,001,1,2024-05-28_12h31.11.777,article1,2024.1.4,None,2024-05-28 12h31.28.704675 +0330,
,,,,,,,,0,0,0,0,,,,,17.903612500056624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.864109600079246,17.903612500056624,18.876072900020517,18.87609929998871,18.97647600003984,18.97647600003984,18.97647600003984,20.571532800095156,21.58670320000965,21.58670320000965,21.58670320000965,22.653525600093417,22.594020300079137,right,0.5819164999993518,None,22.594642200041562,22.653525600093417,0.009449500008486211,25.461389900068752,90.0,2.8244851001072675,[0.4],[-0.02666666666666667],[1],[0],[0],[2.746969599975273],,,,,,,,,,,,,,,,,,,,,,,,,,,,,554193,001,1,2024-05-28_12h31.11.777,article1,2024.1.4,None,2024-05-28 12h31.28.704675 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.462348300032318,25.472194700036198,25.472194700036198,28.561427999986336,space,3.087011900031939,None,,,,,,,,,,,,,,,,,,,,,,554193,001,1,2024-05-28_12h31.11.777,article1,2024.1.4,None,2024-05-28 12h31.28.704675 +0330,
,,,,,,,,,,,,0,0,0,0,28.571790100075305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.562316399998963,28.571790100075305,29.653205000096932,29.559162400080822,29.559184600017034,29.653205000096932,29.653205000096932,0.04862590006086975,31.75898710009642,70.0,2.1207114999415353,[0.19666666666666666],[-0.19],[1],[0],[0],[2.045390000101179],,,,,554193,001,1,2024-05-28_12h31.11.777,article1,2024.1.4,None,2024-05-28 12h31.28.704675 +0330,
,,,,,,,,,,,,1,0,1,0,31.77533350000158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.7599205999868,31.77533350000158,,32.77699470007792,32.77701960003469,32.869300900027156,32.869300900027156,0.07803309999871999,34.24322200007737,70.0,1.374497399898246,[0.20333333333333334],[-0.21833333333333332],[1],[0],[0],[1.2802556999959052],,,,,554193,001,1,2024-05-28_12h31.11.777,article1,2024.1.4,None,2024-05-28 12h31.28.704675 +0330,
,,,,,,,,,,,,2,0,2,0,34.255407600081526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.24396720004734,34.255407600081526,35.336966300033964,35.24388480000198,35.24391600000672,35.336966300033964,35.336966300033964,0.05353060003835708,36.36804500001017,70.0,1.0141207999549806,[0.205],[-0.22833333333333333],[1],[0],[0],[0.9052854999899864],,,,,554193,001,1,2024-05-28_12h31.11.777,article1,2024.1.4,None,2024-05-28 12h31.28.704675 +0330,
