learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,reward_A1,reward_B,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,text_no_resp.started,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,text_no_resp.stopped,learning_complete.stopped,key_resp.keys,reward_A2,reward_C,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.01187809999100864,0.026180800050497055,0.026180800050497055,5.784411699976772,space,5.756351799936965,None,,,,,,,,,,,,,,,,,,,,,,,,,562995,001,1,2024-05-27_15h05.55.353,article1,2024.1.4,None,2024-05-27 15h05.58.509357 +0330,
0,0,0,0,5.809317999985069,,,,,,,,,5.785698099993169,5.809317999985069,6.7979173000203446,6.797941299970262,7.071023799944669,7.071023799944669,7.071023799944669,67,51,10.808787200017832,10.808787200017832,10.808787200017832,11.076539300032891,11.79277890000958,11.810370599967428,11.810370599967428,11.810370599967428,12.077053599990904,12.077053599990904,12.792690600035712,12.782513299956918,None,,,562995,001,1,2024-05-27_15h05.55.353,article1,2024.1.4,None,2024-05-27 15h05.58.509357 +0330,
1,0,1,0,13.143760800012387,,,,,,,,,13.13425839995034,13.143760800012387,13.798335799947381,13.79836030001752,13.915140199940652,13.915140199940652,13.915140199940652,,,17.808885699952953,17.808885699952953,17.808885699952953,17.94368210004177,18.79286459996365,18.810207100003026,18.810207100003026,18.810207100003026,18.926576599944383,18.926576599944383,19.79278100002557,19.781889299978502,None,58,54,562995,001,1,2024-05-27_15h05.55.353,article1,2024.1.4,None,2024-05-27 15h05.58.509357 +0330,
2,0,2,0,20.14301879995037,,,,,,,,,20.130579699994996,20.14301879995037,20.796788100036792,20.79681009997148,20.895579500007443,20.895579500007443,20.895579500007443,,,24.809237199951895,24.809237199951895,24.809237199951895,24.943045599968173,25.840815200004727,25.840815200004727,25.840815200004727,25.840815200004727,25.920231299940497,25.920231299940497,,26.79588099999819,None,45,68,562995,001,1,2024-05-27_15h05.55.353,article1,2024.1.4,None,2024-05-27 15h05.58.509357 +0330,
3,0,3,0,27.342690899968147,,,,,,,,,27.330485600046813,27.342690899968147,27.795839000027627,27.795860199956223,27.894560100045055,27.894560100045055,27.894560100045055,,,31.808229199959897,31.808229199959897,31.808229199959897,31.958523400011472,32.80948629998602,32.80948629998602,32.80948629998602,32.80948629998602,32.909521399997175,32.909521399997175,,33.7979450999992,None,85,65,562995,001,1,2024-05-27_15h05.55.353,article1,2024.1.4,None,2024-05-27 15h05.58.509357 +0330,
4,0,4,0,34.19243990001269,,,,,,,,,34.18139469996095,34.19243990001269,34.79673159995582,34.796758500044234,34.93130319996271,34.93130319996271,34.93130319996271,,,38.80837900005281,38.80837900005281,38.80837900005281,38.97525889996905,39.80871060001664,39.82615900004748,39.82615900004748,39.82615900004748,39.96554969996214,39.96554969996214,,40.79656679998152,None,62,17,562995,001,1,2024-05-27_15h05.55.353,article1,2024.1.4,None,2024-05-27 15h05.58.509357 +0330,
5,0,5,0,41.61125820002053,,,,,,,,,41.59680910001043,41.61125820002053,41.798121199943125,41.79814930004068,41.9614578000037,41.9614578000037,41.9614578000037,70,60,45.80792000005022,45.80792000005022,45.80792000005022,46.00857659999747,46.8072727000108,46.825124499970116,46.825124499970116,46.825124499970116,46.975197799969465,46.975197799969465,,47.79580680001527,None,,,562995,001,1,2024-05-27_15h05.55.353,article1,2024.1.4,None,2024-05-27 15h05.58.509357 +0330,
6,0,6,0,48.208340500015765,,,,,,,,,48.19976690004114,48.208340500015765,48.79800489998888,48.79803039995022,48.94804829999339,48.94804829999339,48.94804829999339,,,52.810154099948704,52.810154099948704,52.810154099948704,52.974675399949774,53.80959289998282,53.82563289999962,53.82563289999962,53.82563289999962,53.95934810000472,53.95934810000472,,54.795911699999124,None,83,31,562995,001,1,2024-05-27_15h05.55.353,article1,2024.1.4,None,2024-05-27 15h05.58.509357 +0330,
7,0,7,0,55.224545100005344,,,,,,,,,55.217005599988624,55.224545100005344,55.79515350004658,55.79517709999345,55.910490600042976,55.910490600042976,55.910490600042976,53,55,59.80787240003701,59.80787240003701,59.80787240003701,59.94140899996273,60.80782200000249,60.82588100002613,60.82588100002613,60.82588100002613,60.925102600012906,60.925102600012906,,61.79931419994682,None,,,562995,001,1,2024-05-27_15h05.55.353,article1,2024.1.4,None,2024-05-27 15h05.58.509357 +0330,
8,0,8,0,62.19118369999342,,,,,,,,,62.18009529996198,62.19118369999342,62.79648829996586,62.79651440004818,62.92786900000647,62.92786900000647,62.92786900000647,51,72,66.8078688000096,66.8078688000096,66.8078688000096,66.97419920004904,67.82452769996598,67.85841880005319,67.85841880005319,67.85841880005319,67.94239800004289,67.94239800004289,,68.79627549997531,None,,,562995,001,1,2024-05-27_15h05.55.353,article1,2024.1.4,None,2024-05-27 15h05.58.509357 +0330,
