training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,transfer_trials.thisRepN,transfer_trials.thisTrialN,transfer_trials.thisN,transfer_trials.thisIndex,estimation_trials.thisRepN,estimation_trials.thisTrialN,estimation_trials.thisN,estimation_trials.thisIndex,thisRow.t,notes,text_0.started,text0.started,text0_key_resp.started,text_0.stopped,text0_key_resp.keys,text0_key_resp.rt,text0_key_resp.duration,fixation_training.started,fixation0.started,fixation_training.stopped,main_training.started,left_image_0.started,right_image_0.started,key_resp_0.started,polygon_0.started,left_learning_reward_0.started,right_learning_reward_0.started,key_resp_0.stopped,polygon_0.stopped,left_learning_reward_0.stopped,right_learning_reward_0.stopped,left_image_0.stopped,right_image_0.stopped,main_training.stopped,key_resp_0.keys,key_resp_0.rt,key_resp_0.duration,text_1.started,text1.started,text1_key_resp.started,text_1.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,main_learning.started,left_image.started,right_image.started,key_resp.started,reward_A2,reward_C,gain_reward,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,main_learning.stopped,key_resp.keys,key_resp.rt,key_resp.duration,text_no_resp.started,text_no_resp.stopped,text_2.started,text2.started,text2_key_resp.started,text_2.stopped,text2_key_resp.keys,text2_key_resp.rt,text2_key_resp.duration,fixation_transfer.started,fixation2.started,fixation2.stopped,fixation_transfer.stopped,main_transfer.started,left_image_2.started,right_image_2.started,key_resp_2.started,polygon_2.started,left_image_2.stopped,right_image_2.stopped,key_resp_2.stopped,polygon_2.stopped,main_transfer.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,slider_transfer.started,slider_trns.started,mouse_trns.started,slider_transfer.stopped,slider_trns.response,slider_trns.rt,mouse_trns.x,mouse_trns.y,mouse_trns.leftButton,mouse_trns.midButton,mouse_trns.rightButton,mouse_trns.time,text_3.started,text3.started,text3_key_resp.started,text_3.stopped,text3_key_resp.keys,text3_key_resp.rt,text3_key_resp.duration,fixation_estimation.started,fixation3.started,fixation_estimation.stopped,main_estimation.started,image_3.started,slider_estm.started,mouse_estm.started,main_estimation.stopped,slider_estm.response,slider_estm.rt,mouse_estm.x,mouse_estm.y,mouse_estm.leftButton,mouse_estm.midButton,mouse_estm.rightButton,mouse_estm.time,show_reward.started,text4.started,totalRewardText.started,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.020097399945370853,0.0354069999884814,0.0354069999884814,0.8463369000237435,space,0.8009124000091106,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,611714,001,1,2024-05-28_13h38.53.348,article1,2024.1.4,None,2024-05-28 13h39.01.989073 +0330,
0,0,0,0,,,,,,,,,,,,,0.8672780999913812,,,,,,,,,0.8475681999698281,0.8672780999913812,1.8568473999621347,1.8568708999082446,2.0962239999789745,2.0962239999789745,2.0962239999789745,5.868163499981165,5.868163499981165,5.868163499981165,6.117024499922991,6.885836599976756,6.885836599976756,6.885836599976756,7.103298599948175,7.103298599948175,7.857018299982883,right,0.34843050001654774,0.09959270001854748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,611714,001,1,2024-05-28_13h38.53.348,article1,2024.1.4,None,2024-05-28 13h39.01.989073 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.857630899990909,7.868878999957815,7.868878999957815,10.092873999965377,space,2.219844799954444,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,611714,001,1,2024-05-28_13h38.53.348,article1,2024.1.4,None,2024-05-28 13h39.01.989073 +0330,
,,,,0,0,0,0,,,,,,,,,10.10112239990849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.093988199951127,10.10112239990849,11.207915399922058,11.09024369996041,11.090276999981143,11.207915399922058,11.207915399922058,11.207915399922058,77,54,54,15.117162399925292,15.117162399925292,15.117162399925292,15.235152499983087,16.119253400014713,16.119253400014713,16.119253400014713,16.218276700004935,16.218276700004935,17.09294579993002,right,0.3524703999282792,0.10844020009972155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,611714,001,1,2024-05-28_13h38.53.348,article1,2024.1.4,None,2024-05-28 13h39.01.989073 +0330,
,,,,1,0,1,0,,,,,,,,,17.468527199933305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.456182900001295,17.468527199933305,18.55435679992661,18.45547990000341,18.45550469995942,18.55435679992661,18.55435679992661,18.55435679992661,90,47,,22.4691905999789,22.4691905999789,22.4691905999789,22.568194399937056,23.468640099978074,23.468640099978074,23.468640099978074,23.568892700015567,23.568892700015567,25.462352099944837,None,,,24.467636800021864,25.484621800016612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,611714,001,1,2024-05-28_13h38.53.348,article1,2024.1.4,None,2024-05-28 13h39.01.989073 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.822929400019348,25.83513799996581,25.83513799996581,26.225397299975157,space,0.38699219992849976,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,611714,001,1,2024-05-28_13h38.53.348,article1,2024.1.4,None,2024-05-28 13h39.01.989073 +0330,
,,,,,,,,0,0,0,0,,,,,26.23488899995573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.226403299951926,26.23488899995573,27.321698099956848,27.222310799988918,27.22234779992141,27.321698099956848,27.321698099956848,27.321698099956848,29.68290060001891,30.6995260999538,30.6995260999538,30.6995260999538,31.766504299943335,31.704809100017883,right,1.350823999964632,None,31.705514599918388,31.766504299943335,0.006450799992308021,33.12524610001128,55.0,1.364155700081028,[0.06833333333333333],[0.04666666666666667],[1],[0],[0],[1.2529169999761507],,,,,,,,,,,,,,,,,,,,,,,,,,,611714,001,1,2024-05-28_13h38.53.348,article1,2024.1.4,None,2024-05-28 13h39.01.989073 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.126239300007,33.13472400000319,33.13472400000319,35.304897999973036,space,2.1677150001050904,None,,,,,,,,,,,,,,,,,,,,611714,001,1,2024-05-28_13h38.53.348,article1,2024.1.4,None,2024-05-28 13h39.01.989073 +0330,
,,,,,,,,,,,,0,0,0,0,35.31705910002347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.30549559998326,35.31705910002347,36.30540159996599,36.305426899925806,36.41596319992095,36.41596319992095,0.05776290001813322,37.473861099919304,75.0,1.0763066000072286,[0.24],[-0.18333333333333332],[1],[0],[0],[0.9677062999689952],,,,611714,001,1,2024-05-28_13h38.53.348,article1,2024.1.4,None,2024-05-28 13h39.01.989073 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.47478109993972,37.500600099912845,37.500600099912845,,,,,,,,,
