learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,reward_A2,reward_C,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,learning_complete.stopped,key_resp.keys,reward_A1,reward_B,key_resp.rt,key_resp.duration,participant,session,learning_type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.02773550001438707,0.06080760003533214,0.06080760003533214,14.474726499989629,space,14.395051599945873,None,,,,,,,,,,,,,,,,,,,,,,,,635546,001,1,2024-05-27_13h23.31.671,article1,2024.1.4,None,2024-05-27 13h23.37.835989 +0330,
0,0,0,0,14.482500100042671,,,,,,,,,14.475877500022762,14.482500100042671,15.590648900019005,15.469878599978983,15.469895699992776,15.590648900019005,15.590648900019005,15.590648900019005,65,67,19.483021400053985,19.483021400053985,19.483021400053985,19.599329699994996,20.48322489997372,20.48322489997372,20.48322489997372,20.485699300072156,None,,,,,635546,001,1,2024-05-27_13h23.31.671,article1,2024.1.4,None,2024-05-27 13h23.37.835989 +0330,
1,0,1,0,20.849880900001153,,,,,,,,,20.83653199998662,20.849880900001153,,21.48757460003253,21.487593800062314,21.551605900051072,21.551605900051072,21.551605900051072,,,25.483105199993588,25.483105199993588,25.483105199993588,25.56665759999305,26.483268000069074,26.483268000069074,26.483268000069074,26.48599259997718,None,62,66,,,635546,001,1,2024-05-27_13h23.31.671,article1,2024.1.4,None,2024-05-27 13h23.37.835989 +0330,
2,0,2,0,26.849774800008163,,,,,,,,,26.83997690002434,26.849774800008163,,27.486327000078745,27.486342400079593,27.551406000042334,27.551406000042334,27.551406000042334,65,55,31.48326420004014,31.48326420004014,31.48326420004014,31.5662284999853,32.483007300063036,32.483007300063036,32.483007300063036,32.48518359998707,None,,,,,635546,001,1,2024-05-27_13h23.31.671,article1,2024.1.4,None,2024-05-27 13h23.37.835989 +0330,
3,0,3,0,32.84963539999444,,,,,,,,,32.8358277999796,32.84963539999444,,33.485589800053276,33.48560440004803,33.53533109999262,33.53533109999262,33.53533109999262,,,37.48315810004715,37.48315810004715,37.48315810004715,37.549806100083515,38.483886800007895,38.483886800007895,38.483886800007895,38.48721789999399,left,60,57,1.0398733000038192,0.11980280000716448,635546,001,1,2024-05-27_13h23.31.671,article1,2024.1.4,None,2024-05-27 13h23.37.835989 +0330,
4,0,4,0,38.849535900051706,,,,,,,,,38.83547410008032,38.849535900051706,,39.484787399997,39.484802399994805,39.55335750000086,39.55335750000086,39.55335750000086,91,53,43.483023500069976,43.483023500069976,43.483023500069976,43.56607340008486,44.48309170000721,44.48309170000721,44.48309170000721,44.4862345000729,None,,,,,635546,001,1,2024-05-27_13h23.31.671,article1,2024.1.4,None,2024-05-27 13h23.37.835989 +0330,
5,0,5,0,44.85002540005371,,,,,,,,,44.83599980000872,44.85002540005371,,45.485495100030676,45.48551020002924,45.55310090002604,45.55310090002604,45.55310090002604,45,22,49.48233580007218,49.48233580007218,49.48233580007218,49.56628070003353,50.48304520000238,50.48304520000238,50.48304520000238,50.48599960003048,None,,,,,635546,001,1,2024-05-27_13h23.31.671,article1,2024.1.4,None,2024-05-27 13h23.37.835989 +0330,
6,0,6,0,50.84914160007611,,,,,,,,,50.834541400079615,50.84914160007611,,51.485517500084825,51.48553220008034,51.5347462000791,51.5347462000791,51.5347462000791,69,47,55.4822576000588,55.4822576000588,55.4822576000588,55.549011500086635,56.48307090008166,56.48307090008166,56.48307090008166,56.48627720004879,None,,,,,635546,001,1,2024-05-27_13h23.31.671,article1,2024.1.4,None,2024-05-27 13h23.37.835989 +0330,
7,0,7,0,56.9159683000762,,,,,,,,,56.902399500017054,56.9159683000762,,57.48554010002408,57.48555460001808,57.55090490006842,57.55090490006842,57.55090490006842,62,36,61.482437500031665,61.482437500031665,61.482437500031665,61.56576909997966,62.482563900062814,62.482563900062814,62.482563900062814,62.484751900075935,None,,,,,635546,001,1,2024-05-27_13h23.31.671,article1,2024.1.4,None,2024-05-27 13h23.37.835989 +0330,
8,0,8,0,62.84947120002471,,,,,,,,,62.83572099998128,62.84947120002471,,63.48613370000385,63.486154600046575,63.5519317999715,63.5519317999715,63.5519317999715,,,67.48190000001341,67.48190000001341,67.48190000001341,67.56571700004861,68.48300890007522,68.48300890007522,68.48300890007522,68.48612999997567,right,62,28,0.7105496000731364,0.48065229994244874,635546,001,1,2024-05-27_13h23.31.671,article1,2024.1.4,None,2024-05-27 13h23.37.835989 +0330,
