training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,transfer_trials.thisRepN,transfer_trials.thisTrialN,transfer_trials.thisN,transfer_trials.thisIndex,estimation_trials.thisRepN,estimation_trials.thisTrialN,estimation_trials.thisN,estimation_trials.thisIndex,thisRow.t,notes,text_0.started,text0.started,text0_key_resp.started,text_0.stopped,text0_key_resp.keys,text0_key_resp.rt,text0_key_resp.duration,fixation_training.started,fixation0.started,fixation0.stopped,fixation_training.stopped,main_training.started,left_image_0.started,right_image_0.started,key_resp_0.started,polygon_0.started,left_learning_reward_0.started,right_learning_reward_0.started,key_resp_0.stopped,polygon_0.stopped,left_learning_reward_0.stopped,right_learning_reward_0.stopped,left_image_0.stopped,right_image_0.stopped,main_training.stopped,key_resp_0.keys,key_resp_0.rt,key_resp_0.duration,text_1.started,text1.started,text1_key_resp.started,text_1.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,main_learning.started,left_image.started,right_image.started,key_resp.started,reward_C,reward_A2,gain_reward,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,main_learning.stopped,key_resp.keys,key_resp.rt,key_resp.duration,reward_A1,reward_B,text_2.started,text2.started,text2_key_resp.started,text_2.stopped,text2_key_resp.keys,text2_key_resp.rt,text2_key_resp.duration,fixation_transfer.started,fixation2.started,fixation2.stopped,fixation_transfer.stopped,main_transfer.started,left_image_2.started,right_image_2.started,key_resp_2.started,polygon_2.started,left_image_2.stopped,right_image_2.stopped,key_resp_2.stopped,polygon_2.stopped,main_transfer.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,slider_transfer.started,slider_trns.started,mouse_trns.started,slider_transfer.stopped,slider_trns.response,slider_trns.rt,mouse_trns.x,mouse_trns.y,mouse_trns.leftButton,mouse_trns.midButton,mouse_trns.rightButton,mouse_trns.time,text_3.started,text3.started,text3_key_resp.started,text_3.stopped,text3_key_resp.keys,text3_key_resp.rt,text3_key_resp.duration,fixation_estimation.started,fixation3.started,fixation3.stopped,fixation_estimation.stopped,main_estimation.started,image_3.started,slider_estm.started,mouse_estm.started,main_estimation.stopped,slider_estm.response,slider_estm.rt,mouse_estm.x,mouse_estm.y,mouse_estm.leftButton,mouse_estm.midButton,mouse_estm.rightButton,mouse_estm.time,show_reward.started,text4.started,totalRewardText.started,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.0051497999811545014,0.011902499943971634,0.011902499943971634,1.394318399950862,space,1.3720906000817195,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,669519,001,1,2024-05-28_14h11.29.855,article1,2024.1.4,None,2024-05-28 14h11.34.818802 +0330,
0,0,0,0,,,,,,,,,,,,,1.4061021000379696,,,,,,,,,1.3949730000458658,1.4061021000379696,2.5162570000393316,2.389784300001338,2.3898105999687687,2.5162570000393316,2.5162570000393316,2.5162570000393316,6.406608899938874,6.406608899938874,6.406608899938874,6.523856400046498,7.406726200017147,7.406726200017147,7.406726200017147,7.522607299964875,7.522607299964875,8.394321499974467,left,1.2924469000427052,0.042753799934871495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,669519,001,1,2024-05-28_14h11.29.855,article1,2024.1.4,None,2024-05-28 14h11.34.818802 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.394775999942794,8.409885699977167,8.409885699977167,10.672840700019151,space,2.253882299992256,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,669519,001,1,2024-05-28_14h11.29.855,article1,2024.1.4,None,2024-05-28 14h11.34.818802 +0330,
,,,,0,0,0,0,,,,,,,,,10.688488299958408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.673816399998032,10.688488299958408,11.739273000042886,11.673400599975139,11.673437000019476,11.739273000042886,11.739273000042886,11.739273000042886,22,66,66,15.672998000052758,15.672998000052758,15.672998000052758,15.740026899962686,16.672709499951452,16.672709499951452,16.672709499951452,16.739056200021878,16.739056200021878,17.67575339996256,right,1.538250399986282,0.05571620003320277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,669519,001,1,2024-05-28_14h11.29.855,article1,2024.1.4,None,2024-05-28 14h11.34.818802 +0330,
,,,,1,0,1,0,,,,,,,,,18.03895289998036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.024079199996777,18.03895289998036,19.07988309999928,19.023904699948616,19.023955899989232,19.07988309999928,19.07988309999928,19.07988309999928,,,65,23.02304640004877,23.02304640004877,23.02304640004877,23.089968999964185,24.022685699979775,24.022685699979775,24.022685699979775,24.088854999979958,24.088854999979958,25.04297559999395,left,0.2461784000042826,0.09880380006507039,65,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,669519,001,1,2024-05-28_14h11.29.855,article1,2024.1.4,None,2024-05-28 14h11.34.818802 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.391180000035092,25.405746400007047,25.405746400007047,26.539597399998456,space,1.1254463999066502,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,669519,001,1,2024-05-28_14h11.29.855,article1,2024.1.4,None,2024-05-28 14h11.34.818802 +0330,
,,,,,,,,0,0,0,0,,,,,26.55538809997961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.540153500041924,26.55538809997961,27.613037999952212,27.54056049999781,27.540609800023958,27.613037999952212,27.613037999952212,27.613037999952212,29.28026959998533,30.285090900026262,30.285090900026262,30.285090900026262,31.31725089997053,31.287249400047585,right,0.6502459000330418,None,31.288430199958384,31.31725089997053,0.006771399988792837,32.257515399949625,55.0,0.9461735000368208,[0.0712962962962963],[-0.028703703703703703],[1],[0],[0],[0.7939435000298545],,,,,,,,,,,,,,,,,,,,,,,,,,,,669519,001,1,2024-05-28_14h11.29.855,article1,2024.1.4,None,2024-05-28 14h11.34.818802 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.25791990000289,32.27206750004552,32.27206750004552,35.690538199967705,space,3.407550700008869,None,,,,,,,,,,,,,,,,,,,,,669519,001,1,2024-05-28_14h11.29.855,article1,2024.1.4,None,2024-05-28 14h11.34.818802 +0330,
,,,,,,,,,,,,0,0,0,0,35.70522310002707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.6915650999872,35.70522310002707,36.741975100012496,36.68947510002181,36.68950640002731,36.741975100012496,36.741975100012496,0.03215270000509918,37.72447180002928,55.0,0.9852771000005305,[0.05740740740740741],[-0.1935185185185185],[1],[0],[0],[0.8814939999720082],,,,669519,001,1,2024-05-28_14h11.29.855,article1,2024.1.4,None,2024-05-28 14h11.34.818802 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.72486519999802,37.73858150001615,37.73858150001615,,,,,,,,,
