training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,transfer_trials.thisRepN,transfer_trials.thisTrialN,transfer_trials.thisN,transfer_trials.thisIndex,estimation_trials.thisRepN,estimation_trials.thisTrialN,estimation_trials.thisN,estimation_trials.thisIndex,thisRow.t,notes,text_0.started,text0.started,text0_key_resp.started,text_0.stopped,text0_key_resp.keys,text0_key_resp.rt,text0_key_resp.duration,fixation_training.started,fixation0.started,fixation_training.stopped,main_training.started,left_image_0.started,right_image_0.started,key_resp_0.started,polygon_0.started,left_learning_reward_0.started,right_learning_reward_0.started,key_resp_0.stopped,polygon_0.stopped,left_learning_reward_0.stopped,right_learning_reward_0.stopped,left_image_0.stopped,right_image_0.stopped,main_training.stopped,key_resp_0.keys,key_resp_0.rt,key_resp_0.duration,text_1.started,text1.started,text1_key_resp.started,text_1.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,main_learning.started,left_image.started,right_image.started,key_resp.started,reward_A2,reward_C,gain_reward,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,main_learning.stopped,key_resp.keys,key_resp.rt,key_resp.duration,reward_B,reward_A1,text_2.started,text2.started,text2_key_resp.started,text_2.stopped,text2_key_resp.keys,text2_key_resp.rt,text2_key_resp.duration,fixation_transfer.started,fixation2.started,fixation2.stopped,fixation_transfer.stopped,main_transfer.started,left_image_2.started,right_image_2.started,key_resp_2.started,polygon_2.started,left_image_2.stopped,right_image_2.stopped,key_resp_2.stopped,polygon_2.stopped,main_transfer.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,slider_transfer.started,slider_trns.started,mouse_trns.started,slider_transfer.stopped,slider_trns.response,slider_trns.rt,mouse_trns.x,mouse_trns.y,mouse_trns.leftButton,mouse_trns.midButton,mouse_trns.rightButton,mouse_trns.time,text_3.started,text3.started,text3_key_resp.started,text_3.stopped,text3_key_resp.keys,text3_key_resp.rt,text3_key_resp.duration,fixation_estimation.started,fixation3.started,fixation3.stopped,fixation_estimation.stopped,main_estimation.started,image_3.started,slider_estm.started,mouse_estm.started,main_estimation.stopped,slider_estm.response,slider_estm.rt,mouse_estm.x,mouse_estm.y,mouse_estm.leftButton,mouse_estm.midButton,mouse_estm.rightButton,mouse_estm.time,show_reward.started,text4.started,totalRewardText.started,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.0027393000200390816,0.006934300065040588,0.006934300065040588,1.2802359000779688,space,1.2641416999977082,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714249,001,1,2024-05-28_13h56.31.462,article1,2024.1.4,None,2024-05-28 13h56.48.448469 +0330,
0,0,0,0,,,,,,,,,,,,,1.2898633000440896,,,,,,,,,1.2816412000684068,1.2898633000440896,2.288869700045325,2.288926800014451,2.4665894000791013,2.4665894000791013,2.4665894000791013,6.28921379998792,6.28921379998792,6.28921379998792,6.4723187000490725,7.288792400038801,7.288792400038801,7.288792400038801,7.471234500058927,7.471234500058927,8.290026400005445,right,1.176164900069125,0.06677899998612702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714249,001,1,2024-05-28_13h56.31.462,article1,2024.1.4,None,2024-05-28 13h56.48.448469 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.290789999999106,8.304728700080886,8.304728700080886,8.70633870002348,space,0.3905395999317989,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714249,001,1,2024-05-28_13h56.31.462,article1,2024.1.4,None,2024-05-28 13h56.48.448469 +0330,
,,,,0,0,0,0,,,,,,,,,8.72126790008042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.707582000060938,8.72126790008042,9.876912800013088,9.705500500043854,9.70558519999031,9.876912800013088,9.876912800013088,9.876912800013088,77,43,43,13.722491200082004,13.722491200082004,13.722491200082004,13.888958299998194,14.721791599993594,14.721791599993594,14.721791599993594,14.888210300006904,14.888210300006904,15.70891779998783,right,0.3170641999458894,0.12905620003584772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714249,001,1,2024-05-28_13h56.31.462,article1,2024.1.4,None,2024-05-28 13h56.48.448469 +0330,
,,,,1,0,1,0,,,,,,,,,16.071712300064974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.05748429999221,16.071712300064974,17.138519200030714,17.056293400004506,17.056345600052737,17.138519200030714,17.138519200030714,17.138519200030714,,,54,21.07474060007371,21.07474060007371,21.07474060007371,21.1389438000042,22.088834900059737,22.088834900059737,22.088834900059737,22.137934800004587,22.137934800004587,23.075009100022726,left,0.2928645999636501,0.09861680003814399,54,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714249,001,1,2024-05-28_13h56.31.462,article1,2024.1.4,None,2024-05-28 13h56.48.448469 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.422872800030746,23.43812970002182,23.43812970002182,24.706657300004736,space,1.2587048000423238,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714249,001,1,2024-05-28_13h56.31.462,article1,2024.1.4,None,2024-05-28 13h56.48.448469 +0330,
,,,,,,,,0,0,0,0,,,,,24.721439799992368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.70789100008551,24.721439799992368,25.786343900021166,25.7050427000504,25.705069600022398,25.786343900021166,25.786343900021166,25.786343900021166,27.54949060000945,28.55412890005391,28.55412890005391,28.55412890005391,29.602228800067678,29.557194499997422,left,0.7443121999967843,None,29.558266600011848,29.602228800067678,0.009283300023525953,30.865064300014637,25.0,1.2715366000775248,[-0.22685185185185186],[-0.001851851851851852],[1],[0],[0],[1.1461238000774756],,,,,,,,,,,,,,,,,,,,,,,,,,,,714249,001,1,2024-05-28_13h56.31.462,article1,2024.1.4,None,2024-05-28 13h56.48.448469 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.865949099999852,30.87282090005465,30.87282090005465,32.09007830009796,space,1.2057893999153748,None,,,,,,,,,,,,,,,,,,,,,714249,001,1,2024-05-28_13h56.31.462,article1,2024.1.4,None,2024-05-28 13h56.48.448469 +0330,
,,,,,,,,,,,,0,0,0,0,32.104316300014034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.09125270007644,32.104316300014034,33.179923200048506,33.089149500010535,33.08923600008711,33.179923200048506,33.179923200048506,0.05009709997102618,33.94058190006763,85.0,0.7771210999926552,[0.36666666666666664],[-0.17407407407407408],[1],[0],[0],[0.6712623999919742],,,,714249,001,1,2024-05-28_13h56.31.462,article1,2024.1.4,None,2024-05-28 13h56.48.448469 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.94128050003201,33.96641440002713,33.96641440002713,,,,,,,,,
