training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,transfer_trials.thisRepN,transfer_trials.thisTrialN,transfer_trials.thisN,transfer_trials.thisIndex,estimation_trials.thisRepN,estimation_trials.thisTrialN,estimation_trials.thisN,estimation_trials.thisIndex,thisRow.t,notes,text_0.started,text0.started,text0_key_resp.started,text_0.stopped,text0_key_resp.keys,text0_key_resp.rt,text0_key_resp.duration,fixation_training.started,fixation0.started,fixation0.stopped,fixation_training.stopped,main_training.started,left_image_0.started,right_image_0.started,key_resp_0.started,polygon_0.started,left_learning_reward_0.started,right_learning_reward_0.started,key_resp_0.stopped,polygon_0.stopped,left_learning_reward_0.stopped,right_learning_reward_0.stopped,left_image_0.stopped,right_image_0.stopped,text_no_resp_0.started,text_no_resp_0.stopped,main_training.stopped,key_resp_0.keys,text_1.started,text1.started,text1_key_resp.started,text_1.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,main_learning.started,left_image.started,right_image.started,key_resp.started,reward_C,reward_A2,gain_reward,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,main_learning.stopped,key_resp.keys,key_resp.rt,key_resp.duration,text_no_resp.started,text_no_resp.stopped,text_2.started,text2.started,text2_key_resp.started,text_2.stopped,text2_key_resp.keys,text2_key_resp.rt,text2_key_resp.duration,fixation_transfer.started,fixation2.started,fixation2.stopped,fixation_transfer.stopped,main_transfer.started,left_image_2.started,right_image_2.started,key_resp_2.started,polygon_2.started,left_image_2.stopped,right_image_2.stopped,key_resp_2.stopped,polygon_2.stopped,main_transfer.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,slider_transfer.started,slider_trns.started,mouse_trns.started,slider_transfer.stopped,slider_trns.response,slider_trns.rt,mouse_trns.x,mouse_trns.y,mouse_trns.leftButton,mouse_trns.midButton,mouse_trns.rightButton,mouse_trns.time,text_3.started,text3.started,text3_key_resp.started,text_3.stopped,text3_key_resp.keys,text3_key_resp.rt,text3_key_resp.duration,fixation_estimation.started,fixation3.started,fixation3.stopped,fixation_estimation.stopped,main_estimation.started,image_3.started,slider_estm.started,mouse_estm.started,main_estimation.stopped,slider_estm.response,slider_estm.rt,mouse_estm.x,mouse_estm.y,mouse_estm.leftButton,mouse_estm.midButton,mouse_estm.rightButton,mouse_estm.time,show_reward.started,text4.started,totalRewardText.started,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.007583700004033744,0.01216539996676147,0.01216539996676147,1.5562889999710023,space,1.5283815999282524,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,757847,001,1,2024-05-28_14h46.02.995,article1,2024.1.4,None,2024-05-28 14h46.08.304229 +0330,
0,0,0,0,,,,,,,,,,,,,1.5702913999557495,,,,,,,,,1.5567949999822304,1.5702913999557495,2.6327708999160677,2.5552173999603838,2.555240000016056,2.6327708999160677,2.6327708999160677,2.6327708999160677,6.5706732999533415,6.5706732999533415,6.5706732999533415,6.6373281999258325,7.573747199960053,7.573747199960053,7.573747199960053,7.642217600019649,7.642217600019649,8.573899299954064,9.573728399933316,9.56210859993007,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,757847,001,1,2024-05-28_14h46.02.995,article1,2024.1.4,None,2024-05-28 14h46.08.304229 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.562371799955145,9.573728399933316,9.573728399933316,12.520840600016527,space,2.9408653000136837,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,757847,001,1,2024-05-28_14h46.02.995,article1,2024.1.4,None,2024-05-28 14h46.08.304229 +0330,
,,,,0,0,0,0,,,,,,,,,12.53687179996632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.521487099933438,12.53687179996632,13.593951600021683,13.521493799984455,13.52157569990959,13.593951600021683,13.593951600021683,13.593951600021683,22,73,73,17.52102559991181,17.52102559991181,17.52102559991181,17.604230499942787,18.52077239996288,18.52077239996288,18.52077239996288,18.603526399936527,18.603526399936527,19.540376999997534,right,2.3097488000057638,0.1237693999428302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,757847,001,1,2024-05-28_14h46.02.995,article1,2024.1.4,None,2024-05-28 14h46.08.304229 +0330,
,,,,1,0,1,0,,,,,,,,,19.903464999981225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.888186599942856,19.903464999981225,20.934833799954504,20.887060899985954,20.88707970001269,20.934833799954504,20.934833799954504,20.934833799954504,58,71,,24.887300699949265,24.887300699949265,24.887300699949265,24.937236699974164,25.887285899952985,25.887285899952985,25.887285899952985,25.936750900000334,25.936750900000334,27.910676699946634,None,,,26.920027800020762,27.919542699935846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,757847,001,1,2024-05-28_14h46.02.995,article1,2024.1.4,None,2024-05-28 14h46.08.304229 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.254153899964876,28.269851899938658,28.269851899938658,33.488192199962214,space,5.210973399924114,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,757847,001,1,2024-05-28_14h46.02.995,article1,2024.1.4,None,2024-05-28 14h46.08.304229 +0330,
,,,,,,,,0,0,0,0,,,,,33.50312609993853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.489083699998446,33.50312609993853,34.54940959997475,34.48796269996092,34.48800070001744,34.54940959997475,34.54940959997475,34.54940959997475,38.862102299928665,39.866937799961306,39.866937799961306,39.866937799961306,40.894751799991354,40.86975149996579,right,3.296233900007792,None,40.870233599911444,40.894751799991354,0.005042099975980818,42.83849619992543,65.0,1.946544999955222,[0.1712962962962963],[0.020370370370370372],[1],[0],[0],[1.8594117000466213],,,,,,,,,,,,,,,,,,,,,,,,,,,,757847,001,1,2024-05-28_14h46.02.995,article1,2024.1.4,None,2024-05-28 14h46.08.304229 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.8389104999369,42.85286460001953,42.85286460001953,43.9888727000216,space,1.124916399945505,None,,,,,,,,,,,,,,,,,,,,,757847,001,1,2024-05-28_14h46.02.995,article1,2024.1.4,None,2024-05-28 14h46.08.304229 +0330,
,,,,,,,,,,,,0,0,0,0,44.00294959999155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.99012919992674,44.00294959999155,45.04458019998856,44.98746069998015,44.98751389991958,45.04458019998856,45.04458019998856,0.028820900013670325,45.90649029996712,70.0,0.8723649000748992,[0.1787037037037037],[-0.19907407407407407],[1],[0],[0],[0.7347247999859974],,,,757847,001,1,2024-05-28_14h46.02.995,article1,2024.1.4,None,2024-05-28 14h46.08.304229 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.90688659995794,45.919161499943584,45.919161499943584,,,,,,,,,
