learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,learning_complete.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.007147599942982197,0.012095300015062094,0.012095300015062094,0.6206743000075221,space,0.5886842999607325,None,,,,,,,,,,,,,,,,,,,771537,001,2024-05-27_00h58.56.320,article1,2024.1.4,None,2024-05-27 00h59.01.320739 +0330,
0,0,0,0,0.6325368999969214,,,,,,,,,0.6247703999979421,0.6325368999969214,1.6289105999749154,1.628933599917218,1.7657821999164298,1.7657821999164298,1.7657821999164298,5.628099599969573,5.628099599969573,5.628099599969573,5.77823009993881,6.633378400001675,6.633378400001675,6.633378400001675,6.6335046999156475,right,1.8340039999457076,0.0846841000020504,771537,001,2024-05-27_00h58.56.320,article1,2024.1.4,None,2024-05-27 00h59.01.320739 +0330,
1,0,1,0,6.998156099929474,,,,,,,,,6.987412499962375,6.998156099929474,7.635156499920413,7.6351914999540895,7.749740500003099,7.749740500003099,7.749740500003099,11.633041799999774,11.633041799999774,11.633041799999774,11.74973089993,,12.634701999952085,12.634701999952085,12.634887599968351,None,,,771537,001,2024-05-27_00h58.56.320,article1,2024.1.4,None,2024-05-27 00h59.01.320739 +0330,
2,0,2,0,13.216315699974075,,,,,,,,,13.200133899925277,13.216315699974075,13.633653400000185,13.633689899928868,13.760476999916136,13.760476999916136,13.760476999916136,17.633379700011574,17.633379700011574,17.633379700011574,17.765153999906033,,,,18.62261540000327,right,2.0746638000709936,0.11128229997120798,771537,001,2024-05-27_00h58.56.320,article1,2024.1.4,None,2024-05-27 00h59.01.320739 +0330,
3,0,3,0,18.981893499963917,,,,,,,,,18.966649599955417,18.981893499963917,19.627486199955456,19.62751749996096,19.691838299972005,19.691838299972005,19.691838299972005,23.628315799986012,23.628315799986012,23.628315799986012,23.69487919996027,24.627394899958745,24.627394899958745,24.627394899958745,24.6277323999675,left,1.3341258000582457,0.0613708000164479,771537,001,2024-05-27_00h58.56.320,article1,2024.1.4,None,2024-05-27 00h59.01.320739 +0330,
4,0,4,0,24.993751399917528,,,,,,,,,24.9785300999647,24.993751399917528,25.627532099955715,25.627582999994047,25.68704439990688,25.68704439990688,25.68704439990688,29.627845800016075,29.627845800016075,29.627845800016075,29.695028699934483,,30.62763200001791,30.62763200001791,30.627943699946627,None,,,771537,001,2024-05-27_00h58.56.320,article1,2024.1.4,None,2024-05-27 00h59.01.320739 +0330,
5,0,5,0,30.993377599981613,,,,,,,,,30.97954899992328,30.993377599981613,31.62707629997749,31.627095000003465,31.681940399925224,31.681940399925224,31.681940399925224,35.62779239995871,35.62779239995871,35.62779239995871,35.6945803000126,36.62767089996487,36.62767089996487,36.62767089996487,36.62781609990634,left,0.3885638000210747,0.10659730003681034,771537,001,2024-05-27_00h58.56.320,article1,2024.1.4,None,2024-05-27 00h59.01.320739 +0330,
6,0,6,0,36.99367599992547,,,,,,,,,36.97922659991309,36.99367599992547,37.62737259990536,37.62740220001433,37.6929660999449,37.6929660999449,37.6929660999449,41.62758099997882,41.62758099997882,41.62758099997882,41.69396730000153,,42.62755609990563,42.62755609990563,42.627814600011334,None,,,771537,001,2024-05-27_00h58.56.320,article1,2024.1.4,None,2024-05-27 00h59.01.320739 +0330,
7,0,7,0,42.99373529991135,,,,,,,,,42.97808129992336,42.99373529991135,43.62747149995994,43.62759649998043,43.69545849994756,43.69545849994756,43.69545849994756,47.62763989996165,47.62763989996165,47.62763989996165,47.710953300003894,,48.627437499933876,48.627437499933876,48.627639499958605,None,,,771537,001,2024-05-27_00h58.56.320,article1,2024.1.4,None,2024-05-27 00h59.01.320739 +0330,
8,0,8,0,48.99356689990964,,,,,,,,,48.97870289999992,48.99356689990964,49.62708559993189,49.62710259994492,49.730408899951726,49.730408899951726,49.730408899951726,53.62762349995319,53.62762349995319,53.62762349995319,53.74395999999251,,54.62738109997008,54.62738109997008,54.62778999994043,None,,,771537,001,2024-05-27_00h58.56.320,article1,2024.1.4,None,2024-05-27 00h59.01.320739 +0330,
9,0,9,0,54.99343189992942,,,,,,,,,54.97810429998208,54.99343189992942,55.62707139994018,55.6270997999236,55.71926969999913,55.71926969999913,55.71926969999913,59.62736199994106,59.62736199994106,59.62736199994106,59.72731779993046,,60.62715269997716,60.62715269997716,60.62734709994402,None,,,771537,001,2024-05-27_00h58.56.320,article1,2024.1.4,None,2024-05-27 00h59.01.320739 +0330,
10,0,10,0,60.99321499990765,,,,,,,,,60.97885800001677,60.99321499990765,61.62666820001323,61.62672289996408,61.70137189992238,61.70137189992238,61.70137189992238,65.62737369991373,65.62737369991373,65.62737369991373,65.71059559995774,,66.62731239991263,66.62731239991263,66.62765279994346,None,,,771537,001,2024-05-27_00h58.56.320,article1,2024.1.4,None,2024-05-27 00h59.01.320739 +0330,
11,0,11,0,66.99328819999937,,,,,,,,,66.97913389990572,66.99328819999937,67.62646139995195,67.62647169991396,67.6924625999527,67.6924625999527,67.6924625999527,71.62721569999121,71.62721569999121,71.62721569999121,71.69335610000417,,72.62701159995049,72.62701159995049,72.62723420001566,None,,,771537,001,2024-05-27_00h58.56.320,article1,2024.1.4,None,2024-05-27 00h59.01.320739 +0330,
12,0,12,0,72.99277189990971,,,,,,,,,72.9786974999588,72.99277189990971,73.62861679994967,73.62863809999544,73.71173889993224,73.71173889993224,73.71173889993224,77.62738319998607,77.62738319998607,77.62738319998607,77.72677109995857,,78.62683660001494,78.62683660001494,78.62697969994042,None,,,771537,001,2024-05-27_00h58.56.320,article1,2024.1.4,None,2024-05-27 00h59.01.320739 +0330,
13,0,13,0,78.99286879994906,,,,,,,,,78.97770950000267,78.99286879994906,79.62667889997829,79.62670379993506,79.72660649998579,79.72660649998579,79.72660649998579,83.62701009993907,83.62701009993907,83.62701009993907,83.72706199996173,,84.62679879995994,84.62679879995994,84.62691370001994,None,,,771537,001,2024-05-27_00h58.56.320,article1,2024.1.4,None,2024-05-27 00h59.01.320739 +0330,
14,0,14,0,84.99257549992763,,,,,,,,,84.97710489993915,84.99257549992763,85.62651909992564,85.62654480000492,85.7051691999659,85.7051691999659,85.7051691999659,89.62755380000453,89.62755380000453,89.62755380000453,89.70994540001266,,90.62872159993276,90.62872159993276,90.62890749995131,None,,,771537,001,2024-05-27_00h58.56.320,article1,2024.1.4,None,2024-05-27 00h59.01.320739 +0330,
15,0,15,0,90.99260929995216,,,,,,,,,90.97797749994788,90.99260929995216,91.62617259996478,91.62619109998923,91.69728989992291,91.69728989992291,91.69728989992291,95.62904589995742,95.62904589995742,95.62904589995742,95.70976359990891,,,,96.62694430002011,None,,,771537,001,2024-05-27_00h58.56.320,article1,2024.1.4,None,2024-05-27 00h59.01.320739 +0330,
16,0,16,0,96.99269629991613,,,,,,,,,96.97744389995933,96.99269629991613,97.62610929994844,97.62613150000107,97.71591369993985,97.71591369993985,97.71591369993985,101.62659120000899,101.62659120000899,101.62659120000899,101.72640079993289,,102.62653130001854,102.62653130001854,102.62739679997321,None,,,771537,001,2024-05-27_00h58.56.320,article1,2024.1.4,None,2024-05-27 00h59.01.320739 +0330,
17,0,17,0,102.99241539998911,,,,,,,,,102.97730239992961,102.99241539998911,103.6261217999272,103.6261458999943,103.71567079995293,103.71567079995293,103.71567079995293,107.62661879998632,107.62661879998632,107.62661879998632,107.72662779991515,,108.62645229999907,108.62645229999907,108.62658149993513,None,,,771537,001,2024-05-27_00h58.56.320,article1,2024.1.4,None,2024-05-27 00h59.01.320739 +0330,
18,0,18,0,108.99248339992482,,,,,,,,,108.9775634999387,108.99248339992482,109.62552619993221,109.625545399962,109.68401709990576,109.68401709990576,109.68401709990576,113.62690979999024,113.62690979999024,113.62690979999024,113.6930092999246,,114.62610969995148,114.62610969995148,114.62630449992139,None,,,771537,001,2024-05-27_00h58.56.320,article1,2024.1.4,None,2024-05-27 00h59.01.320739 +0330,
,,,,114.99241720000282,,,,,,,,,114.97811699996237,114.99241720000282,115.62639569991734,115.62641819997225,,,,,,,,,,,,,,,,,,,,,,
