learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,reward_A2,reward_C,gain_reward,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,learning_complete.stopped,key_resp.keys,key_resp.rt,key_resp.duration,reward_A1,reward_B,text_no_resp.started,text_no_resp.stopped,fixation1.stopped,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.029833100037649274,0.05567550007253885,0.05567550007253885,18.710133400047198,space,18.64489770005457,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,772983,001,1,2024-05-27_21h49.12.354,article1,2024.1.4,None,2024-05-27 21h49.21.603560 +0330,
0,0,0,0,18.72839110007044,,,,,,,,,18.713526700041257,18.72839110007044,19.720644899993204,19.720675299991854,19.91719700000249,19.91719700000249,19.91719700000249,62,33,33,23.7289454001002,23.7289454001002,23.7289454001002,23.96238300006371,24.72877500008326,24.72877500008326,24.72877500008326,24.92969290004112,24.92969290004112,25.719502300024033,right,0.5672251000069082,0.13408629992045462,,,,,,772983,001,1,2024-05-27_21h49.12.354,article1,2024.1.4,None,2024-05-27 21h49.21.603560 +0330,
1,0,1,0,26.128424299997278,,,,,,,,,26.111406800104305,26.128424299997278,27.116494100075215,27.11651270010043,27.213988800067455,27.213988800067455,27.213988800067455,,,,31.129010800039396,31.129010800039396,31.129010800039396,31.229689600062557,32.12967540009413,32.12967540009413,32.12967540009413,32.22911200008821,32.22911200008821,34.120111000025645,None,,,51,44,33.127981600002386,34.14391079999041,,772983,001,1,2024-05-27_21h49.12.354,article1,2024.1.4,None,2024-05-27 21h49.21.603560 +0330,
2,0,2,0,34.49646819999907,,,,,,,,,34.483447700040415,34.49646819999907,35.48446700000204,35.48448800004553,35.61558530002367,35.61558530002367,35.61558530002367,,,,39.51160329999402,39.51160329999402,39.51160329999402,39.62880170007702,40.5128520000726,40.5128520000726,40.5128520000726,40.630920200026594,40.630920200026594,42.50466630002484,None,,,49,61,41.511283200001344,42.527092800009996,,772983,001,1,2024-05-27_21h49.12.354,article1,2024.1.4,None,2024-05-27 21h49.21.603560 +0330,
3,0,3,0,42.87832260003779,,,,,,,,,42.86834360007197,42.87832260003779,43.86733170005027,43.867352200089954,43.98155600007158,43.98155600007158,43.98155600007158,77,52,52,47.895248700049706,47.895248700049706,47.895248700049706,48.012216500006616,48.89608970005065,48.89608970005065,48.89608970005065,48.99527840001974,48.99527840001974,49.86895170004573,left,0.3117027999833226,0.11819990002550185,,,,,43.98155600007158,772983,001,1,2024-05-27_21h49.12.354,article1,2024.1.4,None,2024-05-27 21h49.21.603560 +0330,
4,0,4,0,50.24529520003125,,,,,,,,,50.234585100086406,50.24529520003125,51.23564590001479,51.235666800057516,51.33093799999915,51.33093799999915,51.33093799999915,62,50,62,55.26187160005793,55.26187160005793,55.26187160005793,55.36130370001774,56.280078700045124,56.280078700045124,56.280078700045124,56.328584800008684,56.328584800008684,57.23518250009511,right,0.3437174999853596,0.11508350004442036,,,,,,772983,001,1,2024-05-27_21h49.12.354,article1,2024.1.4,None,2024-05-27 21h49.21.603560 +0330,
5,0,5,0,57.59538590000011,,,,,,,,,57.58351100003347,57.59538590000011,58.584215500042774,58.58423610008322,58.6816295000026,58.6816295000026,58.6816295000026,,,,62.6108738000039,62.6108738000039,62.6108738000039,62.71237110008951,63.62939860008191,63.62939860008191,63.62939860008191,63.69555900001433,63.69555900001433,65.60456890007481,None,,,64,63,64.61132550006732,65.62709710001945,,772983,001,1,2024-05-27_21h49.12.354,article1,2024.1.4,None,2024-05-27 21h49.21.603560 +0330,
6,0,6,0,65.97831470007077,,,,,,,,,65.96840760007035,65.97831470007077,66.96645380009431,66.96647420001682,67.09841940004844,67.09841940004844,67.09841940004844,,,58,70.99490040005185,70.99490040005185,70.99490040005185,71.14477910008281,72.01205620006658,72.01205620006658,72.01205620006658,72.1116857000161,72.1116857000161,72.96804400009569,right,2.266087200026959,0.10777649993542582,54,58,,,67.09841940004844,772983,001,1,2024-05-27_21h49.12.354,article1,2024.1.4,None,2024-05-27 21h49.21.603560 +0330,
7,0,7,0,73.32836250006221,,,,,,,,,73.31875179999042,73.32836250006221,74.31918440002482,74.31920770008583,74.4144545000745,74.4144545000745,74.4144545000745,52,40,,78.34421830007341,78.34421830007341,78.34421830007341,78.42838530009612,79.36196880007628,79.36196880007628,79.36196880007628,79.42854190000799,79.42854190000799,81.35538449999876,None,,,,,80.36050090007484,81.37678300007246,74.4144545000745,772983,001,1,2024-05-27_21h49.12.354,article1,2024.1.4,None,2024-05-27 21h49.21.603560 +0330,
8,0,8,0,81.72945790004451,,,,,,,,,81.71957690001,81.72945790004451,82.73480400000699,82.73482630006038,82.8470079000108,82.8470079000108,82.8470079000108,67,37,67,86.74456870008726,86.74456870008726,86.74456870008726,86.87773110007402,87.7619198000757,87.7619198000757,87.7619198000757,87.8621548000956,87.8621548000956,88.71779250004329,left,0.29350130003876984,0.1433182000182569,,,,,,772983,001,1,2024-05-27_21h49.12.354,article1,2024.1.4,None,2024-05-27 21h49.21.603560 +0330,
