training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,transfer_trials.thisRepN,transfer_trials.thisTrialN,transfer_trials.thisN,transfer_trials.thisIndex,estimation_trials.thisRepN,estimation_trials.thisTrialN,estimation_trials.thisN,estimation_trials.thisIndex,thisRow.t,notes,text_0.started,text0.started,text0_key_resp.started,text_0.stopped,text0_key_resp.keys,text0_key_resp.rt,text0_key_resp.duration,fixation_training.started,fixation0.started,fixation_training.stopped,main_training.started,left_image_0.started,right_image_0.started,key_resp_0.started,polygon_0.started,left_learning_reward_0.started,right_learning_reward_0.started,key_resp_0.stopped,polygon_0.stopped,left_learning_reward_0.stopped,right_learning_reward_0.stopped,left_image_0.stopped,right_image_0.stopped,main_training.stopped,key_resp_0.keys,key_resp_0.rt,key_resp_0.duration,text_1.started,text1.started,text1_key_resp.started,text_1.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,main_learning.started,left_image.started,right_image.started,key_resp.started,reward_C,reward_A2,gain_reward,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,main_learning.stopped,key_resp.keys,key_resp.rt,key_resp.duration,text_2.started,text2.started,text2_key_resp.started,text_2.stopped,text2_key_resp.keys,text2_key_resp.rt,text2_key_resp.duration,fixation_transfer.started,fixation2.started,fixation2.stopped,fixation_transfer.stopped,main_transfer.started,left_image_2.started,right_image_2.started,key_resp_2.started,polygon_2.started,left_image_2.stopped,right_image_2.stopped,key_resp_2.stopped,polygon_2.stopped,main_transfer.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,slider_transfer.started,slider_trns.started,mouse_trns.started,slider_transfer.stopped,slider_trns.response,slider_trns.rt,mouse_trns.x,mouse_trns.y,mouse_trns.leftButton,mouse_trns.midButton,mouse_trns.rightButton,mouse_trns.time,text_3.started,text3.started,text3_key_resp.started,text_3.stopped,text3_key_resp.keys,text3_key_resp.rt,text3_key_resp.duration,fixation_estimation.started,fixation3.started,fixation3.stopped,fixation_estimation.stopped,main_estimation.started,image_3.started,slider_estm.started,mouse_estm.started,main_estimation.stopped,slider_estm.response,slider_estm.rt,mouse_estm.x,mouse_estm.y,mouse_estm.leftButton,mouse_estm.midButton,mouse_estm.rightButton,mouse_estm.time,show_reward.started,text4.started,textbox4.started,textbox4.stopped,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.033813799964264035,0.05995489994529635,0.05995489994529635,1.489685400039889,space,1.4135883999988437,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,812131,001,1,2024-05-28_12h33.50.301,article1,2024.1.4,None,2024-05-28 12h33.59.792261 +0330,
0,0,0,0,,,,,,,,,,,,,1.5108120000222698,,,,,,,,,1.4908211999572814,1.5108120000222698,2.4983329999959096,2.498357299948111,2.7048977999947965,2.7048977999947965,2.7048977999947965,6.523184800054878,6.523184800054878,6.523184800054878,6.724617199972272,7.540925999986939,7.540925999986939,7.540925999986939,7.707456200034358,7.707456200034358,8.498567800037563,right,0.8377761000301689,0.14154770004097372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,812131,001,1,2024-05-28_12h33.50.301,article1,2024.1.4,None,2024-05-28 12h33.59.792261 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.499509599991143,8.507410899968818,8.507410899968818,9.798346700030379,space,1.2864942000014707,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,812131,001,1,2024-05-28_12h33.50.301,article1,2024.1.4,None,2024-05-28 12h33.59.792261 +0330,
,,,,0,0,0,0,,,,,,,,,9.807695299969055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.799252200056799,9.807695299969055,10.93119040003512,10.796520499978215,10.796550899976864,10.93119040003512,10.93119040003512,10.93119040003512,50,79,79,14.823823099955916,14.823823099955916,14.823823099955916,14.956690900027752,15.841246200026944,15.841246200026944,15.841246200026944,15.941185700008646,15.941185700008646,16.814214800018817,right,3.0274406999815255,0.1108766000252217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,812131,001,1,2024-05-28_12h33.50.301,article1,2024.1.4,None,2024-05-28 12h33.59.792261 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.180158799979836,17.190969199989922,17.190969199989922,19.11417239997536,space,1.917327200062573,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,812131,001,1,2024-05-28_12h33.50.301,article1,2024.1.4,None,2024-05-28 12h33.59.792261 +0330,
,,,,,,,,0,0,0,0,,,,,19.124468000023626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.114954799995758,19.124468000023626,20.210571100004017,20.112395799951628,20.112428599968553,20.210571100004017,20.210571100004017,20.210571100004017,27.189971199957654,28.20656560000498,28.20656560000498,28.20656560000498,29.272123700007796,29.213044499978423,right,5.957743600010872,None,29.21378360001836,29.272123700007796,0.011344900005497038,32.427200000034645,45.0,3.171061299974099,[-0.055],[-0.006666666666666667],[1],[0],[0],[3.0809515999862924],,,,,,,,,,,,,,,,,,,,,,,,,,,,,812131,001,1,2024-05-28_12h33.50.301,article1,2024.1.4,None,2024-05-28 12h33.59.792261 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.427983499947004,32.43983189994469,32.43983189994469,38.081421299953945,space,5.630894800066017,None,,,,,,,,,,,,,,,,,,,,,,812131,001,1,2024-05-28_12h33.50.301,article1,2024.1.4,None,2024-05-28 12h33.59.792261 +0330,
,,,,,,,,,,,,0,0,0,0,38.08998769999016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.08231420000084,38.08998769999016,39.18941899994388,39.078144300030544,39.078165699960664,39.18941899994388,39.18941899994388,0.05178620002698153,41.09554150002077,75.0,1.929978400003165,[0.24833333333333332],[-0.215],[1],[0],[0],[1.4546843999996781],,,,,812131,001,1,2024-05-28_12h33.50.301,article1,2024.1.4,None,2024-05-28 12h33.59.792261 +0330,
,,,,,,,,,,,,1,0,1,0,41.10683269996662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0967013000045,41.10683269996662,42.172584200045094,42.094781600055285,42.094803699990734,42.172584200045094,42.172584200045094,0.04275450005661696,43.34530879999511,70.0,1.172946900012903,[0.22333333333333333],[-0.21],[1],[0],[0],[1.099886600044556],,,,,812131,001,1,2024-05-28_12h33.50.301,article1,2024.1.4,None,2024-05-28 12h33.59.792261 +0330,
,,,,,,,,,,,,2,0,2,0,43.357917699962854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.346058600000106,43.357917699962854,,44.34660409996286,44.346652399981394,44.438064599991776,44.438064599991776,0.05932100000791252,45.310722399968654,55.0,0.8721340000629425,[0.051666666666666666],[-0.19166666666666668],[1],[0],[0],[0.6994848999893293],,,,,812131,001,1,2024-05-28_12h33.50.301,article1,2024.1.4,None,2024-05-28 12h33.59.792261 +0330,
