learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,reward_B,reward_A1,gain_reward,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,learning_complete.stopped,key_resp.keys,key_resp.rt,key_resp.duration,fixation1.stopped,text_no_resp.started,text_no_resp.stopped,reward_A2,reward_C,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.051983899902552366,0.0682035000063479,0.0682035000063479,3.992326300009154,space,3.908251699991524,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,817673,001,1,2024-05-27_21h19.37.855,article1,2024.1.4,None,2024-05-27 21h19.45.480753 +0330,
0,0,0,0,4.017448899918236,,,,,,,,,3.9934874000027776,4.017448899918236,5.002168199978769,5.002196899964474,5.239095699973404,5.239095699973404,5.239095699973404,72,63,63,9.013710399973206,9.013710399973206,9.013710399973206,9.247211799956858,10.014754800009541,10.014754800009541,10.014754800009541,10.24805389996618,10.24805389996618,10.987644399981946,right,0.636239800020121,0.12544749991502613,,,,,,817673,001,1,2024-05-27_21h19.37.855,article1,2024.1.4,None,2024-05-27 21h19.45.480753 +0330,
1,0,1,0,11.363778900005855,,,,,,,,,11.35292989993468,11.363778900005855,12.351657299906947,12.351677799946629,12.469065999961458,12.469065999961458,12.469065999961458,65,60,,16.380496299942024,16.380496299942024,16.380496299942024,16.512973799952306,17.398711399990134,17.398711399990134,17.398711399990134,17.48092939995695,17.48092939995695,19.397780400002375,None,,,12.469065999961458,18.380129599943757,19.413391300011426,,,817673,001,1,2024-05-27_21h19.37.855,article1,2024.1.4,None,2024-05-27 21h19.45.480753 +0330,
2,0,2,0,19.76399579993449,,,,,,,,,19.75206809991505,19.76399579993449,20.751905899960548,20.75192499998957,20.919017599895597,20.919017599895597,20.919017599895597,,,,24.779548899969086,24.779548899969086,24.779548899969086,24.93020860000979,25.780937999952585,25.780937999952585,25.780937999952585,25.93018679996021,25.93018679996021,27.756366499932483,None,,,,26.762955299927853,27.778872999944724,85,29,817673,001,1,2024-05-27_21h19.37.855,article1,2024.1.4,None,2024-05-27 21h19.45.480753 +0330,
3,0,3,0,28.130555899930187,,,,,,,,,28.119719699956477,28.130555899930187,29.119913199916482,29.119938399991952,29.21704849996604,29.21704849996604,29.21704849996604,,,,33.14616989996284,33.14616989996284,33.14616989996284,33.23008549993392,34.14653529995121,34.14653529995121,34.14653529995121,34.230339400004596,34.230339400004596,36.15949289989658,None,,,29.21704849996604,35.16232929995749,36.17892589990515,75,53,817673,001,1,2024-05-27_21h19.37.855,article1,2024.1.4,None,2024-05-27 21h19.45.480753 +0330,
4,0,4,0,36.53051809989847,,,,,,,,,36.52018699992914,36.53051809989847,37.5193521999754,37.51937309990171,37.63521649991162,37.63521649991162,37.63521649991162,45,61,,41.54598099994473,41.54598099994473,41.54598099994473,41.64715390000492,42.54824729997199,42.54824729997199,42.54824729997199,42.64767659991048,42.64767659991048,44.56330059992615,None,,,37.63521649991162,43.562343399971724,44.57851179991849,,,817673,001,1,2024-05-27_21h19.37.855,article1,2024.1.4,None,2024-05-27 21h19.45.480753 +0330,
5,0,5,0,44.93067409994546,,,,,,,,,44.91900769993663,44.93067409994546,45.919464799924754,45.9194977999432,46.0157923999941,46.0157923999941,46.0157923999941,50,64,64,49.94651439995505,49.94651439995505,49.94651439995505,50.046149499947205,50.947493999963626,50.947493999963626,50.947493999963626,51.03030719992239,51.03030719992239,51.93581870000344,left,1.4108750999439508,0.17561540007591248,46.0157923999941,,,,,817673,001,1,2024-05-27_21h19.37.855,article1,2024.1.4,None,2024-05-27 21h19.45.480753 +0330,
6,0,6,0,52.29652999993414,,,,,,,,,52.28853399993386,52.29652999993414,53.2850014999276,53.28502879990265,53.38187879999168,53.38187879999168,53.38187879999168,52,68,,57.31311089999508,57.31311089999508,57.31311089999508,57.41272699995898,58.314033899921924,58.314033899921924,58.314033899921924,58.397144299931824,58.397144299931824,60.322539899963886,None,,,53.38187879999168,59.32894059992395,60.344741499982774,,,817673,001,1,2024-05-27_21h19.37.855,article1,2024.1.4,None,2024-05-27 21h19.45.480753 +0330,
7,0,7,0,60.696830299915746,,,,,,,,,60.68655779992696,60.696830299915746,61.68598419998307,61.68601069995202,61.83357009990141,61.83357009990141,61.83357009990141,,,,65.71162429999094,65.71162429999094,65.71162429999094,65.84628399997018,66.71427829994354,66.71427829994354,66.71427829994354,66.8467705999501,66.8467705999501,68.7382519999519,None,,,61.83357009990141,67.73430010001175,68.76081219990738,56,62,817673,001,1,2024-05-27_21h19.37.855,article1,2024.1.4,None,2024-05-27 21h19.45.480753 +0330,
8,0,8,0,69.11354940000456,,,,,,,,,69.10313219996169,69.11354940000456,70.10299079993274,70.10302029992454,70.21599599998444,70.21599599998444,70.21599599998444,70,81,,74.1291390999686,74.1291390999686,74.1291390999686,74.24601699993946,75.12941629998386,75.12941629998386,75.12941629998386,75.23017229989637,75.23017229989637,77.12152059993241,None,,,70.21599599998444,76.12845339998603,77.14436199993361,,,817673,001,1,2024-05-27_21h19.37.855,article1,2024.1.4,None,2024-05-27 21h19.45.480753 +0330,
9,0,9,0,77.49654639989603,,,,,,,,,77.48626189993229,77.49654639989603,78.48527699999977,78.48530609998852,78.59842459997162,78.59842459997162,78.59842459997162,52,71,,82.51157079997938,82.51157079997938,82.51157079997938,82.62949139997363,83.51350040000398,83.51350040000398,83.51350040000398,83.5966955999611,83.5966955999611,85.5071371999802,None,,,78.59842459997162,84.51097870001104,85.5278554999968,,,817673,001,1,2024-05-27_21h19.37.855,article1,2024.1.4,None,2024-05-27 21h19.45.480753 +0330,
