training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,transfer_trials.thisRepN,transfer_trials.thisTrialN,transfer_trials.thisN,transfer_trials.thisIndex,estimation_trials.thisRepN,estimation_trials.thisTrialN,estimation_trials.thisN,estimation_trials.thisIndex,thisRow.t,notes,text_0.started,text0.started,text0_key_resp.started,text_0.stopped,text0_key_resp.keys,text0_key_resp.rt,text0_key_resp.duration,fixation_training.started,fixation0.started,fixation_training.stopped,main_training.started,left_image_0.started,right_image_0.started,key_resp_0.started,polygon_0.started,left_learning_reward_0.started,right_learning_reward_0.started,key_resp_0.stopped,polygon_0.stopped,left_learning_reward_0.stopped,right_learning_reward_0.stopped,left_image_0.stopped,right_image_0.stopped,main_training.stopped,key_resp_0.keys,key_resp_0.rt,key_resp_0.duration,text_1.started,text1.started,text1_key_resp.started,text_1.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,main_learning.started,left_image.started,right_image.started,key_resp.started,reward_A1,reward_B,gain_reward,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,main_learning.stopped,key_resp.keys,key_resp.rt,key_resp.duration,reward_C,reward_A2,text_2.started,text2.started,text2_key_resp.started,text_2.stopped,text2_key_resp.keys,text2_key_resp.rt,text2_key_resp.duration,fixation_transfer.started,fixation2.started,fixation2.stopped,fixation_transfer.stopped,main_transfer.started,left_image_2.started,right_image_2.started,key_resp_2.started,polygon_2.started,left_image_2.stopped,right_image_2.stopped,key_resp_2.stopped,polygon_2.stopped,main_transfer.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,slider_transfer.started,slider_trns.started,mouse_trns.started,slider_transfer.stopped,slider_trns.response,slider_trns.rt,mouse_trns.x,mouse_trns.y,mouse_trns.leftButton,mouse_trns.midButton,mouse_trns.rightButton,mouse_trns.time,text_3.started,text3.started,text3_key_resp.started,text_3.stopped,text3_key_resp.keys,text3_key_resp.rt,text3_key_resp.duration,fixation_estimation.started,fixation3.started,fixation3.stopped,fixation_estimation.stopped,main_estimation.started,image_3.started,slider_estm.started,mouse_estm.started,main_estimation.stopped,slider_estm.response,slider_estm.rt,mouse_estm.x,mouse_estm.y,mouse_estm.leftButton,mouse_estm.midButton,mouse_estm.rightButton,mouse_estm.time,show_reward.started,text4.started,totalRewardText.started,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.004729699925519526,0.019652199931442738,0.019652199931442738,0.40502089995425195,space,0.37593109998852015,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,847081,001,1,2024-05-28_14h27.43.659,article1,2024.1.4,None,2024-05-28 14h27.49.208723 +0330,
0,0,0,0,,,,,,,,,,,,,0.42099509993568063,,,,,,,,,0.4055419999640435,0.42099509993568063,1.4200469999341294,1.4200612999266014,1.5352518999716267,1.5352518999716267,1.5352518999716267,5.418326899991371,5.418326899991371,5.418326899991371,5.534999999916181,6.418219499988481,6.418219499988481,6.418219499988481,6.534834899939597,6.534834899939597,7.422382699907757,right,0.42460060003213584,0.14114970003720373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,847081,001,1,2024-05-28_14h27.43.659,article1,2024.1.4,None,2024-05-28 14h27.49.208723 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.423016099957749,7.436336899991147,7.436336899991147,13.403200799948536,space,5.96372900006827,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,847081,001,1,2024-05-28_14h27.43.659,article1,2024.1.4,None,2024-05-28 14h27.49.208723 +0330,
,,,,0,0,0,0,,,,,,,,,13.418163999915123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.404981999890879,13.418163999915123,14.505738199921325,14.40221329999622,14.402231899905019,14.505738199921325,14.505738199921325,14.505738199921325,60,35,35,18.402609499986283,18.402609499986283,18.402609499986283,18.518838899908587,19.40255909995176,19.40255909995176,19.40255909995176,19.519777599954978,19.519777599954978,20.40419359994121,right,0.7647195999743417,0.09454990003723651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,847081,001,1,2024-05-28_14h27.43.659,article1,2024.1.4,None,2024-05-28 14h27.49.208723 +0330,
,,,,1,0,1,0,,,,,,,,,20.768671699916013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.754296300001442,20.768671699916013,21.823680899920873,21.75370469992049,21.753736099926755,21.823680899920873,21.823680899920873,21.823680899920873,,,64,25.774430899997242,25.774430899997242,25.774430899997242,25.835447299992666,26.785689399926923,26.785689399926923,26.785689399926923,26.836218699929304,26.836218699929304,27.758152299909852,right,1.0359890999970958,0.06511309999041259,33,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,847081,001,1,2024-05-28_14h27.43.659,article1,2024.1.4,None,2024-05-28 14h27.49.208723 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.104747799923643,28.11841060000006,28.11841060000006,28.92232959996909,space,0.7942976999329403,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,847081,001,1,2024-05-28_14h27.43.659,article1,2024.1.4,None,2024-05-28 14h27.49.208723 +0330,
,,,,,,,,0,0,0,0,,,,,28.93500239995774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.922989599988796,28.93500239995774,29.9986214999808,29.920934499939904,29.92096329992637,29.9986214999808,29.9986214999808,29.9986214999808,31.663899899926037,32.671563699957915,32.671563699957915,32.671563699957915,33.70958159992006,33.675043499912135,right,0.6412552000256255,None,33.676178699941374,33.70958159992006,0.011666500009596348,35.58786779991351,50.0,1.8852247000904754,[0.013888888888888888],[-0.001851851851851852],[1],[0],[0],[1.7832418999169022],,,,,,,,,,,,,,,,,,,,,,,,,,,,847081,001,1,2024-05-28_14h27.43.659,article1,2024.1.4,None,2024-05-28 14h27.49.208723 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.58828659995925,35.60143239994068,35.60143239994068,36.570944499922916,space,0.9669758999953046,None,,,,,,,,,,,,,,,,,,,,,847081,001,1,2024-05-28_14h27.43.659,article1,2024.1.4,None,2024-05-28 14h27.49.208723 +0330,
,,,,,,,,,,,,0,0,0,0,36.58520899992436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.57174679997843,36.58520899992436,37.62588839989621,37.57049169996753,37.5705217999639,37.62588839989621,37.62588839989621,0.027155800024047494,39.58798199996818,60.0,1.9719741999870166,[0.08611111111111111],[-0.1962962962962963],[1],[0],[0],[1.8356025000102818],,,,847081,001,1,2024-05-28_14h27.43.659,article1,2024.1.4,None,2024-05-28 14h27.49.208723 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.58838729991112,39.602641799952835,39.602641799952835,,,,,,,,,
