training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,transfer_trials.thisRepN,transfer_trials.thisTrialN,transfer_trials.thisN,transfer_trials.thisIndex,estimation_trials.thisRepN,estimation_trials.thisTrialN,estimation_trials.thisN,estimation_trials.thisIndex,thisRow.t,notes,text_0.started,text0.started,text0_key_resp.started,text_0.stopped,text0_key_resp.keys,text0_key_resp.rt,text0_key_resp.duration,fixation_training.started,fixation0.started,fixation0.stopped,fixation_training.stopped,main_training.started,left_image_0.started,right_image_0.started,key_resp_0.started,polygon_0.started,left_learning_reward_0.started,right_learning_reward_0.started,key_resp_0.stopped,polygon_0.stopped,left_learning_reward_0.stopped,right_learning_reward_0.stopped,left_image_0.stopped,right_image_0.stopped,main_training.stopped,key_resp_0.keys,key_resp_0.rt,key_resp_0.duration,text_1.started,text1.started,text1_key_resp.started,text_1.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation_learning.stopped,main_learning.started,left_image.started,right_image.started,key_resp.started,reward_A2,reward_C,gain_reward,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,main_learning.stopped,key_resp.keys,key_resp.rt,key_resp.duration,fixation1.stopped,reward_A1,reward_B,text_2.started,text2.started,text2_key_resp.started,text_2.stopped,text2_key_resp.keys,text2_key_resp.rt,text2_key_resp.duration,fixation_transfer.started,fixation2.started,fixation2.stopped,fixation_transfer.stopped,main_transfer.started,left_image_2.started,right_image_2.started,key_resp_2.started,polygon_2.started,left_image_2.stopped,right_image_2.stopped,key_resp_2.stopped,polygon_2.stopped,main_transfer.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,slider_transfer.started,slider_trns.started,mouse_trns.started,slider_transfer.stopped,slider_trns.response,slider_trns.rt,mouse_trns.x,mouse_trns.y,mouse_trns.leftButton,mouse_trns.midButton,mouse_trns.rightButton,mouse_trns.time,text_3.started,text3.started,text3_key_resp.started,text_3.stopped,text3_key_resp.keys,text3_key_resp.rt,text3_key_resp.duration,fixation_estimation.started,fixation3.started,fixation3.stopped,fixation_estimation.stopped,main_estimation.started,image_3.started,slider_estm.started,mouse_estm.started,main_estimation.stopped,slider_estm.response,slider_estm.rt,mouse_estm.x,mouse_estm.y,mouse_estm.leftButton,mouse_estm.midButton,mouse_estm.rightButton,mouse_estm.time,show_reward.started,text4.started,totalRewardText.started,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.009403300005942583,0.013287999900057912,0.013287999900057912,0.8291162999812514,space,0.8009805999463424,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,855949,001,1,2024-05-28_14h05.01.812,article1,2024.1.4,None,2024-05-28 14h05.07.992517 +0330,
0,0,0,0,,,,,,,,,,,,,0.8428564999485388,,,,,,,,,0.8297177999047562,0.8428564999485388,1.9068797999061644,1.827110099955462,1.8271265999646857,1.9068797999061644,1.9068797999061644,1.9068797999061644,5.843710399931297,5.843710399931297,5.843710399931297,5.910699900006875,6.847648399998434,6.847648399998434,6.847648399998434,6.915452599991113,6.915452599991113,7.832215999951586,right,0.8952653999440372,0.0555014000274241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,855949,001,1,2024-05-28_14h05.01.812,article1,2024.1.4,None,2024-05-28 14h05.07.992517 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.832766699953936,7.846933199907653,7.846933199907653,9.892816599924117,space,2.037181799998507,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,855949,001,1,2024-05-28_14h05.01.812,article1,2024.1.4,None,2024-05-28 14h05.07.992517 +0330,
,,,,0,0,0,0,,,,,,,,,9.908748399931937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.89382110000588,9.908748399931937,10.893172399955802,10.893209400004707,10.980819699936546,10.980819699936546,10.980819699936546,62,53,53,14.89389750000555,14.89389750000555,14.89389750000555,14.993443099898286,15.89334849989973,15.89334849989973,15.89334849989973,15.9930294000078,15.9930294000078,16.896362699917518,right,1.3681743999477476,0.08533949998673052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,855949,001,1,2024-05-28_14h05.01.812,article1,2024.1.4,None,2024-05-28 14h05.07.992517 +0330,
,,,,1,0,1,0,,,,,,,,,17.259400499984622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.243172699934803,17.259400499984622,18.244629699969664,18.244680700008757,18.305303699919023,18.305303699919023,18.305303699919023,,,55,22.243745799991302,22.243745799991302,22.243745799991302,22.310141899972223,23.243211599998176,23.243211599998176,23.243211599998176,23.30935299990233,23.30935299990233,24.262081099906936,left,1.079907999956049,0.1362243000185117,18.305303699919023,55,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,855949,001,1,2024-05-28_14h05.01.812,article1,2024.1.4,None,2024-05-28 14h05.07.992517 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.61071819998324,24.62584499991499,24.62584499991499,31.09524389996659,space,6.464460300048813,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,855949,001,1,2024-05-28_14h05.01.812,article1,2024.1.4,None,2024-05-28 14h05.07.992517 +0330,
,,,,,,,,0,0,0,0,,,,,31.10897139995359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.096263199928217,31.10897139995359,32.174642400001176,32.09424519992899,32.09428509999998,32.174642400001176,32.174642400001176,32.174642400001176,34.203843700001016,35.21047859999817,35.21047859999817,35.21047859999817,36.2381479999749,36.213146599940956,right,1.0176831000717357,None,36.21378200000618,36.2381479999749,0.005847400054335594,39.72736779996194,30.0,3.4914667999837548,[-0.19074074074074074],[0.008333333333333333],[1],[0],[0],[3.339809100027196],,,,,,,,,,,,,,,,,,,,,,,,,,,,855949,001,1,2024-05-28_14h05.01.812,article1,2024.1.4,None,2024-05-28 14h05.07.992517 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.72777919995133,39.74236099992413,39.74236099992413,40.57711769989692,space,0.8262276999885216,None,,,,,,,,,,,,,,,,,,,,,855949,001,1,2024-05-28_14h05.01.812,article1,2024.1.4,None,2024-05-28 14h05.07.992517 +0330,
,,,,,,,,,,,,0,0,0,0,40.592156899976544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.577675099950284,40.592156899976544,41.63418419996742,41.57779649994336,41.57782619993668,41.63418419996742,41.63418419996742,0.0271121000405401,43.49568829999771,65.0,1.876838400028646,[0.1527777777777778],[-0.20277777777777778],[1],[0],[0],[1.7534756999230012],,,,855949,001,1,2024-05-28_14h05.01.812,article1,2024.1.4,None,2024-05-28 14h05.07.992517 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.496095299953595,43.512182599981315,43.512182599981315,,,,,,,,,
