training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,transfer_trials.thisRepN,transfer_trials.thisTrialN,transfer_trials.thisN,transfer_trials.thisIndex,estimation_trials.thisRepN,estimation_trials.thisTrialN,estimation_trials.thisN,estimation_trials.thisIndex,thisRow.t,notes,text_0.started,text0.started,text0_key_resp.started,text_0.stopped,text0_key_resp.keys,text0_key_resp.rt,text0_key_resp.duration,fixation_training.started,fixation0.started,fixation0.stopped,fixation_training.stopped,main_training.started,left_image_0.started,right_image_0.started,key_resp_0.started,polygon_0.started,left_learning_reward_0.started,right_learning_reward_0.started,key_resp_0.stopped,polygon_0.stopped,left_learning_reward_0.stopped,right_learning_reward_0.stopped,left_image_0.stopped,right_image_0.stopped,main_training.stopped,key_resp_0.keys,key_resp_0.rt,key_resp_0.duration,text_1.started,text1.started,text1_key_resp.started,text_1.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,main_learning.started,left_image.started,right_image.started,key_resp.started,reward_C,reward_A2,gain_reward,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,main_learning.stopped,key_resp.keys,key_resp.rt,key_resp.duration,reward_B,reward_A1,text_2.started,text2.started,text2_key_resp.started,text_2.stopped,text2_key_resp.keys,text2_key_resp.rt,text2_key_resp.duration,fixation_transfer.started,fixation2.started,fixation2.stopped,fixation_transfer.stopped,main_transfer.started,left_image_2.started,right_image_2.started,key_resp_2.started,polygon_2.started,left_image_2.stopped,right_image_2.stopped,key_resp_2.stopped,polygon_2.stopped,main_transfer.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,slider_transfer.started,slider_trns.started,mouse_trns.started,slider_transfer.stopped,slider_trns.response,slider_trns.rt,mouse_trns.x,mouse_trns.y,mouse_trns.leftButton,mouse_trns.midButton,mouse_trns.rightButton,mouse_trns.time,text_3.started,text3.started,text3_key_resp.started,text_3.stopped,text3_key_resp.keys,text3_key_resp.rt,text3_key_resp.duration,fixation_estimation.started,fixation3.started,fixation3.stopped,fixation_estimation.stopped,main_estimation.started,image_3.started,slider_estm.started,mouse_estm.started,main_estimation.stopped,slider_estm.response,slider_estm.rt,mouse_estm.x,mouse_estm.y,mouse_estm.leftButton,mouse_estm.midButton,mouse_estm.rightButton,mouse_estm.time,show_reward.started,text4.started,totalRewardText.started,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.0036602000473067164,0.00913110002875328,0.00913110002875328,0.5045057999668643,space,0.4803560000145808,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875415,001,1,2024-05-28_14h06.11.943,article1,2024.1.4,None,2024-05-28 14h06.16.796387 +0330,
0,0,0,0,,,,,,,,,,,,,0.5147919000592083,,,,,,,,,0.5056649000616744,0.5147919000592083,1.6118588000535965,1.4991800000425428,1.4992721000453457,1.6118588000535965,1.6118588000535965,1.6118588000535965,5.515463700052351,5.515463700052351,5.515463700052351,5.615672199986875,6.515651199966669,6.515651199966669,6.515651199966669,6.614220199990086,6.614220199990086,7.504700400051661,right,0.39036710001528263,0.0772484999615699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875415,001,1,2024-05-28_14h06.11.943,article1,2024.1.4,None,2024-05-28 14h06.16.796387 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5053689000196755,7.51860619999934,7.51860619999934,13.081986600067466,space,5.555249099968933,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875415,001,1,2024-05-28_14h06.11.943,article1,2024.1.4,None,2024-05-28 14h06.16.796387 +0330,
,,,,0,0,0,0,,,,,,,,,13.098072100081481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.082728800014593,13.098072100081481,14.148315300000831,14.082698400015943,14.082762400037609,14.148315300000831,14.148315300000831,14.148315300000831,50,69,50,18.083286000066437,18.083286000066437,18.083286000066437,18.14851389999967,19.09826030000113,19.09826030000113,19.09826030000113,19.14799840003252,19.14799840003252,20.100922200013883,left,1.355249400017783,0.04384099994786084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875415,001,1,2024-05-28_14h06.11.943,article1,2024.1.4,None,2024-05-28 14h06.16.796387 +0330,
,,,,1,0,1,0,,,,,,,,,20.4648470999673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.449991300003603,20.4648470999673,21.501749900053255,21.449039799976163,21.449076700024307,21.501749900053255,21.501749900053255,21.501749900053255,,,76,25.465038800030015,25.465038800030015,25.465038800030015,25.5150077000726,26.46500239998568,26.46500239998568,26.46500239998568,26.514452900039032,26.514452900039032,27.450534000061452,right,0.37860890000592917,0.08418190001975745,41,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875415,001,1,2024-05-28_14h06.11.943,article1,2024.1.4,None,2024-05-28 14h06.16.796387 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.798652600031346,27.814389100065455,27.814389100065455,28.498777800006792,space,0.6793436999432743,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875415,001,1,2024-05-28_14h06.11.943,article1,2024.1.4,None,2024-05-28 14h06.16.796387 +0330,
,,,,,,,,0,0,0,0,,,,,28.514130900031887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.499580800067633,28.514130900031887,29.568780299974605,29.49937770003453,29.49941230006516,29.568780299974605,29.568780299974605,29.568780299974605,31.026465700007975,32.03296099998988,32.03296099998988,32.03296099998988,33.064958399976604,33.03635190008208,left,0.44190529990009964,None,33.0372517000651,33.064958399976604,0.007741399924270809,33.91658479999751,70.0,0.8565923999994993,[0.18425925925925926],[0.0],[1],[0],[0],[0.7603140999563038],,,,,,,,,,,,,,,,,,,,,,,,,,,,875415,001,1,2024-05-28_14h06.11.943,article1,2024.1.4,None,2024-05-28 14h06.16.796387 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.9171261000447,33.930565100046806,33.930565100046806,35.2825703000417,space,1.33560720004607,None,,,,,,,,,,,,,,,,,,,,,875415,001,1,2024-05-28_14h06.11.943,article1,2024.1.4,None,2024-05-28 14h06.16.796387 +0330,
,,,,,,,,,,,,0,0,0,0,35.29752020002343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.28371250000782,35.29752020002343,36.33451670000795,36.28122740006074,36.28124220005702,36.33451670000795,36.33451670000795,0.033342900103889406,37.04965419997461,65.0,0.7175412999931723,[0.1574074074074074],[-0.19074074074074074],[1],[0],[0],[0.5800402000313625],,,,875415,001,1,2024-05-28_14h06.11.943,article1,2024.1.4,None,2024-05-28 14h06.16.796387 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.05006310006138,37.063931700075045,37.063931700075045,,,,,,,,,
