training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,transfer_trials.thisRepN,transfer_trials.thisTrialN,transfer_trials.thisN,transfer_trials.thisIndex,estimation_trials.thisRepN,estimation_trials.thisTrialN,estimation_trials.thisN,estimation_trials.thisIndex,thisRow.t,notes,text_0.started,text0.started,text0_key_resp.started,text_0.stopped,text0_key_resp.keys,text0_key_resp.rt,text0_key_resp.duration,fixation_training.started,fixation0.started,fixation0.stopped,fixation_training.stopped,main_training.started,left_image_0.started,right_image_0.started,key_resp_0.started,polygon_0.started,left_learning_reward_0.started,right_learning_reward_0.started,key_resp_0.stopped,polygon_0.stopped,left_learning_reward_0.stopped,right_learning_reward_0.stopped,left_image_0.stopped,right_image_0.stopped,text_no_resp_0.started,text_no_resp_0.stopped,main_training.stopped,key_resp_0.keys,text_1.started,text1.started,text1_key_resp.started,text_1.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,main_learning.started,left_image.started,right_image.started,key_resp.started,reward_B,reward_A1,gain_reward,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,main_learning.stopped,key_resp.keys,key_resp.rt,key_resp.duration,text_2.started,text2.started,text2_key_resp.started,text_2.stopped,text2_key_resp.keys,text2_key_resp.rt,text2_key_resp.duration,fixation_transfer.started,fixation2.started,fixation_transfer.stopped,main_transfer.started,left_image_2.started,right_image_2.started,key_resp_2.started,polygon_2.started,left_image_2.stopped,right_image_2.stopped,key_resp_2.stopped,polygon_2.stopped,main_transfer.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,slider_transfer.started,slider_trns.started,mouse_trns.started,slider_transfer.stopped,slider_trns.response,slider_trns.rt,mouse_trns.x,mouse_trns.y,mouse_trns.leftButton,mouse_trns.midButton,mouse_trns.rightButton,mouse_trns.time,text_3.started,text3.started,text3_key_resp.started,text_3.stopped,text3_key_resp.keys,text3_key_resp.rt,text3_key_resp.duration,fixation_estimation.started,fixation3.started,fixation3.stopped,fixation_estimation.stopped,main_estimation.started,image_3.started,slider_estm.started,mouse_estm.started,main_estimation.stopped,slider_estm.response,slider_estm.rt,mouse_estm.x,mouse_estm.y,mouse_estm.leftButton,mouse_estm.midButton,mouse_estm.rightButton,mouse_estm.time,show_reward.started,text4.started,totalRewardText.started,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.007033000001683831,0.023567300057038665,0.023567300057038665,4.579945100005716,space,4.5397251000395045,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,879102,001,1,2024-05-28_14h44.32.849,article1,2024.1.4,None,2024-05-28 14h44.38.504160 +0330,
0,0,0,0,,,,,,,,,,,,,4.590697800042108,,,,,,,,,4.5817029000027105,4.590697800042108,5.726140900049359,5.576648400048725,5.576778200105764,5.726140900049359,5.726140900049359,5.726140900049359,9.591014000005089,9.591014000005089,9.591014000005089,9.740620100055821,10.59161280002445,10.59161280002445,10.59161280002445,10.741315000108443,10.741315000108443,11.608609300106764,12.62417110009119,12.61185840005055,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,879102,001,1,2024-05-28_14h44.32.849,article1,2024.1.4,None,2024-05-28 14h44.38.504160 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.615683000069112,12.62417110009119,12.62417110009119,15.10906370007433,space,2.4707864999072626,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,879102,001,1,2024-05-28_14h44.32.849,article1,2024.1.4,None,2024-05-28 14h44.38.504160 +0330,
,,,,0,0,0,0,,,,,,,,,15.12420820002444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.109608400030993,15.12420820002444,16.2372901000781,16.109759100014344,16.10980100010056,16.2372901000781,16.2372901000781,16.2372901000781,61,54,54,20.123917200020514,20.123917200020514,20.123917200020514,20.24083690007683,21.123963200021535,21.123963200021535,21.123963200021535,21.242049899999984,21.242049899999984,22.128954300074838,right,0.8812315000686795,0.0552091000135988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,879102,001,1,2024-05-28_14h44.32.849,article1,2024.1.4,None,2024-05-28 14h44.38.504160 +0330,
,,,,1,0,1,0,,,,,,,,,22.50783830008004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.491981900064275,22.50783830008004,23.544908400042914,23.492262400104664,23.492288000066765,23.544908400042914,23.544908400042914,23.544908400042914,82,85,82,27.491318100015633,27.491318100015633,27.491318100015633,27.557932800031267,28.490898600080982,28.490898600080982,28.490898600080982,28.55825890006963,28.55825890006963,29.50909240008332,left,0.2138408999890089,0.05953619990032166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,879102,001,1,2024-05-28_14h44.32.849,article1,2024.1.4,None,2024-05-28 14h44.38.504160 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.860414200113155,29.87412100005895,29.87412100005895,31.640431000036187,space,1.7572998999385163,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,879102,001,1,2024-05-28_14h44.32.849,article1,2024.1.4,None,2024-05-28 14h44.38.504160 +0330,
,,,,,,,,0,0,0,0,,,,,31.657293200027198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.64091030007694,31.657293200027198,32.64088940003421,32.64101710007526,32.74162210000213,32.74162210000213,32.74162210000213,34.19771150010638,35.20747350004967,35.20747350004967,35.20747350004967,36.23993000003975,36.20899620000273,right,0.4414354000473395,None,36.20971920003649,36.23993000003975,0.006690199952572584,37.042055100086145,70.0,0.8094302000245079,[0.18055555555555555],[-0.04259259259259259],[1],[0],[0],[0.7088791000423953],,,,,,,,,,,,,,,,,,,,,,,,,,,,879102,001,1,2024-05-28_14h44.32.849,article1,2024.1.4,None,2024-05-28 14h44.38.504160 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.042488700011745,37.0563664000947,37.0563664000947,38.54107270005625,space,1.4734819999430329,None,,,,,,,,,,,,,,,,,,,,,879102,001,1,2024-05-28_14h44.32.849,article1,2024.1.4,None,2024-05-28 14h44.38.504160 +0330,
,,,,,,,,,,,,0,0,0,0,38.55694740009494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.54162030003499,38.55694740009494,39.59841299999971,39.54163770005107,39.54166080011055,39.59841299999971,39.59841299999971,0.028201700071804225,41.85756790009327,65.0,2.2587682000594214,[0.14722222222222223],[-0.19444444444444445],[1],[0],[0],[2.152737500029616],,,,879102,001,1,2024-05-28_14h44.32.849,article1,2024.1.4,None,2024-05-28 14h44.38.504160 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.85807790001854,41.87549480004236,41.87549480004236,,,,,,,,,
