learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,polygon.started,key_resp.stopped,polygon.stopped,learning_complete.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.0037215000484138727,0.02481560001615435,0.02481560001615435,0.6009276000550017,space,0.5589669999899343,None,,,,,,,,,,,,,,,933032,001,2024-05-27_00h11.13.020,article1,2024.1.4,None,2024-05-27 00h11.22.927572 +0330,
0,0,0,0,0.614629999967292,,,,,,,,,0.6048582999501377,0.614629999967292,1.609691199962981,1.6097178000491112,1.7414726000279188,1.7414726000279188,1.7414726000279188,5.608210899983533,5.741911199991591,6.6097579000052065,6.610063300002366,right,0.39150080003309995,0.11184699996374547,933032,001,2024-05-27_00h11.13.020,article1,2024.1.4,None,2024-05-27 00h11.22.927572 +0330,
1,0,1,0,6.975227399962023,,,,,,,,,6.960915599949658,6.975227399962023,7.609757700003684,7.6097749000182375,7.666143300011754,7.666143300011754,7.666143300011754,11.609415499959141,11.674808999989182,,12.609514600015245,None,,,933032,001,2024-05-27_00h11.13.020,article1,2024.1.4,None,2024-05-27 00h11.22.927572 +0330,
2,0,2,0,12.975134399952367,,,,,,,,,12.961094600032084,12.975134399952367,13.608241899986751,13.608252299949527,13.662827900028788,13.662827900028788,13.662827900028788,17.608837299980223,17.676604200038128,18.607877100002952,18.607989400043152,right,3.2554198999423534,0.10623689997009933,933032,001,2024-05-27_00h11.13.020,article1,2024.1.4,None,2024-05-27 00h11.22.927572 +0330,
3,0,3,0,18.975047399988398,,,,,,,,,18.95900230004918,18.975047399988398,19.609423900023103,19.609440400032327,19.66140910005197,19.66140910005197,19.66140910005197,23.607900099945255,23.67556819994934,,24.608443000004627,None,,,933032,001,2024-05-27_00h11.13.020,article1,2024.1.4,None,2024-05-27 00h11.22.927572 +0330,
4,0,4,0,24.973788399947807,,,,,,,,,24.9577046999475,24.973788399947807,25.608800300047733,25.608816500054672,25.66555989999324,25.66555989999324,25.66555989999324,29.609157099970616,29.675618499983102,,30.6098331999965,None,,,933032,001,2024-05-27_00h11.13.020,article1,2024.1.4,None,2024-05-27 00h11.22.927572 +0330,
5,0,5,0,30.975951500004157,,,,,,,,,30.960029099951498,30.975951500004157,31.608305700006895,31.608325600042008,31.662002100027166,31.662002100027166,31.662002100027166,35.60746910003945,35.6751721999608,36.60784319997765,36.60800919996109,left,0.2452649000333622,0.11716509994585067,933032,001,2024-05-27_00h11.13.020,article1,2024.1.4,None,2024-05-27 00h11.22.927572 +0330,
6,0,6,0,36.97430070000701,,,,,,,,,36.95885689998977,36.97430070000701,37.60886459995527,37.60888099996373,37.66289829998277,37.66289829998277,37.66289829998277,41.60853730002418,41.67454469995573,,42.609031299944036,None,,,933032,001,2024-05-27_00h11.13.020,article1,2024.1.4,None,2024-05-27 00h11.22.927572 +0330,
7,0,7,0,42.975848100031726,,,,,,,,,42.95970450004097,42.975848100031726,43.60845269996207,43.60847139998805,43.6609362999443,43.6609362999443,43.6609362999443,47.60944399994332,47.67470540001523,,48.607665900024585,right,2.4216506000375375,0.07114989997353405,933032,001,2024-05-27_00h11.13.020,article1,2024.1.4,None,2024-05-27 00h11.22.927572 +0330,
8,0,8,0,48.974677399965,,,,,,,,,48.957903699949384,48.974677399965,49.60900010005571,49.60902039997745,49.659314200049266,49.659314200049266,49.659314200049266,53.60829849995207,53.67407629999798,,54.60844620002899,None,,,933032,001,2024-05-27_00h11.13.020,article1,2024.1.4,None,2024-05-27 00h11.22.927572 +0330,
,,,,54.97436089999974,,,,,,,,,54.958594399970025,54.97436089999974,55.60793689999264,55.607958500040695,55.66206030000467,55.66206030000467,55.66206030000467,,,,,,,,,,,,,,,
