training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,transfer_trials.thisRepN,transfer_trials.thisTrialN,transfer_trials.thisN,transfer_trials.thisIndex,estimation_trials.thisRepN,estimation_trials.thisTrialN,estimation_trials.thisN,estimation_trials.thisIndex,thisRow.t,notes,text_0.started,text0.started,text0_key_resp.started,text_0.stopped,text0_key_resp.keys,text0_key_resp.rt,text0_key_resp.duration,fixation_training.started,fixation0.started,fixation_training.stopped,main_training.started,left_image_0.started,right_image_0.started,key_resp_0.started,polygon_0.started,left_learning_reward_0.started,right_learning_reward_0.started,key_resp_0.stopped,polygon_0.stopped,left_learning_reward_0.stopped,right_learning_reward_0.stopped,left_image_0.stopped,right_image_0.stopped,main_training.stopped,key_resp_0.keys,key_resp_0.rt,key_resp_0.duration,text_1.started,text1.started,text1_key_resp.started,text_1.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,main_learning.started,left_image.started,right_image.started,key_resp.started,reward_B,reward_A1,gain_reward,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,main_learning.stopped,key_resp.keys,key_resp.rt,key_resp.duration,reward_A2,reward_C,text_no_resp.started,text_no_resp.stopped,text_2.started,text2.started,text2_key_resp.started,text_2.stopped,text2_key_resp.keys,text2_key_resp.rt,text2_key_resp.duration,fixation_transfer.started,fixation2.started,fixation2.stopped,fixation_transfer.stopped,main_transfer.started,left_image_2.started,right_image_2.started,key_resp_2.started,polygon_2.started,left_image_2.stopped,right_image_2.stopped,key_resp_2.stopped,polygon_2.stopped,main_transfer.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,slider_transfer.started,slider_trns.started,mouse_trns.started,slider_transfer.stopped,slider_trns.response,slider_trns.rt,mouse_trns.x,mouse_trns.y,mouse_trns.leftButton,mouse_trns.midButton,mouse_trns.rightButton,mouse_trns.time,text_3.started,text3.started,text3_key_resp.started,text_3.stopped,text3_key_resp.keys,text3_key_resp.rt,text3_key_resp.duration,fixation_estimation.started,fixation3.started,fixation_estimation.stopped,main_estimation.started,image_3.started,slider_estm.started,mouse_estm.started,main_estimation.stopped,slider_estm.response,slider_estm.rt,mouse_estm.x,mouse_estm.y,mouse_estm.leftButton,mouse_estm.midButton,mouse_estm.rightButton,mouse_estm.time,show_reward.started,text4.started,totalRewardText.started,totalRewardText.stopped,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.05866529990453273,0.08803589991293848,0.08803589991293848,2.986032599932514,space,2.8829552000388503,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998557,001,1,2024-05-28_13h34.32.038,article1,2024.1.4,None,2024-05-28 13h34.40.847850 +0330,
0,0,0,0,,,,,,,,,,,,,3.0028796999249607,,,,,,,,,2.9881259999237955,3.0028796999249607,3.99046699993778,3.9904960999265313,4.213053399929777,4.213053399929777,4.213053399929777,8.001138999941759,8.001138999941759,8.001138999941759,8.251792199909687,9.001585399964824,9.001585399964824,9.001585399964824,9.218397799995728,9.218397799995728,9.97576860000845,right,1.8613342000171542,0.0710757999913767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998557,001,1,2024-05-28_13h34.32.038,article1,2024.1.4,None,2024-05-28 13h34.40.847850 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.977404600009322,9.985020999913104,9.985020999913104,14.473669499973767,space,4.480800200020894,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998557,001,1,2024-05-28_13h34.32.038,article1,2024.1.4,None,2024-05-28 13h34.40.847850 +0330,
,,,,0,0,0,0,,,,,,,,,14.485061999992467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.474457599921152,14.485061999992467,15.672274100012146,15.474629299947992,15.47465959994588,15.672274100012146,15.672274100012146,15.672274100012146,40,94,94,19.484337199945003,19.484337199945003,19.484337199945003,19.71698769996874,20.485963199986145,20.485963199986145,20.485963199986145,20.685130500001833,20.685130500001833,21.479392200009897,right,0.7295814000535756,0.17180290003307164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998557,001,1,2024-05-28_13h34.32.038,article1,2024.1.4,None,2024-05-28 13h34.40.847850 +0330,
,,,,1,0,1,0,,,,,,,,,21.85166509996634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.84104699990712,21.85166509996634,22.987788899918087,22.84057679993566,22.840660399990156,22.987788899918087,22.987788899918087,22.987788899918087,,,,26.85162719991058,26.85162719991058,26.85162719991058,27.001704499940388,27.852537799975835,27.852537799975835,27.852537799975835,28.002479999908246,28.002479999908246,29.87778709991835,None,,,77,80,28.86760419991333,29.899561299942434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998557,001,1,2024-05-28_13h34.32.038,article1,2024.1.4,None,2024-05-28 13h34.40.847850 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.239879600005224,30.25181419996079,30.25181419996079,30.80828329990618,space,0.5547256000572816,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998557,001,1,2024-05-28_13h34.32.038,article1,2024.1.4,None,2024-05-28 13h34.40.847850 +0330,
,,,,,,,,0,0,0,0,,,,,30.817915199906565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.809196799993515,30.817915199906565,31.921604999923147,31.80579139990732,31.805827599950135,31.921604999923147,31.921604999923147,31.921604999923147,34.51711219991557,35.53381029993761,35.53381029993761,35.53381029993761,36.6331922999816,36.54086199996527,right,1.5846158999484032,None,36.54199900000822,36.6331922999816,0.010172099922783673,38.75786309991963,60.0,2.171288099954836,[0.10666666666666667],[-0.0033333333333333335],[1],[0],[0],[2.063547799945809],,,,,,,,,,,,,,,,,,,,,,,,,,,,998557,001,1,2024-05-28_13h34.32.038,article1,2024.1.4,None,2024-05-28 13h34.40.847850 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.75899909995496,38.768407900002785,38.768407900002785,39.97181059990544,space,1.1898772000567988,None,,,,,,,,,,,,,,,,,,,,,998557,001,1,2024-05-28_13h34.32.038,article1,2024.1.4,None,2024-05-28 13h34.40.847850 +0330,
,,,,,,,,,,,,0,0,0,0,39.98388499999419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.97251499991398,39.98388499999419,40.973126599914394,40.97315219999291,41.0656284999568,41.0656284999568,0.04796779993921518,42.19296889996622,60.0,1.1303641999838874,[0.10833333333333334],[-0.175],[1],[0],[0],[0.9633743999293074],,,,,998557,001,1,2024-05-28_13h34.32.038,article1,2024.1.4,None,2024-05-28 13h34.40.847850 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.19401249999646,42.23386489995755,42.23386489995755,43.23430129990447,,,,,,,,,
