dollar,probability,image_name,selt_trials.thisRepN,selt_trials.thisTrialN,selt_trials.thisN,selt_trials.thisIndex,observe_trials.thisRepN,observe_trials.thisTrialN,observe_trials.thisN,observe_trials.thisIndex,predict_trials.thisRepN,predict_trials.thisTrialN,predict_trials.thisN,predict_trials.thisIndex,thisRow.t,notes,text_1.started,text1.started,text1_key_resp.started,text_1.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,intertrial.started,fixation1.started,fixation1.stopped,intertrial.stopped,self_trial.started,image1.started,textbox_left.started,textbox_right.started,key_resp.started,polygon.started,key_resp.stopped,self_trial.stopped,image_name,textbox_left,textbox_right,selection,key_resp.keys,key_resp.rt,key_resp.duration,text_2.started,text2.started,text2_key_resp.started,text_2.stopped,text2_key_resp.keys,text2_key_resp.rt,text2_key_resp.duration,observe_trial.started,image2.started,textbox_left_2.started,textbox_right_2.started,polygon_2.started,observe_trial.stopped,image_name_obs,textbox_left_obs,textbox_right_obs,selection_obs,third_click.started,text3.started,text3_key_resp.started,third_click.stopped,text3_key_resp.keys,text3_key_resp.rt,text3_key_resp.duration,text_3.started,text4.started,text4_key_resp.started,text_3.stopped,text4_key_resp.keys,text4_key_resp.rt,text4_key_resp.duration,predict_trial.started,image3.started,textbox_left_3.started,textbox_right_3.started,key_resp_2.started,polygon_3.started,key_resp_2.stopped,predict_trial.stopped,image_name_pred,textbox_left_pred,textbox_right_pred,selection_pred,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,aversion probability,seek probability,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.0025368999922648072,0.009548400063067675,0.009548400063067675,0.7608196000801399,space,0.7341593999881297,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270803,001,0.3,0.7,2024-05-29_05h36.15.973,article2,2024.1.4,None,2024-05-29 05h36.25.278439 +0330,
12,0.4,2.png,0,0,0,0,,,,,,,,,0.7816903999773785,,,,,,,,,0.777879900066182,0.7816903999773785,3.882853600080125,3.770236000069417,3.7702609000261873,3.882853600080125,3.882853600080125,3.882853600080125,3.882853600080125,7.805097499978729,7.913037999998778,8.785851799999364,2.png,Accept,Reject,Accept,left,2.845527800032869,0.11496460007037967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270803,001,0.3,0.7,2024-05-29_05h36.15.973,article2,2024.1.4,None,2024-05-29 05h36.25.278439 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.788911400013603,8.791695300024003,8.791695300024003,18.804441699991003,space,10.000828100019135,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270803,001,0.3,0.7,2024-05-29_05h36.15.973,article2,2024.1.4,None,2024-05-29 05h36.25.278439 +0330,
50,0.57,5.png,,,,,0,0,0,3,,,,,18.8204059000127,,,,,,,,,18.817472300026566,18.8204059000127,21.8783733000746,21.818888499983586,,,,,,,,,5.png,,,,,,,,,,,,,,21.81892670004163,21.8783733000746,21.8783733000746,21.8783733000746,25.863488200004213,26.831080500036478,5.png,Accept,Reject,Accept,26.831117799971253,26.83531930006575,26.83531930006575,28.020759199978784,space,1.1798452999209985,None,,,,,,,,,,,,,,,,,,,,,,,270803,001,0.3,0.7,2024-05-29_05h36.15.973,article2,2024.1.4,None,2024-05-29 05h36.25.278439 +0330,
27,0.5,3.png,,,,,0,1,1,1,,,,,28.03487249999307,,,,,,,,,28.021643900079653,28.03487249999307,34.08283690002281,34.01961580000352,,,,,,,,,3.png,,,,,,,,,,,,,,34.01967559999321,34.08283690002281,34.08283690002281,34.08283690002281,38.03569950000383,39.041297400020994,3.png,Reject,Accept,Accept,39.041318600066006,39.04391020000912,39.04391020000912,40.56967260001693,space,1.522252200054936,None,,,,,,,,,,,,,,,,,,,,,,,270803,001,0.3,0.7,2024-05-29_05h36.15.973,article2,2024.1.4,None,2024-05-29 05h36.25.278439 +0330,
32,0.5,6.png,,,,,0,2,2,4,,,,,40.58477590000257,,,,,,,,,40.5702517000027,40.58477590000257,44.610299800056964,44.568676199996844,,,,,,,,,6.png,,,,,,,,,,,,,,44.56870780000463,44.610299800056964,44.610299800056964,44.610299800056964,48.589095500065014,49.58852830005344,6.png,Accept,Reject,Accept,49.58855169999879,49.59114030003548,49.59114030003548,50.303668400039896,space,0.6984767999965698,None,,,,,,,,,,,,,,,,,,,,,,,270803,001,0.3,0.7,2024-05-29_05h36.15.973,article2,2024.1.4,None,2024-05-29 05h36.25.278439 +0330,
12,0.4,2.png,,,,,0,3,3,0,,,,,50.31801849999465,,,,,,,,,50.30451589997392,50.31801849999465,56.34660420008004,56.302504800027236,,,,,,,,,2.png,,,,,,,,,,,,,,56.30254960001912,56.34660420008004,56.34660420008004,56.34660420008004,60.351819599978626,61.31848610006273,2.png,Accept,Reject,Accept,61.318515400053,61.321194200078025,61.321194200078025,61.819409999996424,space,0.49089359992649406,None,,,,,,,,,,,,,,,,,,,,,,,270803,001,0.3,0.7,2024-05-29_05h36.15.973,article2,2024.1.4,None,2024-05-29 05h36.25.278439 +0330,
20,0.61,4.png,,,,,0,4,4,2,,,,,61.83422730001621,,,,,,,,,61.82016000000294,61.83422730001621,66.89066120004281,66.8189762000693,,,,,,,,,4.png,,,,,,,,,,,,,,66.81901410000864,66.89066120004281,66.89066120004281,66.89066120004281,70.85563380003441,71.84209040005226,4.png,Reject,Accept,Reject,71.84212270006537,71.84480840002652,71.84480840002652,72.86927650007419,space,1.0143246999941766,None,,,,,,,,,,,,,,,,,,,,,,,270803,001,0.3,0.7,2024-05-29_05h36.15.973,article2,2024.1.4,None,2024-05-29 05h36.25.278439 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.86990290007088,72.88420119998045,72.88420119998045,111.58520870003849,space,38.689926099963486,None,,,,,,,,,,,,,,,,270803,001,0.3,0.7,2024-05-29_05h36.15.973,article2,2024.1.4,None,2024-05-29 05h36.25.278439 +0330,
12,0.4,2.png,,,,,,,,,0,0,0,0,111.60103760007769,,,,,,,,,111.59783179999795,111.60103760007769,113.63759509997908,113.58475699997507,,,,,,,,,2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.58479230001103,113.63759509997908,113.63759509997908,113.63759509997908,113.63759509997908,117.6397204999812,117.67573310004082,118.60326540004462,2.png,Accept,Reject,Accept,left,2.8441308999899775,0.18738509994000196,270803,001,0.3,0.7,2024-05-29_05h36.15.973,article2,2024.1.4,None,2024-05-29 05h36.25.278439 +0330,
50,0.57,5.png,,,,,,,,,0,1,1,3,118.60594160004985,,,,,,,,,118.60368659999222,118.60594160004985,120.64301290002186,120.60079990001395,,,,,,,,,5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.60083800007124,120.64301290002186,120.64301290002186,120.64301290002186,120.64301290002186,124.63275680004153,124.66645230003633,125.61640970001463,5.png,Accept,Reject,Reject,right,2.199036700068973,0.20828240003902465,270803,001,0.3,0.7,2024-05-29_05h36.15.973,article2,2024.1.4,None,2024-05-29 05h36.25.278439 +0330,
