dollar,probability,image_name,selt_trials.thisRepN,selt_trials.thisTrialN,selt_trials.thisN,selt_trials.thisIndex,observe_trials_averse.thisRepN,observe_trials_averse.thisTrialN,observe_trials_averse.thisN,observe_trials_averse.thisIndex,predict_trials.thisRepN,predict_trials.thisTrialN,predict_trials.thisN,predict_trials.thisIndex,observe_trials_seek.thisRepN,observe_trials_seek.thisTrialN,observe_trials_seek.thisN,observe_trials_seek.thisIndex,thisRow.t,notes,text_1.started,text1.started,text1_key_resp.started,text_1.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,intertrial.started,fixation1.started,fixation1.stopped,intertrial.stopped,self_trial.started,image1.started,textbox_left.started,textbox_right.started,key_resp.started,polygon.started,key_resp.stopped,self_trial.stopped,image_name,textbox_left,textbox_right,selection,key_resp.keys,key_resp.rt,key_resp.duration,text_2.started,text2.started,text2_key_resp.started,text_2.stopped,text2_key_resp.keys,text2_key_resp.rt,text2_key_resp.duration,observe_trial_averse.started,image2.started,textbox_left_2.started,textbox_right_2.started,polygon_2.started,observe_trial_averse.stopped,image_name_obs,textbox_left_obs,textbox_right_obs,selection_obs,third_click.started,text3.started,text3_key_resp.started,third_click.stopped,text3_key_resp.keys,text3_key_resp.rt,text3_key_resp.duration,text_3.started,text4.started,text4_key_resp.started,text_3.stopped,text4_key_resp.keys,text4_key_resp.rt,text4_key_resp.duration,predict_trial.started,image3.started,textbox_left_3.started,textbox_right_3.started,key_resp_2.started,polygon_3.started,key_resp_2.stopped,predict_trial.stopped,image_name_pred,textbox_left_pred,textbox_right_pred,selection_pred,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,observe_trial_seek.started,image4.started,textbox_left_4.started,textbox_right_4.started,polygon_4.started,observe_trial_seek.stopped,image_name_obs_2,textbox_left_obs_2,textbox_right_obs_2,selection_obs_2,participant,session,seeker observee,averse observee,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,0.00206540001090616,0.007980399997904897,0.007980399997904897,12.244517599930987,space,12.16629640001338,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458630,001,0.7,0.3,2024-05-29_06h50.11.397,article2,2024.1.4,None,2024-05-29 06h50.16.920203 +0330,
12,0.4,2.png,0,0,0,0,,,,,,,,,,,,,12.259340499993414,,,,,,,,,12.25598459993489,12.259340499993414,15.355842299992219,15.243872900027782,15.243902300018817,15.355842299992219,15.355842299992219,15.355842299992219,15.355842299992219,19.29007989994716,19.399301699944772,20.279190700035542,2.png,Reject,Accept,Accept,right,3.0619327999884263,0.10591030004434288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458630,001,0.7,0.3,2024-05-29_06h50.11.397,article2,2024.1.4,None,2024-05-29 06h50.16.920203 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.283052599988878,20.28616429993417,20.28616429993417,21.24520060000941,space,0.9514456000179052,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458630,001,0.7,0.3,2024-05-29_06h50.11.397,article2,2024.1.4,None,2024-05-29 06h50.16.920203 +0330,
32,0.5,6.png,,,,,0,0,0,4,,,,,,,,,21.26250740000978,,,,,,,,,21.25952600000892,21.26250740000978,23.312071899999864,23.260973699972965,,,,,,,,,6.png,,,,,,,,,,,,,,23.26105909992475,23.312071899999864,23.312071899999864,23.312071899999864,27.30379189993255,28.27284500002861,6.png,Accept,Reject,Accept,28.27286789997015,28.27539920003619,28.27539920003619,29.827973900013603,space,1.5371850000228733,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458630,001,0.7,0.3,2024-05-29_06h50.11.397,article2,2024.1.4,None,2024-05-29 06h50.16.920203 +0330,
20,0.61,4.png,,,,,0,1,1,2,,,,,,,,,29.84251149999909,,,,,,,,,29.82909280003514,29.84251149999909,32.88091509998776,32.82617170002777,,,,,,,,,4.png,,,,,,,,,,,,,,32.82620000001043,32.88091509998776,32.88091509998776,32.88091509998776,36.85135130002163,37.85118919995148,4.png,Accept,Reject,Accept,37.85121440002695,37.85322579997592,37.85322579997592,38.67701310000848,space,0.8071749999653548,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458630,001,0.7,0.3,2024-05-29_06h50.11.397,article2,2024.1.4,None,2024-05-29 06h50.16.920203 +0330,
12,0.4,2.png,,,,,0,2,2,0,,,,,,,,,38.69221949996427,,,,,,,,,38.67750949994661,38.69221949996427,40.722468100022525,40.6766846999526,,,,,,,,,2.png,,,,,,,,,,,,,,40.67672180000227,40.722468100022525,40.722468100022525,40.722468100022525,44.73074070003349,45.68981290003285,2.png,Reject,Accept,Reject,45.68983779998962,45.69313989998773,45.69313989998773,46.393653800012544,space,0.6938864000840113,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458630,001,0.7,0.3,2024-05-29_06h50.11.397,article2,2024.1.4,None,2024-05-29 06h50.16.920203 +0330,
27,0.5,3.png,,,,,0,3,3,1,,,,,,,,,46.408917799941264,,,,,,,,,46.39416689996142,46.408917799941264,48.44562519993633,48.39396160002798,,,,,,,,,3.png,,,,,,,,,,,,,,48.39401199994609,48.44562519993633,48.44562519993633,48.44562519993633,52.41264009999577,53.41737109993119,3.png,Accept,Reject,Accept,53.417394699994475,53.419800400035456,53.419800400035456,54.143845599959604,space,0.7136193999322131,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458630,001,0.7,0.3,2024-05-29_06h50.11.397,article2,2024.1.4,None,2024-05-29 06h50.16.920203 +0330,
50,0.57,5.png,,,,,0,4,4,3,,,,,,,,,54.15876669995487,,,,,,,,,54.144465400022455,54.15876669995487,59.18927939992864,59.14271269994788,,,,,,,,,5.png,,,,,,,,,,,,,,59.142753100022674,59.18927939992864,59.18927939992864,59.18927939992864,63.177573399967514,64.14764959993772,5.png,Accept,Reject,Accept,64.1476735000033,64.1500526999589,64.1500526999589,64.8108016999904,space,0.6479602999752387,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458630,001,0.7,0.3,2024-05-29_06h50.11.397,article2,2024.1.4,None,2024-05-29 06h50.16.920203 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.81137090001721,64.82527889998164,64.82527889998164,70.01123109995387,space,5.171303799957968,None,,,,,,,,,,,,,,,,,,,,,,,,,,458630,001,0.7,0.3,2024-05-29_06h50.11.397,article2,2024.1.4,None,2024-05-29 06h50.16.920203 +0330,
12,0.4,2.png,,,,,,,,,0,0,0,0,,,,,70.02635159995407,,,,,,,,,70.02386560000014,70.02635159995407,76.1113275999669,76.02620620001107,,,,,,,,,2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.02623129996937,76.1113275999669,76.1113275999669,76.1113275999669,76.1113275999669,80.07803989993408,80.1495860000141,81.05050070001744,2.png,Reject,Accept,Reject,left,2.2076808999991044,0.1605726999696344,,,,,,,,,,,458630,001,0.7,0.3,2024-05-29_06h50.11.397,article2,2024.1.4,None,2024-05-29 06h50.16.920203 +0330,
