dollar,probability,image_name,selt_trials.thisRepN,selt_trials.thisTrialN,selt_trials.thisN,selt_trials.thisIndex,observe_trials.thisRepN,observe_trials.thisTrialN,observe_trials.thisN,observe_trials.thisIndex,thisRow.t,notes,text_1.started,text1.started,text1_key_resp.started,text_1.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,intertrial.started,fixation1.started,fixation1.stopped,intertrial.stopped,self_trial.started,image1.started,textbox_left.started,textbox_right.started,key_resp.started,polygon.started,key_resp.stopped,self_trial.stopped,image_name,textbox_left,textbox_right,selection,key_resp.keys,key_resp.rt,key_resp.duration,text_2.started,text2.started,text2_key_resp.started,text_2.stopped,text2_key_resp.keys,text2_key_resp.rt,text2_key_resp.duration,observe_trial.started,image2.started,textbox_left_2.started,textbox_right_2.started,polygon_2.started,observe_trial.stopped,image_name_obs,textbox_left_obs,textbox_right_obs,selection_obs,participant,session,aversion probability,seek probability,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.003079300047829747,0.009091799962334335,0.009091799962334335,1.013839100021869,space,0.9907208000076935,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476982,001,0.3,0.7,2024-05-29_04h04.35.013,article2,2024.1.4,None,2024-05-29 04h04.43.109734 +0330,
12,0.4,2.png,0,0,0,0,,,,,1.0407186000375077,,,,,,,,,1.0353243999416009,1.0407186000375077,4.2073566999752074,4.040724099962972,4.0407706999685615,4.2073566999752074,4.2073566999752074,4.2073566999752074,4.2073566999752074,8.101451299968176,8.284856799989939,9.06248650001362,2.png,Reject,Accept,Reject,left,0.9836338000604883,0.07917039992753416,,,,,,,,,,,,,,,,,,476982,001,0.3,0.7,2024-05-29_04h04.35.013,article2,2024.1.4,None,2024-05-29 04h04.43.109734 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.063178800046444,9.066731999977492,9.066731999977492,12.04208279994782,space,2.9731691000051796,None,,,,,,,,,,,476982,001,0.3,0.7,2024-05-29_04h04.35.013,article2,2024.1.4,None,2024-05-29 04h04.43.109734 +0330,
18,0.89,8.png,,,,,0,0,0,6,12.064530599978752,,,,,,,,,12.06130459997803,12.064530599978752,18.20868519996293,18.057511699968018,,,,,,,,,8.png,,,,,,,,,,,,,,18.057564900023863,18.20868519996293,18.20868519996293,18.20868519996293,22.154887999990024,23.11310139996931,8.png,Reject,Accept,Accept,476982,001,0.3,0.7,2024-05-29_04h04.35.013,article2,2024.1.4,None,2024-05-29 04h04.43.109734 +0330,
27,0.5,3.png,,,,,0,1,1,1,23.116522299940698,,,,,,,,,23.11354129994288,23.116522299940698,25.171697600046173,25.107434100005776,,,,,,,,,3.png,,,,,,,,,,,,,,25.107509199995548,25.171697600046173,25.171697600046173,25.171697600046173,29.15700949996244,30.14414770004805,3.png,Reject,Accept,Accept,476982,001,0.3,0.7,2024-05-29_04h04.35.013,article2,2024.1.4,None,2024-05-29 04h04.43.109734 +0330,
27,0.7,7.png,,,,,0,2,2,5,30.14880650001578,,,,,,,,,30.1448495000368,30.14880650001578,35.23896909994073,35.140279600047506,,,,,,,,,7.png,,,,,,,,,,,,,,35.14033439999912,35.23896909994073,35.23896909994073,35.23896909994073,39.209480199962854,40.178314200020395,7.png,Reject,Accept,Accept,476982,001,0.3,0.7,2024-05-29_04h04.35.013,article2,2024.1.4,None,2024-05-29 04h04.43.109734 +0330,
20,0.61,4.png,,,,,0,3,3,2,40.18254619999789,,,,,,,,,40.17875159997493,40.18254619999789,43.236895699985325,43.173613099963404,,,,,,,,,4.png,,,,,,,,,,,,,,43.17368520004675,43.236895699985325,43.236895699985325,43.236895699985325,47.22275580000132,48.18221550004091,4.png,Reject,Accept,Accept,476982,001,0.3,0.7,2024-05-29_04h04.35.013,article2,2024.1.4,None,2024-05-29 04h04.43.109734 +0330,
50,0.57,5.png,,,,,0,4,4,3,48.185999599983916,,,,,,,,,48.182663499959745,48.185999599983916,52.245409599971026,52.1738522000378,,,,,,,,,5.png,,,,,,,,,,,,,,52.173905099974945,52.245409599971026,52.245409599971026,52.245409599971026,56.24269370001275,57.1853324000258,5.png,Reject,Accept,Accept,476982,001,0.3,0.7,2024-05-29_04h04.35.013,article2,2024.1.4,None,2024-05-29 04h04.43.109734 +0330,
12,0.4,2.png,,,,,0,5,5,0,57.18956980004441,,,,,,,,,57.18583740002941,57.18956980004441,62.259968300000764,62.18967779993545,,,,,,,,,2.png,,,,,,,,,,,,,,62.18972619995475,62.259968300000764,62.259968300000764,62.259968300000764,66.30130839999765,67.22430989996064,2.png,Accept,Reject,Accept,476982,001,0.3,0.7,2024-05-29_04h04.35.013,article2,2024.1.4,None,2024-05-29 04h04.43.109734 +0330,
32,0.5,6.png,,,,,0,6,6,4,67.22816960001364,,,,,,,,,67.22467250004411,67.22816960001364,70.32978250004817,70.22380929999053,,,,,,,,,6.png,,,,,,,,,,,,,,70.22387119999621,70.32978250004817,70.32978250004817,70.32978250004817,74.28936429996975,75.22992890002206,6.png,Reject,Accept,Accept,476982,001,0.3,0.7,2024-05-29_04h04.35.013,article2,2024.1.4,None,2024-05-29 04h04.43.109734 +0330,
