dollar,probability,image_name,selt_trials.thisRepN,selt_trials.thisTrialN,selt_trials.thisN,selt_trials.thisIndex,predict_trials_1.thisRepN,predict_trials_1.thisTrialN,predict_trials_1.thisN,predict_trials_1.thisIndex,observe_trials_averse.thisRepN,observe_trials_averse.thisTrialN,observe_trials_averse.thisN,observe_trials_averse.thisIndex,self_trials_2.thisRepN,self_trials_2.thisTrialN,self_trials_2.thisN,self_trials_2.thisIndex,predict_trials.thisRepN,predict_trials.thisTrialN,predict_trials.thisN,predict_trials.thisIndex,observe_trials_seek.thisRepN,observe_trials_seek.thisTrialN,observe_trials_seek.thisN,observe_trials_seek.thisIndex,thisRow.t,notes,text_1.started,text1.started,text1_key_resp.started,text_1.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,intertrial.started,fixation1.started,fixation1.stopped,intertrial.stopped,self_trial.started,image1.started,textbox_left.started,textbox_right.started,key_resp.started,polygon.started,key_resp.stopped,self_trial.stopped,image_name,textbox_left,textbox_right,selection,key_resp.keys,key_resp.rt,key_resp.duration,text_3.started,text4.started,text4_key_resp.started,text_3.stopped,text4_key_resp.keys,text4_key_resp.rt,text4_key_resp.duration,predict_trial.started,image3.started,textbox_left_3.started,textbox_right_3.started,key_resp_2.started,polygon_3.started,key_resp_2.stopped,predict_trial.stopped,image_name_pred,textbox_left_pred,textbox_right_pred,selection_pred,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,text_2.started,text2.started,text2_key_resp.started,text_2.stopped,text2_key_resp.keys,text2_key_resp.rt,text2_key_resp.duration,observe_trial_averse.started,image2.started,textbox_left_2.started,textbox_right_2.started,polygon_2.started,observe_trial_averse.stopped,image_name_obs,textbox_left_obs,textbox_right_obs,selection_obs,third_click.started,text3.started,text3_key_resp.started,third_click.stopped,text3_key_resp.keys,text3_key_resp.rt,text3_key_resp.duration,observe_trial_seek.started,image4.started,textbox_left_4.started,textbox_right_4.started,polygon_4.started,observe_trial_seek.stopped,image_name_obs_2,textbox_left_obs_2,textbox_right_obs_2,selection_obs_2,participant,session,seeker observee,averse observee,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004212799947708845,0.021954700001515448,0.021954700001515448,13.028904799954034,space,12.990233599906787,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,884780,001,0.7,0.3,2024-05-29_07h16.02.101,article2,2024.1.4,None,2024-05-29 07h16.08.101063 +0330,
35,0.3,1.png,0,0,0,0,,,,,,,,,,,,,,,,,,,,,13.05425289995037,,,,,,,,,13.046280999900773,13.05425289995037,17.15943849994801,17.040348600014113,17.04037539998535,17.15943849994801,17.15943849994801,17.15943849994801,17.15943849994801,21.08155319991056,21.201888300012797,22.051859900006093,1.png,Reject,Accept,Reject,left,3.147988099954091,0.14435109996702522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,884780,001,0.7,0.3,2024-05-29_07h16.02.101,article2,2024.1.4,None,2024-05-29 07h16.08.101063 +0330,
27,0.5,3.png,0,1,1,2,,,,,,,,,,,,,,,,,,,,,22.07105899997987,,,,,,,,,22.054132999968715,22.07105899997987,26.09877169993706,26.05661699990742,26.05664630001411,26.09877169993706,26.09877169993706,26.09877169993706,26.09877169993706,30.083985699922778,30.120841500000097,31.088191099930555,3.png,Reject,Accept,Accept,right,1.3046798000577837,0.10362619999796152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,884780,001,0.7,0.3,2024-05-29_07h16.02.101,article2,2024.1.4,None,2024-05-29 07h16.08.101063 +0330,
12,0.4,2.png,0,2,2,1,,,,,,,,,,,,,,,,,,,,,31.10395509994123,,,,,,,,,31.088518899981864,31.10395509994123,35.130574099952355,35.08876680000685,35.088781200000085,35.130574099952355,35.130574099952355,35.130574099952355,35.130574099952355,39.15711669996381,39.21588679996785,40.104776999913156,2.png,Reject,Accept,Accept,right,2.0544546999735758,0.14745659998152405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,884780,001,0.7,0.3,2024-05-29_07h16.02.101,article2,2024.1.4,None,2024-05-29 07h16.08.101063 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.10506569989957,40.120838599978015,40.120838599978015,49.940423099906184,space,9.807743999990635,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,884780,001,0.7,0.3,2024-05-29_07h16.02.101,article2,2024.1.4,None,2024-05-29 07h16.08.101063 +0330,
12,0.4,2.png,,,,,0,0,0,0,,,,,,,,,,,,,,,,,49.96012199996039,,,,,,,,,49.95537599991076,49.96012199996039,53.00747899990529,52.95660489995498,,,,,,,,,2.png,,,,,,,,,,,,,,52.95663539995439,53.00747899990529,53.00747899990529,53.00747899990529,53.00747899990529,57.00387029990088,57.04112409998197,57.96422189997975,2.png,Accept,Reject,Reject,right,0.7246991998981684,0.09203530009835958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,884780,001,0.7,0.3,2024-05-29_07h16.02.101,article2,2024.1.4,None,2024-05-29 07h16.08.101063 +0330,
27,0.5,3.png,,,,,0,1,1,1,,,,,,,,,,,,,,,,,57.97041289997287,,,,,,,,,57.96465679991525,57.97041289997287,64.01142359990627,63.95585329993628,,,,,,,,,3.png,,,,,,,,,,,,,,63.955879199900664,64.01142359990627,64.01142359990627,64.01142359990627,64.01142359990627,67.98288769996725,68.05411169992294,68.98041279998142,3.png,Accept,Reject,Accept,left,0.8499530999688432,0.13566899998113513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,884780,001,0.7,0.3,2024-05-29_07h16.02.101,article2,2024.1.4,None,2024-05-29 07h16.08.101063 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.98072039999533,68.98683619999792,68.98683619999792,76.37310359999537,space,7.379517299938016,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,884780,001,0.7,0.3,2024-05-29_07h16.02.101,article2,2024.1.4,None,2024-05-29 07h16.08.101063 +0330,
27,0.5,3.png,,,,,,,,,0,0,0,1,,,,,,,,,,,,,76.39022969990037,,,,,,,,,76.38446510001086,76.39022969990037,81.43891249992885,81.38811529998202,,,,,,,,,3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.38813979993574,81.43891249992885,81.43891249992885,81.43891249992885,85.42355969990604,86.4110591999488,3.png,Accept,Reject,Accept,86.41108310001437,86.42005449999124,86.42005449999124,87.57243329996709,space,1.1419785999460146,None,,,,,,,,,,,884780,001,0.7,0.3,2024-05-29_07h16.02.101,article2,2024.1.4,None,2024-05-29 07h16.08.101063 +0330,
12,0.4,2.png,,,,,,,,,0,1,1,0,,,,,,,,,,,,,87.58801059995312,,,,,,,,,87.57305769994855,87.58801059995312,92.61423479998484,92.57261129992548,,,,,,,,,2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.57264329993632,92.61423479998484,92.61423479998484,92.61423479998484,96.60161819995847,97.5785127999261,2.png,Reject,Accept,Accept,97.57854599994607,97.5865586999571,97.5865586999571,99.84052259998862,space,2.249373700004071,None,,,,,,,,,,,884780,001,0.7,0.3,2024-05-29_07h16.02.101,article2,2024.1.4,None,2024-05-29 07h16.08.101063 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.8409079000121,99.85423709999304,99.85423709999304,112.12439179990906,space,12.264578300062567,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,884780,001,0.7,0.3,2024-05-29_07h16.02.101,article2,2024.1.4,None,2024-05-29 07h16.08.101063 +0330,
27,0.5,3.png,,,,,,,,,,,,,0,0,0,1,,,,,,,,,112.1454980999697,,,,,,,,,112.13985289994162,112.1454980999697,116.19964279991109,116.13752300001215,116.13754449994303,116.19964279991109,116.19964279991109,116.19964279991109,116.19964279991109,120.17886479990557,120.24811789998785,121.15442099992651,3.png,Accept,Reject,Accept,left,1.1092293999390677,0.10747930000070482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,884780,001,0.7,0.3,2024-05-29_07h16.02.101,article2,2024.1.4,None,2024-05-29 07h16.08.101063 +0330,
12,0.4,2.png,,,,,,,,,,,,,0,1,1,0,,,,,,,,,121.16923399991356,,,,,,,,,121.15487869991921,121.16923399991356,124.19534929993097,124.15443469991442,124.15446809993591,124.19534929993097,124.19534929993097,124.19534929993097,124.19534929993097,128.17385749996174,128.24458860000595,129.18262509990018,2.png,Reject,Accept,Reject,left,2.5824168000835925,0.05432009999640286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,884780,001,0.7,0.3,2024-05-29_07h16.02.101,article2,2024.1.4,None,2024-05-29 07h16.08.101063 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.183115099906,129.20267329993658,129.20267329993658,132.9054908999242,space,3.69760790001601,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,884780,001,0.7,0.3,2024-05-29_07h16.02.101,article2,2024.1.4,None,2024-05-29 07h16.08.101063 +0330,
27,0.5,3.png,,,,,,,,,,,,,,,,,0,0,0,1,,,,,132.92262849991675,,,,,,,,,132.9182204999961,132.92262849991675,138.96127289999276,138.92130149994045,,,,,,,,,3.png,,,,,,,,,,,,,,138.92133549996652,138.96127289999276,138.96127289999276,138.96127289999276,138.96127289999276,142.9749751999043,143.01058769994415,143.92178809992038,3.png,Accept,Reject,Accept,left,0.48801940004341304,0.1461923000169918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,884780,001,0.7,0.3,2024-05-29_07h16.02.101,article2,2024.1.4,None,2024-05-29 07h16.08.101063 +0330,
12,0.4,2.png,,,,,,,,,,,,,,,,,0,1,1,0,,,,,143.93563319998793,,,,,,,,,143.92218939994927,143.93563319998793,147.96502779994626,147.92241419991478,,,,,,,,,2.png,,,,,,,,,,,,,,147.92244979995303,147.96502779994626,147.96502779994626,147.96502779994626,147.96502779994626,151.95343009999488,151.99236709997058,152.94494079996366,2.png,Accept,Reject,Reject,right,0.8556728000985458,0.09826449991669506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,884780,001,0.7,0.3,2024-05-29_07h16.02.101,article2,2024.1.4,None,2024-05-29 07h16.08.101063 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.9453147999011,152.95234269998036,152.95234269998036,156.738983899937,space,3.777322900015861,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,884780,001,0.7,0.3,2024-05-29_07h16.02.101,article2,2024.1.4,None,2024-05-29 07h16.08.101063 +0330,
