dollar,probability,image_name,selt_trials.thisRepN,selt_trials.thisTrialN,selt_trials.thisN,selt_trials.thisIndex,observe_trials_averse.thisRepN,observe_trials_averse.thisTrialN,observe_trials_averse.thisN,observe_trials_averse.thisIndex,predict_trials.thisRepN,predict_trials.thisTrialN,predict_trials.thisN,predict_trials.thisIndex,observe_trials_seek.thisRepN,observe_trials_seek.thisTrialN,observe_trials_seek.thisN,observe_trials_seek.thisIndex,thisRow.t,notes,text_1.started,text1.started,text1_key_resp.started,text_1.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,intertrial.started,fixation1.started,fixation1.stopped,intertrial.stopped,self_trial.started,image1.started,textbox_left.started,textbox_right.started,key_resp.started,polygon.started,key_resp.stopped,self_trial.stopped,image_name,textbox_left,textbox_right,selection,key_resp.keys,key_resp.rt,key_resp.duration,text_2.started,text2.started,text2_key_resp.started,text_2.stopped,text2_key_resp.keys,text2_key_resp.rt,text2_key_resp.duration,observe_trial_averse.started,image2.started,textbox_left_2.started,textbox_right_2.started,polygon_2.started,observe_trial_averse.stopped,image_name_obs,textbox_left_obs,textbox_right_obs,selection_obs,third_click.started,text3.started,text3_key_resp.started,third_click.stopped,text3_key_resp.keys,text3_key_resp.rt,text3_key_resp.duration,text_3.started,text4.started,text4_key_resp.started,text_3.stopped,text4_key_resp.keys,text4_key_resp.rt,text4_key_resp.duration,predict_trial.started,image3.started,textbox_left_3.started,textbox_right_3.started,key_resp_2.started,polygon_3.started,key_resp_2.stopped,predict_trial.stopped,image_name_pred,textbox_left_pred,textbox_right_pred,selection_pred,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,observe_trial_seek.started,image4.started,textbox_left_4.started,textbox_right_4.started,polygon_4.started,observe_trial_seek.stopped,image_name_obs_2,textbox_left_obs_2,textbox_right_obs_2,selection_obs_2,participant,session,aversion probability,seek probability,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,0.002234900020994246,0.005488800001330674,0.005488800001330674,1.358204299933277,space,1.3384117999812588,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992560,001,0.3,0.7,2024-05-29_06h14.57.062,article2,2024.1.4,None,2024-05-29 06h15.02.751922 +0330,
12,0.4,2.png,0,0,0,0,,,,,,,,,,,,,1.3757217000238597,,,,,,,,,1.3723528999835253,1.3757217000238597,5.492451500031166,5.369222400011495,5.369319599936716,5.492451500031166,5.492451500031166,5.492451500031166,5.492451500031166,9.39789549994748,9.538644299958833,10.378701100009494,2.png,Accept,Reject,Reject,right,0.9164303001016378,0.187076999922283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992560,001,0.3,0.7,2024-05-29_06h14.57.062,article2,2024.1.4,None,2024-05-29 06h15.02.751922 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.379003099980764,10.382928499951959,10.382928499951959,11.886923799989745,space,1.4920083000324667,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992560,001,0.3,0.7,2024-05-29_06h14.57.062,article2,2024.1.4,None,2024-05-29 06h15.02.751922 +0330,
32,0.5,6.png,,,,,0,0,0,4,,,,,,,,,11.910124399932101,,,,,,,,,11.907146099954844,11.910124399932101,14.947720699943602,14.901974400039762,,,,,,,,,6.png,,,,,,,,,,,,,,14.902023799950257,14.947720699943602,14.947720699943602,14.947720699943602,18.94653890002519,19.9221508000046,6.png,Reject,Accept,Reject,19.92218120000325,19.924420699942857,19.924420699942857,21.402736500022,space,1.4636170999146998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992560,001,0.3,0.7,2024-05-29_06h14.57.062,article2,2024.1.4,None,2024-05-29 06h15.02.751922 +0330,
27,0.5,3.png,,,,,0,1,1,1,,,,,,,,,21.417519100010395,,,,,,,,,21.403745600022376,21.417519100010395,23.4461204999825,23.401786800008267,,,,,,,,,3.png,,,,,,,,,,,,,,23.40183220000472,23.4461204999825,23.4461204999825,23.4461204999825,27.43233360000886,28.432853000005707,3.png,Reject,Accept,Accept,28.4328956999816,28.43559919996187,28.43559919996187,29.952942100004293,space,1.510234500048682,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992560,001,0.3,0.7,2024-05-29_06h14.57.062,article2,2024.1.4,None,2024-05-29 06h15.02.751922 +0330,
12,0.4,2.png,,,,,0,2,2,0,,,,,,,,,29.967388699995354,,,,,,,,,29.953847800032236,29.967388699995354,34.99417389999144,34.95165249996353,,,,,,,,,2.png,,,,,,,,,,,,,,34.95169699995313,34.99417389999144,34.99417389999144,34.99417389999144,38.99276569997892,39.974612499936484,2.png,Reject,Accept,Accept,39.974635699996725,39.97698799998034,39.97698799998034,40.38468699995428,space,0.399915499961935,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992560,001,0.3,0.7,2024-05-29_06h14.57.062,article2,2024.1.4,None,2024-05-29 06h15.02.751922 +0330,
50,0.57,5.png,,,,,0,3,3,3,,,,,,,,,40.40014269994572,,,,,,,,,40.385319099994376,40.40014269994572,44.42933670000639,44.38449770002626,,,,,,,,,5.png,,,,,,,,,,,,,,44.38454530003946,44.42933670000639,44.42933670000639,44.42933670000639,48.4133421999868,49.39508000004571,5.png,Reject,Accept,Accept,49.395101899979636,49.39758749993052,49.39758749993052,51.26950389996637,space,1.860772099927999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992560,001,0.3,0.7,2024-05-29_06h14.57.062,article2,2024.1.4,None,2024-05-29 06h15.02.751922 +0330,
20,0.61,4.png,,,,,0,4,4,2,,,,,,,,,51.28345690004062,,,,,,,,,51.270730199990794,51.28345690004062,56.30909270001575,56.26721820002422,,,,,,,,,4.png,,,,,,,,,,,,,,56.26725090004038,56.30909270001575,56.30909270001575,56.30909270001575,60.29774339997675,61.2833391999593,4.png,Accept,Reject,Accept,61.28336590004619,61.28560840000864,61.28560840000864,62.66938310000114,space,1.3692719000391662,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992560,001,0.3,0.7,2024-05-29_06h14.57.062,article2,2024.1.4,None,2024-05-29 06h15.02.751922 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.66991950001102,62.68322440003976,62.68322440003976,65.21827840001788,space,2.525412100018002,None,,,,,,,,,,,,,,,,,,,,,,,,,,992560,001,0.3,0.7,2024-05-29_06h14.57.062,article2,2024.1.4,None,2024-05-29 06h15.02.751922 +0330,
20,0.61,4.png,,,,,,,,,0,0,0,2,,,,,65.23613320000004,,,,,,,,,65.23328569997102,65.23613320000004,71.28123910003342,71.2344631999731,,,,,,,,,4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.23450679995585,71.28123910003342,71.28123910003342,71.28123910003342,71.28123910003342,75.27130779996514,75.3062339000171,76.25146780000068,4.png,Accept,Reject,,None,,,,,,,,,,,,,992560,001,0.3,0.7,2024-05-29_06h14.57.062,article2,2024.1.4,None,2024-05-29 06h15.02.751922 +0330,
